4; 2771; 001; 2; q; B
3; 461; 002; 1; p; B
3; 431; 003; 1; p; A
3; 153; 004; 1; q; B
5; 37774; 005; 3; q; B
6; 155554; 006; 4; p; B
3; 271; 007; 1; p; B
5; 32224; 008; 3; q; A
6; 455553; 009; 4; q; B
5; 16663; 010; 3; p; B
4; 1552; 011; 2; p; B
6; 433332; 012; 4; q; A
4; 3442; 013; 2; p; A
4; 4772; 014; 2; p; B
6; 311114; 015; 4; p; A
4; 2114; 016; 2; q; A
6; 188884; 017; 4; p; B
5; 35551; 018; 3; q; B
4; 2663; 019; 2; q; B
6; 466662; 020; 4; q; B
5; 38881; 021; 3; q; B
4; 3882; 022; 2; p; B
6; 377774; 023; 4; p; B
3; 183; 024; 1; q; B
4; 4222; 025; 2; p; S
5; 44443; 026; 3; p; D
3; 152; 027; 1; q; B
3; 331; 028; 1; p; D
3; 112; 029; 1; q; S
4; 4442; 030; 2; p; D
3; 124; 031; 1; q; A
6; 422222; 032; 4; q; D
6; 333334; 033; 4; p; D
4; 3112; 034; 2; p; A
3; 421; 035; 1; p; A
4; 2111; 036; 2; q; D
6; 433333; 037; 4; q; D
6; 433331; 038; 4; q; A
3; 144; 039; 1; q; D
4; 2334; 040; 2; q; A
4; 1442; 041; 2; p; A
5; 33332; 042; 3; q; S
6; 344444; 043; 4; p; S
4; 2224; 044; 2; q; S
6; 444442; 045; 4; q; S
3; 114; 046; 1; q; S
6; 244444; 047; 4; p; S
3; 132; 048; 1; q; A
6; 322224; 049; 4; p; A
5; 32222; 050; 3; q; D
6; 222224; 051; 4; p; D
5; 37771; 052; 3; q; B
5; 32221; 053; 3; q; A
4; 1882; 054; 2; p; B
6; 477772; 055; 4; q; B
6; 466661; 056; 4; q; B
3; 221; 057; 1; p; D
3; 311; 058; 1; p; S
5; 28883; 059; 3; p; B
3; 122; 060; 1; q; D
6; 411112; 061; 4; q; A
6; 277774; 062; 4; p; B
4; 2221; 063; 2; q; S
6; 211114; 064; 4; p; A
3; 251; 065; 1; p; B
4; 3552; 066; 2; p; B
3; 174; 067; 1; q; B
5; 43333; 068; 3; p; S
3; 231; 069; 1; p; A
4; 3332; 070; 2; p; D
6; 488883; 071; 4; q; B
4; 1112; 072; 2; p; D
6; 444443; 073; 4; q; S
4; 2664; 074; 2; q; B
5; 41113; 075; 3; p; A
3; 471; 076; 1; p; B
5; 13333; 077; 3; p; S
5; 38882; 078; 3; q; B
6; 444441; 079; 4; q; S
3; 441; 080; 1; p; D
3; 411; 081; 1; p; S
4; 1222; 082; 2; p; S
4; 4332; 083; 2; p; A
6; 388884; 084; 4; p; B
5; 22223; 085; 3; p; D
4; 2881; 086; 2; q; B
4; 2553; 087; 2; q; B
5; 35554; 088; 3; q; B
5; 17773; 089; 3; p; B
3; 361; 090; 1; p; B
5; 23333; 091; 3; p; S
5; 34442; 092; 3; q; A
6; 111114; 093; 4; p; D
4; 2441; 094; 2; q; A
4; 3222; 095; 2; p; S
6; 411111; 096; 4; q; D
5; 33331; 097; 3; q; S
4; 2113; 098; 2; q; A
3; 133; 099; 1; q; D
6; 166664; 100; 4; p; B
3; 211; 101; 1; p; S
6; 422223; 102; 4; q; A
6; 133334; 103; 4; p; A
5; 12223; 104; 3; p; A
5; 34444; 105; 3; q; D
4; 4662; 106; 2; p; B
4; 2223; 107; 2; q; S
4; 2333; 108; 2; q; D
6; 144444; 109; 4; p; S
5; 33334; 110; 3; q; S
4; 2444; 111; 2; q; D
3; 143; 112; 1; q; A
3; 113; 113; 1; q; S
5; 31111; 114; 3; q; D
5; 45553; 115; 3; p; B
5; 24443; 116; 3; p; A
5; 11113; 117; 3; p; D
3; 341; 118; 1; p; A
5; 31114; 119; 3; q; A
3; 163; 120; 1; q; B
