subnum,block,trial,blocktrial,deadline,usetimer,l1,l2,x1,y1,x2,y2,toolong,resp,corr,rt,time0
234,1,1,1,10000,1,119,111,918,478,1001,486,0,<lshift>,1,2979,10262
234,1,2,2,10000,1,120,114,918,474,999,489,0,<rshift>,0,907,13749
234,1,3,3,10000,1,120,110,919,477,998,488,0,<rshift>,0,590,15165
234,1,4,4,10000,1,113,114,922,478,1002,488,0,<rshift>,1,597,16264
234,1,5,5,10000,1,114,120,922,478,1000,485,0,<lshift>,0,534,17370
234,1,6,6,10000,1,119,120,919,476,998,484,0,<lshift>,0,691,18414
234,1,7,7,10000,1,115,113,918,473,998,492,0,<rshift>,0,1052,19616
234,1,8,8,10000,1,114,111,918,478,1000,489,0,<lshift>,1,593,21178
234,1,9,9,10000,1,112,110,921,480,998,489,0,<lshift>,1,545,22277
234,1,10,10,10000,1,119,112,919,470,1001,494,0,<rshift>,0,576,23335
234,1,11,11,10000,1,118,113,922,473,1001,491,0,<rshift>,0,493,24422
234,1,12,12,10000,1,115,114,919,472,999,493,0,<rshift>,0,480,25423
234,1,13,13,10000,1,111,117,918,479,1001,486,0,<lshift>,0,486,26412
234,1,14,14,10000,1,110,112,920,478,1000,491,0,<rshift>,1,529,27408
234,1,15,15,10000,1,117,119,921,471,998,490,0,<rshift>,1,462,28442
234,2,16,1,2000,1,117,119,922,471,1002,490,1,<timeout>,0,2003,34623
234,2,17,2,2000,1,116,117,921,474,1002,489,0,<rshift>,1,521,37135
234,2,18,3,2000,1,112,118,918,477,998,488,0,<rshift>,1,420,38163
234,2,19,4,2000,1,119,113,919,479,998,484,0,<rshift>,0,376,39092
234,2,20,5,2000,1,110,112,922,482,998,487,0,<lshift>,0,424,39979
234,2,21,6,2000,1,110,118,922,483,998,483,0,<rshift>,1,524,40911
234,2,22,7,2000,1,117,115,919,477,1001,486,1,<timeout>,0,2004,41946
