subnum,block,trial,blocktrial,deadline,usetimer,l1,l2,x1,y1,x2,y2,toolong,resp,corr,rt,time0
_3,1,1,1,10000,1,119,110,918,477,1001,488,0,<rshift>,0,62,5959
_3,1,2,2,10000,1,110,116,919,481,998,486,0,<lshift>,0,371,6528
_3,1,3,3,10000,1,114,112,920,478,1000,489,0,<rshift>,0,251,7408
_3,1,4,4,10000,1,118,110,919,482,999,484,0,<lshift>,1,335,8169
_3,1,5,5,10000,1,111,114,921,479,1002,488,0,<rshift>,1,285,9012
_3,1,6,6,10000,1,120,117,920,479,999,482,0,<lshift>,1,286,9806
_3,1,7,7,10000,1,118,110,918,480,998,486,0,<rshift>,0,190,10600
_3,1,8,8,10000,1,116,117,921,484,999,479,0,<lshift>,0,273,11303
_3,1,9,9,10000,1,115,116,918,482,1002,482,0,<rshift>,1,313,12085
_3,1,10,10,10000,1,111,119,919,484,1001,480,0,<lshift>,0,531,12908
_3,1,11,11,10000,1,113,111,918,483,998,484,0,<rshift>,0,625,13947
_3,1,12,12,10000,1,110,117,921,488,998,478,0,<rshift>,1,484,15082
_3,1,13,13,10000,1,114,120,922,482,1002,481,0,<rshift>,1,653,16076
_3,1,14,14,10000,1,112,119,918,480,999,484,0,<rshift>,1,632,17241
_3,1,15,15,10000,1,115,114,922,480,1000,485,0,<rshift>,0,547,18385
