subNum,trial,stim,wordlength,abstime,type,response,time1,time2,correct,keystrokes,mistakes
111,1,SYLVY,5,13659,1,SYLVY,707,889,1,5,0
111,2,SYLVY,5,16155,1,SYLVY,682,1806,1,7,1
111,3,SYLVY,5,17803,1,SYLVY,646,993,1,5,0
111,4,SYLVY,5,19844,1,SYLVY,852,1180,1,5,0
111,5,WANDER,6,21338,0,WANDER,713,772,1,6,0
111,6,SORROW,6,22773,0,SORROW,664,763,1,6,0
111,7,TODAY,5,24403,0,TODAY,618,1002,1,7,1
111,8,ELBOW,5,25713,0,ELBOW,666,641,1,5,0
111,9,SYLVY,5,27610,1,SYLVY,980,909,1,5,0
111,10,PUBLIC,6,29086,0,PUBLIC,652,816,1,6,0
