subNum,trial,stim,wordlength,abstime,type,response,time1,time2,correct,keystrokes,mistakes
butter,1,TPAICMAO,8,17470,1,TPACMAO,680,2462,0,11,2
butter,2,TPAICMAO,8,20170,1,TPAICMAO,903,1794,1,8,0
butter,3,TPAICMAO,8,22806,1,TPAICMAO,696,1933,1,8,0
butter,4,TPAICMAO,8,25773,1,TPAICMAO,683,2280,1,10,1
butter,5,OFFER,5,27121,0,OFFER,688,653,1,5,0
butter,6,TPAICMAO,8,29335,1,TPAICMAO,632,1575,1,8,0
butter,7,SIMPLE,6,30847,0,SIMPLE,749,755,1,6,0
butter,8,TPAICMAO,8,33532,1,TPAICMAO,644,2033,1,8,0
butter,9,LYING,5,35017,0,LYING,815,664,1,5,0
butter,10,TPAICMAO,8,37427,1,TPAICMAO,752,1648,1,8,0
butter,11,TPAICMAO,8,40137,1,TPAICMAO,813,1889,1,8,0
butter,12,FORGET,6,41544,0,FORGET,746,649,1,6,0
butter,13,TPAICMAO,8,44740,1,TPAICMAO,786,2400,1,10,1
butter,14,LAWYER,6,46467,0,LAWYER,766,952,1,6,0
butter,15,TPAICMAO,8,49080,1,TPAICMAO,574,2031,1,10,1
butter,16,SLOWLY,6,51308,0,SLOWLY,645,1572,1,6,0
butter,17,TPAICMAO,8,53975,1,TPAICMAO,656,2002,1,10,1
butter,18,BEFORE,6,55354,0,BEFORE,694,678,1,6,0
butter,19,PROBLEM,7,57060,0,PROBLEM,882,816,1,7,0
butter,20,IDLE,4,58285,0,IDLE,670,547,1,4,0
butter,21,ANCHOR,6,59942,0,ANCHOR,668,980,1,6,0
butter,22,SILENCE,7,61430,0,SILENCE,634,847,1,7,0
butter,23,TPAICMAO,8,64285,1,TPAICMAO,704,2142,1,10,1
butter,24,POWDER,6,66188,0,POWDER,896,999,1,6,0
butter,25,TPAICMAO,8,68751,1,TPAICMAO,576,1977,1,10,1
butter,26,PRINCESS,8,70331,0,PRINCESS,682,887,1,8,0
butter,27,TPAICMAO,8,72267,1,TPAICMAO,622,1304,1,8,0
butter,28,TPAICMAO,8,74278,1,TPAICMAO,596,1406,1,8,0
butter,29,TPAICMAO,8,76096,1,TPAICMAO,572,1234,1,8,0
butter,30,LIMIT,5,77488,0,LIMIT,809,578,1,5,0
butter,31,AUTUMN,6,79123,0,AUTUMN,653,972,1,6,0
butter,32,TPAICMAO,8,81188,1,TPAICMAO,580,1477,1,8,0
butter,33,RELEASE,7,84554,0,RELEASE,779,2578,1,9,1
butter,34,NOTHING,7,86820,0,NOTHING,1621,635,1,7,0
butter,35,TPAICMAO,8,89649,1,TPAICMAO,996,1822,1,8,0
butter,36,TPAICMAO,8,91898,1,TPAICMAO,495,1745,1,8,0
butter,37,TPAICMAO,8,93965,1,TPAICMAO,588,1472,1,8,0
butter,38,MERCY,5,96092,0,MERCY,763,1357,1,7,1
butter,39,HONEST,6,97581,0,HONEST,687,791,1,6,0
butter,40,WINTER,6,99332,0,WINTER,1084,657,1,6,0
butter,41,MOISTURE,8,101453,0,MOISTURE,689,1422,1,8,0
butter,42,TPAICMAO,8,103582,1,TPAICMAO,688,1433,1,8,0
butter,43,TPAICMAO,8,105605,1,TPAICMAO,655,1358,1,8,0
butter,44,TPAICMAO,8,107704,1,TPAICMAO,591,1500,1,8,0
butter,45,MERCHANT,8,109190,0,MERCHANT,673,805,1,8,0
butter,46,TPAICMAO,8,110955,1,TPAICMAO,633,1121,1,8,0
butter,47,ABIDE,5,112656,0,ABIDE,772,920,1,5,0
butter,48,TPAICMAO,8,115511,1,TPAICMAO,598,2249,1,10,1
butter,49,EXPLAIN,7,117124,0,EXPLAIN,714,888,1,7,0
butter,50,TPAICMAO,8,119040,1,TPAICMAO,578,1330,1,8,0
butter,51,TPAICMAO,8,121973,1,TPAICMAO,1406,1518,1,8,0
butter,52,SUDDEN,6,123876,0,SUDDEN,1088,805,1,6,0
butter,53,TPAICMAO,8,126014,1,TPAICMAO,641,1487,1,8,0
butter,54,INSECT,6,128168,0,INSECT,789,1357,1,8,1
butter,55,FRONTIER,8,130085,0,FRONTIER,790,1119,1,8,0
butter,56,RETREAT,7,132506,0,RETREAT,696,1720,1,9,1
butter,57,DOUBLE,6,135790,0,DOUBLE,682,2590,1,16,5
butter,58,TPAICMAO,8,138732,1,TPAICMAO,1483,1447,1,8,0
butter,59,TPAICMAO,8,141076,1,TPAICMAO,882,1454,1,8,0
butter,60,TPAICMAO,8,143300,1,TPAICMAO,607,1611,1,8,0
butter,61,AGAIN,5,145598,0,AGAIN,745,1543,1,5,0
butter,62,TPAICMAO,8,148009,1,TPAICMAO,642,1760,1,8,0
butter,63,CONDEMN,7,151706,0,CONDEMN,1281,2407,1,9,1
butter,64,EXPRESS,7,153445,0,EXPRESS,645,1081,1,7,0
butter,65,TPAICMAO,8,156189,1,TPAICMAO,1138,1597,1,8,0
butter,66,OUTSIDE,7,157836,0,OUTSIDE,813,828,1,7,0
butter,67,HOLLOW,6,159858,0,HOLLOW,797,1216,1,6,0
butter,68,FALLEN,6,161824,0,FALLON,684,1270,0,6,0
butter,69,SHEPHERD,8,164174,0,SHEPHERD,959,1381,1,8,0
butter,70,TPAICMAO,8,166441,1,TPAICMAO,905,1353,1,8,0
butter,71,ROBIN,5,167840,0,ROBIN,711,677,1,5,0
butter,72,TPAICMAO,8,171028,1,TPAICMAO,933,2245,1,10,1
butter,73,TPAICMAO,8,173117,1,TPAICMAO,596,1483,1,8,0
butter,74,ABOARD,6,175348,0,ABOARD,969,1253,1,6,0
butter,75,TPAICMAO,8,177150,1,TPAICMAO,545,1245,1,8,0
butter,76,UNION,5,178910,0,UNION,699,1053,1,5,0
butter,77,TPAICMAO,8,180880,1,TPAICMAO,648,1313,1,8,0
butter,78,TPAICMAO,8,182995,1,TPAICMAO,592,1514,1,8,0
butter,79,CLIMATE,7,185210,0,CLIMATE,665,1539,1,9,1
butter,80,TPAICMAO,8,187247,1,TPAICMAO,611,1417,1,8,0
