subNum,trial,stim,wordlength,abstime,type,response,time1,time2,correct,keystrokes,mistakes
cora,1,HTRKNOPTO,9,24559,1,HTRKNOPTO,3235,3472,1,11,1
cora,2,HTRKNOPTO,9,29119,1,HTRKNOPTO,1378,3175,1,9,0
cora,3,LATTER,6,30666,0,LATTER,771,768,1,6,0
cora,4,PROCURE,7,32280,0,PROCURE,616,990,1,7,0
cora,5,HTRKNOPTO,9,36158,1,HTRKNOPTO,1398,2473,1,9,0
cora,6,PATIENCE,8,39092,0,PATIENCE,646,2277,1,14,3
cora,7,HTRKNOPTO,9,42588,1,HRTKNOPTO,822,2661,0,11,1
cora,8,CONSENT,7,44869,0,CONSENT,952,1325,1,9,1
cora,9,ABOVE,5,46176,0,ABOVE,724,573,1,5,0
cora,10,STRUGGLE,8,48833,0,STRUGGLE,591,2054,1,12,2
cora,11,ABSENT,6,50605,0,ABSENT,825,937,1,6,0
cora,12,HTRKNOPTO,9,60107,1,HTRKNOPTO,922,8576,1,31,11
cora,13,HTRKNOPTO,9,63910,1,HTRKNOPTO,1405,2393,1,9,0
cora,14,ABOARD,6,68015,0,ABOARD,1121,2974,1,14,4
cora,15,HTRKNOPTO,9,71674,1,HTRKNOPTO,1065,2582,1,9,0
cora,16,WINTER,6,72988,0,WINTER,593,712,1,6,0
cora,17,GENTLY,6,74355,0,GENTLY,603,760,1,6,0
cora,18,HTRKNOPTO,9,77262,1,HTRKNOPTO,844,2055,1,9,0
cora,19,HTRKNOPTO,9,80567,1,HTRKNOPTO,1096,2197,1,9,0
cora,20,WORSHIP,7,82520,0,WORSHIP,845,1100,1,7,0
cora,21,NORMAL,6,83882,0,NORMAL,630,720,1,6,0
cora,22,HTRKNOPTO,9,86711,1,HTRKNOPTO,843,1976,1,9,0
cora,23,CHAPTER,7,88397,0,CHAPTER,680,997,1,7,0
cora,24,HTRKNOPTO,9,91128,1,HTRKNOPTO,731,1992,1,9,0
cora,25,DREADFUL,8,93113,0,DREADFUL,755,1220,1,8,0
cora,26,HTRKNOPTO,9,97171,1,HTRKNOPTO,628,3423,1,11,1
cora,27,ALWAYS,6,99315,0,ALWAYS,706,1435,1,8,1
cora,28,HTRKNOPTO,9,101857,1,HTRKNOPTO,771,1760,1,9,0
cora,29,HTRKNOPTO,9,105135,1,HTRKNOPTO,954,2316,1,9,0
cora,30,PROJECT,7,107730,0,PROJECT,1343,1244,1,7,0
cora,31,WRETCHED,8,109714,0,WRETCHED,786,1188,1,8,0
cora,32,UGLY,4,110942,0,UGLY,697,523,1,4,0
cora,33,HTRKNOPTO,9,114405,1,HTRKNOPTO,842,2611,1,13,2
cora,34,HTRKNOPTO,9,117404,1,HTRKNOPTO,1106,1882,1,9,0
cora,35,CANNOT,6,118824,0,CANNOT,689,723,1,6,0
cora,36,HTRKNOPTO,9,121491,1,HTRKNOPTO,778,1877,1,9,0
cora,37,HTRKNOPTO,9,124966,1,HTRKNOPTO,914,2556,1,9,0
cora,38,HTRKNOPTO,9,128036,1,HTRKNOPTO,822,2238,1,9,0
cora,39,COMPASS,7,130093,0,COMPASS,997,1051,1,7,0
cora,40,HTRKNOPTO,9,134088,1,HTRKNOPTO,1083,2901,1,9,0
