subNum,trial,stim,wordlength,abstime,type,response,time1,time2,correct,keystrokes,mistakes
din,1,DNKRTPK,7,18447,1,DNKRTPK,752,2759,1,9,1
din,2,DNKRTPK,7,20841,1,DNKRTPK,658,1729,1,7,0
din,3,ARROW,5,22603,0,ARROW,586,1167,1,7,1
din,4,UPSET,5,24593,0,UPSET,657,1324,1,7,1
din,5,SLUMBER,7,26259,0,SLUMBER,676,983,1,7,0
din,6,CHAPEL,6,27720,0,CHAPEL,670,782,1,6,0
din,7,DNKRTPK,7,30275,1,DNKRTPK,781,1766,1,7,0
din,8,DNKRTPK,7,32623,1,DNKRTPK,819,1517,1,7,0
din,9,DNKRTPK,7,35337,1,DNKRTPK,759,1946,1,9,1
din,10,PICTURE,7,36922,0,PICTURE,726,849,1,7,0
din,11,DNKRTPK,7,41856,1,DNKRTPK,752,4173,1,13,3
din,12,LADY,4,43191,0,LADY,718,606,1,4,0
din,13,TRAFFIC,7,44774,0,TRAFFIC,678,896,1,7,0
din,14,DNKRTPK,7,47015,1,DNKRTPK,670,1560,1,7,0
din,15,DNKRTPK,7,49282,1,DNKRTPK,727,1532,1,7,0
din,16,AMONG,5,50488,0,AMONG,612,584,1,5,0
din,17,DNKRTPK,7,52872,1,DNKRTPK,682,1693,1,7,0
din,18,HARBOR,6,55159,0,HARBOR,801,1476,1,8,1
din,19,DNKRTPK,7,57328,1,DNKRTPK,655,1504,1,7,0
din,20,INCOME,6,58708,0,INCOME,691,678,1,6,0
din,21,BELONG,6,60491,0,BELONG,796,982,1,6,0
din,22,DNKRTPK,7,62648,1,DNKRTPK,678,1470,1,7,0
din,23,MARRIAGE,8,64504,0,MARRIAGE,751,1097,1,8,0
din,24,DNKRTPK,7,66586,1,DNKRTPK,688,1385,1,7,0
din,25,RATTLE,6,68288,0,RATTLE,671,1020,1,6,0
din,26,DNKRTPK,7,70345,1,DNKRTPK,756,1293,1,7,0
din,27,UNION,5,72165,0,UNION,1100,709,1,5,0
din,28,PREFER,6,74118,0,PREFER,983,962,1,6,0
din,29,DNKRTPK,7,76295,1,DNKRTPK,846,1321,1,7,0
din,30,DNKRTPK,7,78757,1,DNKRTPK,701,1754,1,7,0
din,31,DNKRTPK,7,80898,1,DNKRTPK,781,1353,1,7,0
din,32,DNKRTPK,7,82741,1,DNKRTPK,607,1228,1,7,0
din,33,DNKRTPK,7,84753,1,DNKRTPK,700,1302,1,7,0
din,34,AGO,3,85877,0,AGO,738,378,1,3,0
din,35,DNKRTPK,7,87731,1,DNKRTPK,724,1120,1,7,0
din,36,INSTEAD,7,89339,0,INSTEAD,716,887,1,7,0
din,37,DNKRTPK,7,91448,1,DNKRTPK,654,1446,1,7,0
din,38,QUIVER,6,93443,0,QUIVER,927,1059,1,6,0
din,39,CHAIRMAN,8,95231,0,CHAIRMAN,792,988,1,8,0
din,40,MEADOW,6,97163,0,MEADOW,692,1229,1,8,1
