subNum,trial,stim,wordlength,abstime,type,response,time1,time2,correct,keystrokes,mistakes
jacv,1,FOREIGN,7,28685,0,FOREIGN,4832,12489,1,21,7
jacv,2,CONCERT,7,31968,0,CONCERT,1052,2224,1,11,2
jacv,3,ELBOW,5,36580,0,ELBOW,25,4583,1,8,2
jacv,4,DIRTY,5,40789,0,DIRTY,768,3431,1,7,1
jacv,5,OCEAN,5,43411,0,OCEAN,895,1718,1,5,0
jacv,6,KHNSODHS,8,48881,1,KHNSODHS,958,4503,1,10,1
jacv,7,KHNSODHS,8,56781,1,KHNSODHS,1245,6644,1,14,3
jacv,8,DIRECT,6,60222,0,DIRECT,634,2797,1,8,1
jacv,9,KHNSODHS,8,65291,1,KHNSODHS,777,4282,1,8,0
jacv,10,KHNSODHS,8,72211,1,KHNSODHS,1438,5473,1,10,1
jacv,11,EVENING,7,75205,0,EVENINGL,836,2148,0,10,1
jacv,12,KHNSODHS,8,78971,1,KHNSODHS,755,3000,1,8,0
jacv,13,JOLLY,5,86331,0,JOLLUUY,664,6690,0,11,2
jacv,14,EVEN,4,88248,0,EVEN,1140,769,1,4,0
jacv,15,SOLDIER,7,91755,0,SOLDIER,661,2835,1,11,2
jacv,16,ENDLESS,7,93790,0,ENDLESS,684,1343,1,7,0
jacv,17,KHNSODHS,8,97824,1,KHNSODHS,905,3120,1,8,0
jacv,18,KHNSODHS,8,104206,1,KHNSODHS,1168,5206,1,12,2
jacv,19,KHNSODHS,8,111949,1,KHNSODHS,2237,5498,1,10,1
jacv,20,DIVINE,6,116320,0,DIVINE,613,3752,1,16,5
jacv,21,ATTACK,6,119288,0,ATTACK,1098,1862,1,6,0
jacv,22,KHNSODHS,8,122828,1,KHNSODHS,786,2745,1,8,0
jacv,23,KHNSODHS,8,126449,1,KHNSODHS,779,2831,1,8,0
jacv,24,KHNSODHS,8,130726,1,KHNSODHS,751,3519,1,10,1
jacv,25,KHNSODHS,8,136157,1,KHNSODHS,990,4432,1,10,1
jacv,26,KHNSODHS,8,146354,1,KHNSODHS,958,9234,1,14,3
jacv,27,KHNSODHS,8,152065,1,KHNSODHS,1692,4010,1,8,0
jacv,28,KHNSODHS,8,158506,1,KHNSODHS,1868,4564,1,8,0
jacv,29,FUNNY,5,161115,0,FUNNY,735,1865,1,5,0
jacv,30,SWIFTLY,7,168806,0,SWIFTLY,642,7040,1,15,4
jacv,31,FUNERAL,7,170959,0,FUNERAL,666,1477,1,7,0
jacv,32,KHNSODHS,8,173933,1,KHNSODHS,820,2146,1,8,0
jacv,33,SULPHUR,7,178123,0,SULPHURE,655,3527,0,10,1
jacv,34,EXCEPT,6,181081,0,EXCEPT,689,2265,1,6,0
jacv,35,PORTION,7,183981,0,PORTION,860,2030,1,7,0
jacv,36,KHNSODHS,8,187118,1,KHNSODHS,668,2459,1,8,0
jacv,37,KHNSODHS,8,192791,1,KHNSODHS,812,4853,1,11,2
jacv,38,LONELY,6,195857,0,LONELY,841,2216,1,6,0
jacv,39,KHNSODHS,8,203915,1,KHNSODHS,978,7070,1,12,2
jacv,40,KHNSODHS,8,207072,1,KHNSODHS,766,2380,1,8,0
