subNum,trial,stim,wordlength,abstime,type,response,time1,time2,correct,keystrokes,mistakes
ting,1,SICKNESS,8,18046,0,SICKNESS,330,1607,1,10,1
ting,2,DBAHGIVO,8,20597,1,DBAHGIVO,758,1784,1,8,0
ting,3,CREATURE,8,22024,0,CREATURE,678,741,1,8,0
ting,4,DBAHGIVO,8,24442,1,DBAHGIVO,630,1781,1,8,0
ting,5,DBAHGIVO,8,26913,1,DBAHGIVO,709,1755,1,8,0
ting,6,DISTRESS,8,28553,0,DISTRESS,722,908,1,8,0
ting,7,CONGRESS,8,30918,0,CONGRESS,854,1502,1,8,0
ting,8,DBAHGIVO,8,34149,1,DBAHGIVO,1008,2214,1,10,1
ting,9,SOUTHERN,8,35687,0,SOUTHERN,695,835,1,8,0
ting,10,SPRINKLE,8,37673,0,SPRINKLE,786,1190,1,8,0
ting,11,ACQUAINT,8,39560,0,ACQUAINT,672,1206,1,8,0
ting,12,DBAHGIVO,8,41757,1,DBAHGIVO,675,1512,1,8,0
ting,13,PERSUADE,8,44189,0,PERSUADE,708,1714,1,8,0
ting,14,DBAHGIVO,8,46806,1,DBAHGIVO,1009,1598,1,8,0
ting,15,DBAHGIVO,8,49749,1,DBAHGIVO,1216,1718,1,8,0
ting,16,PRINCESS,8,52822,0,PRINCESS,1367,1697,1,10,1
ting,17,DBAHGIVO,8,55182,1,DBAHGIVO,697,1652,1,8,0
ting,18,TWILIGHT,8,57801,0,TWILIGHT,811,1797,1,10,1
ting,19,HANDSOME,8,59611,0,HANDSOME,667,1132,1,8,0
ting,20,DBAHGIVO,8,61880,1,DBAHGIVO,668,1590,1,8,0
ting,21,PURCHASE,8,64325,0,PURCHASE,1543,890,1,8,0
ting,22,DBAHGIVO,8,66618,1,DBAHGIVO,630,1653,1,8,0
ting,23,COMPLETE,8,69727,0,COMPLETE,1038,2062,1,12,2
ting,24,DBAHGIVO,8,72118,1,DBAHGIVO,840,1542,1,8,0
ting,25,APPROACH,8,74000,0,APPROACH,698,1173,1,8,0
ting,26,DBAHGIVO,8,76590,1,DBAHGIVO,742,1837,1,8,0
ting,27,DBAHGIVO,8,78762,1,DBAHGIVO,666,1498,1,8,0
ting,28,WEAKNESS,8,80475,0,WEAKNESS,700,1005,1,8,0
ting,29,DBAHGIVO,8,83279,1,DBAHGIVO,683,2112,1,8,0
ting,30,DBAHGIVO,8,86248,1,DBAHGIVO,1185,1776,1,8,0
ting,31,DISGRACE,8,88635,0,DISGRACE,671,1708,1,12,2
ting,32,QUESTION,8,90622,0,QUESTION,860,1117,1,8,0
ting,33,MERCHANT,8,92022,0,MERCHANT,658,733,1,8,0
ting,34,DBAHGIVO,8,94045,1,DBAHGIVO,654,1361,1,8,0
ting,35,CAMPAIGN,8,95854,0,CAMPAIGN,610,1188,1,8,0
ting,36,PROMPTLY,8,97951,0,PROMPTLY,640,1449,1,8,0
ting,37,DBAHGIVO,8,100139,1,DBAHGIVO,840,1339,1,8,0
ting,38,DBAHGIVO,8,102073,1,DBAHGIVO,650,1273,1,8,0
ting,39,DBAHGIVO,8,104040,1,DBAHGIVO,628,1330,1,8,0
ting,40,DBAHGIVO,8,105988,1,DBAHGIVO,651,1287,1,8,0
