subnum,trial,type,stim,tim0,resp1,rt1,corr1,resp2,rt2,corr2,tooslow
0,1,1,3,4493,2,1816,1,NA,0,0,-4494
0,2,1,4,7464,1,1962,0,NA,0,0,-7465
0,3,1,1,10584,1,2007,0,NA,0,0,-10584
0,4,1,2,13727,2,1280,1,NA,0,0,-13727
0,5,1,4,16155,2,1080,1,NA,0,0,-16156
0,6,1,3,18458,1,502,0,NA,0,0,-18459
0,7,1,1,20173,1,462,0,NA,0,0,-20174
0,8,1,2,21658,2,572,1,NA,0,0,-21658
0,9,1,3,23326,2,941,1,NA,0,0,-23326
0,10,1,1,25183,1,362,0,NA,0,0,-25183
0,11,1,4,26689,1,499,0,NA,0,0,-26689
0,12,1,2,28388,2,265,1,NA,0,0,-28388
0,13,1,4,29864,2,488,1,NA,0,0,-29864
0,14,1,2,31594,1,649,0,NA,0,0,-31594
0,15,1,1,33087,1,676,0,NA,0,0,-33087
0,16,1,3,34886,2,431,1,NA,0,0,-34886
0,17,1,4,36440,2,555,1,NA,0,0,-36441
0,18,1,3,38286,2,426,1,NA,0,0,-38287
0,19,1,2,39691,2,460,1,NA,0,0,-39692
0,20,1,1,41151,2,325,1,NA,0,0,-41152
0,21,1,2,42585,2,879,1,NA,0,0,-42586
0,22,1,1,44578,2,1721,1,NA,0,0,-44578
0,23,1,4,47406,2,406,1,NA,0,0,-47407
0,24,1,3,49017,2,115,1,NA,0,0,-49018
0,25,1,2,50284,2,349,1,NA,0,0,-50284
0,1,2,1,54166,NA,0,0,0,1130,1,-54166
0,2,2,4,56420,NA,0,0,0,449,1,-56421
0,3,2,3,57842,NA,0,0,0,540,1,-57843
0,4,2,2,59267,NA,0,0,9,402,0,-59267
0,5,2,4,60787,NA,0,0,9,292,0,-60787
0,6,2,3,62372,NA,0,0,0,57,1,-62372
0,7,2,1,63572,NA,0,0,NA,0,0,5000
0,8,2,2,69588,NA,0,0,NA,0,0,5000
0,9,2,1,75537,NA,0,0,NA,0,0,5000
0,10,2,3,81459,NA,0,0,NA,0,0,5000
0,11,2,2,87726,NA,0,0,NA,0,0,5000
0,12,2,4,93683,NA,0,0,NA,0,0,5000
0,13,2,1,99714,NA,0,0,NA,0,0,4999
0,14,2,4,105571,NA,0,0,NA,0,0,5000
0,15,2,3,111434,NA,0,0,NA,0,0,5000
0,16,2,2,117477,NA,0,0,NA,0,0,5000
0,17,2,3,123643,NA,0,0,NA,0,0,5000
0,18,2,4,129714,NA,0,0,NA,0,0,5000
0,19,2,2,135880,NA,0,0,NA,0,0,5000
0,20,2,1,141690,NA,0,0,NA,0,0,5000
0,21,2,4,147855,NA,0,0,NA,0,0,5000
0,22,2,1,154045,NA,0,0,NA,0,0,5000
0,23,2,2,159939,NA,0,0,NA,0,0,5000
0,24,2,3,166237,NA,0,0,NA,0,0,5000
0,25,2,1,172267,NA,0,0,NA,0,0,5000
0,1,3,4,638430,NA,0,0,NA,0,0,5000
0,1,1,1,4,4927,1,2131,0,NA,0,0,-4928
0,1,2,1,3,8194,NA,0,0,NA,0,0,4999
0,1,1,1,2,10634,1,3437,0,NA,0,0,-10635
0,1,2,1,4,15278,2,521,1,NA,0,0,-15278
0,1,3,1,1,16662,2,362,0,NA,0,0,-16662
0,1,4,1,3,18199,1,1327,1,NA,0,0,-18199
0,1,5,1,4,20408,2,476,1,NA,0,0,-20408
0,1,6,1,2,22139,2,1426,1,NA,0,0,-22139
0,1,7,1,3,24451,1,447,1,NA,0,0,-24451
0,1,8,1,1,26157,1,698,1,NA,0,0,-26157
0,1,9,1,3,27682,1,504,1,NA,0,0,-27682
0,1,10,1,1,29222,1,389,1,NA,0,0,-29222
0,1,11,1,2,30423,2,737,1,NA,0,0,-30424
0,1,12,1,4,32304,2,470,1,NA,0,0,-32305
0,1,13,1,1,33632,1,626,1,NA,0,0,-33632
0,1,14,1,4,35126,2,656,1,NA,0,0,-35126
0,1,15,1,3,36832,1,579,1,NA,0,0,-36832
0,1,16,1,2,38337,1,1301,0,NA,0,0,-38337
0,1,17,1,4,40709,2,536,1,NA,0,0,-40709
0,1,18,1,2,42414,1,525,0,NA,0,0,-42415
0,1,19,1,3,43987,1,562,1,NA,0,0,-43988
0,1,20,1,1,45614,1,522,1,NA,0,0,-45614
0,1,21,1,2,47115,1,420,0,NA,0,0,-47116
0,1,22,1,3,48546,2,513,0,NA,0,0,-48547
0,1,23,1,4,50227,1,323,0,NA,0,0,-50227
0,1,24,1,1,51574,1,579,1,NA,0,0,-51574
0,1,25,1,2,53249,1,618,0,NA,0,0,-53250
0,1,1,1,3,4237,1,1499,1,NA,0,0,-4238
0,1,2,1,1,6598,1,488,1,NA,0,0,-6598
0,1,3,1,4,8176,2,340,1,NA,0,0,-8177
0,1,4,1,2,9453,1,779,0,NA,0,0,-9453
0,1,5,1,3,11317,2,447,0,NA,0,0,-11318
0,1,6,1,1,12857,1,595,1,NA,0,0,-12857
0,1,7,1,4,14616,2,463,1,NA,0,0,-14617
0,1,8,1,2,15972,2,457,1,NA,0,0,-15972
0,1,9,1,1,17456,1,415,1,NA,0,0,-17456
0,1,10,1,3,19072,2,1116,0,NA,0,0,-19072
0,1,11,1,4,21445,2,409,1,NA,0,0,-21446
0,1,12,1,2,22705,2,444,1,NA,0,0,-22706
0,1,13,1,1,24062,1,493,1,NA,0,0,-24062
0,1,14,1,3,25669,1,348,1,NA,0,0,-25669
0,1,15,1,4,27284,2,387,1,NA,0,0,-27284
0,1,16,1,2,28582,2,934,1,NA,0,0,-28583
0,1,17,1,3,30454,1,446,1,NA,0,0,-30454
0,1,18,1,4,31885,2,435,1,NA,0,0,-31886
0,1,19,1,1,33547,1,494,1,NA,0,0,-33547
0,1,20,1,2,35189,2,472,1,NA,0,0,-35189
0,1,21,1,3,36543,1,484,1,NA,0,0,-36544
0,1,22,1,4,38295,2,423,1,NA,0,0,-38295
0,1,23,1,2,39979,2,833,1,NA,0,0,-39979
0,1,24,1,1,41690,1,665,1,NA,0,0,-41690
0,1,25,1,3,43306,1,675,1,NA,0,0,-43306
0,2,1,2,3,47977,NA,0,0,NA,0,0,5000
0,1,1,1,4,4821,2,675,1,NA,0,0,-4822
0,1,2,1,3,6636,2,598,0,NA,0,0,-6637
0,1,3,1,1,8402,1,537,1,NA,0,0,-8402
0,1,4,1,2,10044,2,1076,1,NA,0,0,-10044
0,1,5,1,3,12257,1,432,1,NA,0,0,-12257
0,1,6,1,1,13680,1,469,1,NA,0,0,-13681
0,1,7,1,4,15395,2,458,1,NA,0,0,-15396
0,1,8,1,2,17137,2,639,1,NA,0,0,-17137
0,1,9,1,1,18613,1,524,1,NA,0,0,-18613
0,1,10,1,2,20418,2,478,1,NA,0,0,-20419
0,1,11,1,4,21889,2,467,1,NA,0,0,-21889
0,1,12,1,3,23262,1,487,1,NA,0,0,-23262
0,1,13,1,1,24827,1,507,1,NA,0,0,-24827
0,1,14,1,2,26278,2,533,1,NA,0,0,-26279
0,1,15,1,4,28083,2,445,1,NA,0,0,-28084
0,1,16,1,3,29639,1,401,1,NA,0,0,-29639
0,1,17,1,2,31070,2,641,1,NA,0,0,-31071
0,1,18,1,4,32926,2,494,1,NA,0,0,-32926
0,1,19,1,1,34305,1,550,1,NA,0,0,-34305
0,1,20,1,3,35790,1,872,1,NA,0,0,-35790
0,1,21,1,4,37670,2,404,1,NA,0,0,-37670
0,1,22,1,1,38932,1,472,1,NA,0,0,-38932
0,1,23,1,2,40650,2,448,1,NA,0,0,-40650
0,1,24,1,3,41916,1,420,1,NA,0,0,-41916
0,1,25,1,4,43546,2,511,1,NA,0,0,-43547
0,2,1,2,4,51457,NA,0,0,0,2658,1,-51457
0,2,2,2,3,54997,NA,0,0,0,579,1,-54997
0,2,3,2,2,56843,NA,0,0,9,609,1,-56843
0,2,4,2,1,58508,NA,0,0,9,698,1,-58509
0,2,5,2,3,60396,NA,0,0,0,482,1,-60396
0,2,6,2,2,61933,NA,0,0,9,551,1,-61933
0,2,7,2,4,63725,NA,0,0,0,626,1,-63725
0,2,8,2,1,65186,NA,0,0,9,737,1,-65186
0,2,9,2,3,66800,NA,0,0,0,466,1,-66801
0,2,10,2,4,68153,NA,0,0,9,618,0,-68153
0,2,11,2,2,70073,NA,0,0,9,680,1,-70073
0,2,12,2,1,71809,NA,0,0,0,608,0,-71809
0,2,13,2,2,73244,NA,0,0,9,673,1,-73244
0,2,14,2,4,75022,NA,0,0,0,579,1,-75022
0,2,15,2,1,76518,NA,0,0,0,473,0,-76518
0,2,16,2,3,78203,NA,0,0,0,453,1,-78204
0,2,17,2,4,79540,NA,0,0,0,571,1,-79541
0,2,18,2,3,80923,NA,0,0,0,599,1,-80924
0,2,19,2,1,82587,NA,0,0,9,526,1,-82587
0,2,20,2,2,83958,NA,0,0,9,835,1,-83959
0,2,21,2,3,86095,NA,0,0,0,504,1,-86095
0,2,22,2,4,87786,NA,0,0,0,473,1,-87786
0,2,23,2,2,89204,NA,0,0,9,597,1,-89204
0,2,24,2,1,91056,NA,0,0,9,550,1,-91056
0,2,25,2,4,92721,NA,0,0,0,590,1,-92722
0,3,1,3,2,98525,1,1209,0,9,1361,1,-98525
0,3,2,3,3,101132,1,1315,1,9,1333,0,-101133
0,3,3,3,4,103701,2,1071,1,0,1071,1,-103702
0,3,4,3,1,105940,1,826,1,9,825,1,-105941
0,3,5,3,3,107816,1,683,1,9,655,0,-107816
0,3,6,3,2,109551,2,2132,1,9,2131,1,-109551
0,3,7,3,1,112759,1,2225,1,9,1429,1,-112759
0,3,8,3,4,115904,2,808,1,0,826,1,-115905
0,3,9,3,2,117652,2,975,1,9,974,1,-117652
0,3,10,3,4,119503,2,777,1,0,749,1,-119503
0,3,11,3,1,121151,1,689,1,9,712,1,-121151
0,3,12,3,3,123110,1,1126,1,0,1160,1,-123110
0,3,13,3,4,125193,2,1905,1,0,1905,1,-125193
0,3,14,3,3,128297,1,2548,1,0,2566,1,-128297
0,3,15,3,2,131687,1,749,0,9,748,1,-131687
