subnum,block,trial,type,stim,time0,resp1,rt1,corr1,resp2,rt2,corr2,tooslow
1,1,1,1,2,4577,1,2539,0,NA,0,0,1
1,1,2,1,4,8402,2,515,1,NA,0,0,1
1,1,3,1,3,10039,1,582,1,NA,0,0,1
1,1,4,1,1,11643,1,451,1,NA,0,0,1
1,1,5,1,2,13127,2,538,1,NA,0,0,1
1,1,6,1,4,14687,2,384,1,NA,0,0,1
1,1,7,1,3,15929,1,502,1,NA,0,0,1
1,1,8,1,1,17554,1,648,1,NA,0,0,1
1,1,9,1,2,19317,2,613,1,NA,0,0,1
1,1,10,1,4,21081,2,294,1,NA,0,0,1
1,1,11,1,3,22680,1,402,1,NA,0,0,1
1,1,12,1,1,24135,1,650,1,NA,0,0,1
1,1,13,1,3,25650,1,492,1,NA,0,0,1
1,1,14,1,4,27286,2,355,1,NA,0,0,1
1,1,15,1,1,28468,1,548,1,NA,0,0,1
1,1,16,1,2,30205,2,448,1,NA,0,0,1
1,1,17,1,1,31761,1,377,1,NA,0,0,1
1,1,18,1,4,33213,2,376,1,NA,0,0,1
1,1,19,1,3,34532,1,400,1,NA,0,0,1
1,1,20,1,2,36226,2,710,1,NA,0,0,1
1,1,21,1,4,37930,2,266,1,NA,0,0,1
1,1,22,1,2,39421,2,354,1,NA,0,0,1
1,1,23,1,3,40797,1,389,1,NA,0,0,1
1,1,24,1,1,42461,1,454,1,NA,0,0,1
1,1,25,1,3,43755,1,587,1,NA,0,0,1
1,2,1,2,4,48748,NA,0,0,0,991,1,1
1,2,2,2,3,50869,NA,0,0,0,541,1,1
1,2,3,2,2,52382,NA,0,0,9,411,1,1
1,2,4,2,1,54043,NA,0,0,9,410,1,1
1,2,5,2,3,55556,NA,0,0,0,433,1,1
1,2,6,2,4,56842,NA,0,0,0,378,1,1
1,2,7,2,1,58210,NA,0,0,9,409,1,1
1,2,8,2,2,59799,NA,0,0,0,465,0,1
1,2,9,2,1,61395,NA,0,0,9,427,1,1
1,2,10,2,2,62829,NA,0,0,9,377,1,1
1,2,11,2,3,64445,NA,0,0,0,446,1,1
1,2,12,2,4,66114,NA,0,0,0,633,1,1
1,2,13,2,2,67992,NA,0,0,9,550,1,1
1,2,14,2,3,69562,NA,0,0,0,469,1,1
1,2,15,2,4,71065,NA,0,0,0,383,1,1
1,2,16,2,1,72485,NA,0,0,9,408,1,1
1,2,17,2,3,74010,NA,0,0,0,439,1,1
1,2,18,2,2,75601,NA,0,0,0,363,0,1
1,2,19,2,4,77130,NA,0,0,0,955,1,1
1,2,20,2,1,79303,NA,0,0,9,527,1,1
1,2,21,2,2,80847,NA,0,0,9,784,1,1
1,2,22,2,4,82486,NA,0,0,0,428,1,1
1,2,23,2,3,84071,NA,0,0,0,475,1,1
1,2,24,2,1,85456,NA,0,0,9,557,1,1
1,2,25,2,4,86943,NA,0,0,0,471,1,1
1,3,1,3,1,90803,1,710,1,9,1208,1,1
1,3,2,3,2,93112,2,518,1,9,764,1,1
1,3,3,3,4,94976,2,605,1,0,604,1,1
1,3,4,3,3,96791,1,1252,1,0,1613,1,1
1,3,5,3,1,99266,1,695,1,9,774,1,1
1,3,6,3,3,100969,1,469,1,9,551,0,1
1,3,7,3,4,102551,2,1133,1,0,1150,1,1
1,3,8,3,2,104674,1,616,0,0,596,0,1
1,3,9,3,1,106179,1,1591,1,9,1173,1,1
1,3,10,3,4,109066,2,813,1,0,761,1,1
1,3,11,3,2,110786,1,982,0,9,915,1,1
1,3,12,3,3,112779,1,1183,1,9,1224,0,1
