subnum,block,type,trial,type,stim,time0,resp1,rt1,corr1,resp2,rt2,corr2,tooslow
11,1,PRACTICE,-25,1,3,7584,1,1041,1,NA,0,0,1
11,1,PRACTICE,-24,1,4,9601,2,492,1,NA,0,0,1
11,1,PRACTICE,-23,1,2,11173,1,457,0,NA,0,0,1
11,1,PRACTICE,-22,1,1,12511,1,866,1,NA,0,0,1
11,1,PRACTICE,-21,1,1,14362,1,445,1,NA,0,0,1
11,1,PRACTICE,-20,1,4,15856,2,319,1,NA,0,0,1
11,1,PRACTICE,-19,1,2,17403,2,473,1,NA,0,0,1
11,1,PRACTICE,-18,1,3,18853,1,485,1,NA,0,0,1
11,1,TEST,1,1,3,20457,2,458,0,NA,0,0,1
11,1,TEST,2,1,1,22205,1,760,1,NA,0,0,1
11,1,TEST,3,1,4,24150,2,481,1,NA,0,0,1
11,1,TEST,4,1,2,25659,1,403,0,NA,0,0,1
11,1,TEST,5,1,1,27304,1,927,1,NA,0,0,1
11,1,TEST,6,1,4,29204,2,437,1,NA,0,0,1
11,1,TEST,7,1,3,30801,1,426,1,NA,0,0,1
11,1,TEST,8,1,2,32150,2,548,1,NA,0,0,1
11,1,TEST,9,1,1,33886,1,431,1,NA,0,0,1
11,1,TEST,10,1,4,35482,2,801,1,NA,0,0,1
11,1,TEST,11,1,3,37234,2,574,0,NA,0,0,1
11,1,TEST,12,1,2,39066,2,625,1,NA,0,0,1
11,1,TEST,13,1,3,40655,1,551,1,NA,0,0,1
11,1,TEST,14,1,2,42398,2,707,1,NA,0,0,1
11,1,TEST,15,1,4,44130,2,510,1,NA,0,0,1
11,1,TEST,16,1,1,45941,1,897,1,NA,0,0,1
11,1,TEST,17,1,4,47766,2,472,1,NA,0,0,1
11,1,TEST,18,1,3,49326,1,626,1,NA,0,0,1
11,1,TEST,19,1,1,50863,2,366,0,NA,0,0,1
11,1,TEST,20,1,2,52269,1,538,0,NA,0,0,1
11,1,TEST,21,1,3,54055,1,741,1,NA,0,0,1
11,1,TEST,22,1,4,55611,2,448,1,NA,0,0,1
11,1,TEST,23,1,1,57221,1,454,1,NA,0,0,1
11,1,TEST,24,1,2,58855,2,584,1,NA,0,0,1
11,1,TEST,25,1,1,60428,1,614,1,NA,0,0,1
11,2,PRACTICE,-25,2,3,67254,NA,0,0,0,374,1,1
11,2,PRACTICE,-24,2,1,68781,NA,0,0,9,454,1,1
11,2,PRACTICE,-23,2,2,70453,NA,0,0,9,477,1,1
11,2,PRACTICE,-22,2,4,72126,NA,0,0,0,471,1,1
11,2,PRACTICE,-21,2,4,73663,NA,0,0,0,385,1,1
11,2,PRACTICE,-20,2,3,75058,NA,0,0,9,443,0,1
11,2,PRACTICE,-19,2,1,76780,NA,0,0,9,505,1,1
11,2,PRACTICE,-18,2,2,78117,NA,0,0,9,1067,1,1
11,2,TEST,1,2,1,80105,NA,0,0,9,572,1,1
11,2,TEST,2,2,3,81918,NA,0,0,0,439,1,1
11,2,TEST,3,2,4,83317,NA,0,0,0,422,1,1
11,2,TEST,4,2,2,84716,NA,0,0,9,654,1,1
11,2,TEST,5,2,3,86527,NA,0,0,0,409,1,1
11,2,TEST,6,2,4,88181,NA,0,0,0,442,1,1
11,2,TEST,7,2,1,89540,NA,0,0,9,352,1,1
11,2,TEST,8,2,2,91181,NA,0,0,9,621,1,1
11,2,TEST,9,2,4,92830,NA,0,0,0,666,1,1
11,2,TEST,10,2,3,94475,NA,0,0,0,394,1,1
11,2,TEST,11,2,2,96073,NA,0,0,9,464,1,1
11,2,TEST,12,2,1,97454,NA,0,0,9,467,1,1
11,2,TEST,13,2,4,99199,NA,0,0,0,483,1,1
11,2,TEST,14,2,1,100742,NA,0,0,9,472,1,1
11,2,TEST,15,2,2,102030,NA,0,0,9,533,1,1
11,2,TEST,16,2,3,103493,NA,0,0,0,425,1,1
11,2,TEST,17,2,1,105208,NA,0,0,0,457,0,1
11,2,TEST,18,2,3,106565,NA,0,0,0,845,1,1
11,2,TEST,19,2,2,108620,NA,0,0,9,409,1,1
11,2,TEST,20,2,4,109999,NA,0,0,0,403,1,1
11,2,TEST,21,2,3,111239,NA,0,0,0,500,1,1
11,2,TEST,22,2,1,112608,NA,0,0,9,431,1,1
11,2,TEST,23,2,2,114064,NA,0,0,9,403,1,1
11,2,TEST,24,2,4,115282,NA,0,0,0,476,1,1
11,2,TEST,25,2,2,116977,NA,0,0,9,516,1,1
11,3,PRACTICE,-25,3,1,123018,1,778,1,9,778,1,1
11,3,PRACTICE,-24,3,2,124686,2,619,1,0,711,0,1
11,3,PRACTICE,-23,3,4,126559,2,643,1,0,1397,1,1
11,3,PRACTICE,-22,3,3,128876,1,1030,1,9,726,0,1
11,3,PRACTICE,-21,3,4,130914,2,1128,1,0,907,1,1
11,3,PRACTICE,-20,3,2,132861,1,1862,0,0,1861,0,1
11,3,PRACTICE,-19,3,3,135939,1,1837,1,0,1284,1,1
11,3,PRACTICE,-18,3,1,139018,1,840,1,9,866,1,1
11,3,TEST,1,3,1,140844,1,629,1,9,628,1,1
11,3,TEST,2,3,3,142708,1,1147,1,0,1147,1,1
11,3,TEST,3,3,4,145000,2,616,1,0,616,1,1
11,3,TEST,4,3,2,146617,1,632,0,9,632,1,1
11,3,TEST,5,3,4,148116,2,902,1,0,916,1,1
11,3,TEST,6,3,1,150053,1,809,1,9,808,1,1
11,3,TEST,7,3,3,152156,1,2671,1,0,2689,1,1
11,3,TEST,8,3,2,155853,2,1070,1,0,1259,0,1
11,3,TEST,9,3,3,158136,1,678,1,9,678,0,1
11,3,TEST,10,3,4,159885,2,557,1,0,556,1,1
11,3,TEST,11,3,1,161683,1,1442,1,9,1441,1,1
11,3,TEST,12,3,2,164055,1,905,0,0,1300,0,1
11,3,TEST,13,3,3,166370,1,2118,1,0,2165,1,1
11,3,TEST,14,3,2,169543,1,1465,0,0,1484,0,1
11,3,TEST,15,3,1,171928,1,1318,1,9,1317,1,1
11,3,TEST,16,3,4,174423,2,1573,1,0,1591,1,1
11,3,TEST,17,3,1,177301,1,827,1,9,861,1,1
11,3,TEST,18,3,2,179447,2,3932,1,9,3932,1,1
11,3,TEST,19,3,4,184349,2,753,1,0,753,1,1
11,3,TEST,20,3,3,186067,1,2616,1,0,2615,1,1
11,3,TEST,21,3,2,189520,1,590,0,9,612,1,1
11,3,TEST,22,3,1,191230,2,554,0,0,554,0,1
11,3,TEST,23,3,4,192802,2,934,1,0,878,1,1
11,3,TEST,24,3,3,194831,1,670,1,9,695,0,1
11,3,TEST,25,3,1,196706,1,1456,1,9,1537,1,1
