subnum,block,trial,type,stim,time0,resp1,rt1,corr1,resp2,rt2,corr2,tooslow
shane,1,1,1,4,7540,2,736,1,NA,0,0,1
shane,1,2,1,3,9144,1,432,1,NA,0,0,1
shane,1,3,1,2,10650,2,1127,1,NA,0,0,1
shane,1,4,1,1,12821,1,435,1,NA,0,0,1
shane,1,5,1,4,14312,2,446,1,NA,0,0,1
shane,1,6,1,2,15976,2,430,1,NA,0,0,1
shane,1,7,1,1,17566,1,496,1,NA,0,0,1
shane,1,8,1,3,19031,2,498,0,NA,0,0,1
shane,1,9,1,1,20559,1,409,1,NA,0,0,1
shane,1,10,1,2,22059,2,489,1,NA,0,0,1
shane,1,11,1,3,23632,1,417,1,NA,0,0,1
shane,1,12,1,4,25091,2,494,1,NA,0,0,1
shane,1,13,1,1,26704,1,445,1,NA,0,0,1
shane,1,14,1,4,27987,2,551,1,NA,0,0,1
shane,1,15,1,2,29576,2,751,1,NA,0,0,1
shane,1,16,1,3,31507,1,452,1,NA,0,0,1
shane,1,17,1,2,33038,2,602,1,NA,0,0,1
shane,1,18,1,4,34587,2,544,1,NA,0,0,1
shane,1,19,1,1,36428,1,497,1,NA,0,0,1
shane,1,20,1,3,37776,1,632,1,NA,0,0,1
shane,1,21,1,1,39524,1,387,1,NA,0,0,1
shane,1,22,1,3,41146,1,448,1,NA,0,0,1
shane,1,23,1,4,42622,2,542,1,NA,0,0,1
shane,1,24,1,2,44409,2,718,1,NA,0,0,1
shane,1,25,1,4,46349,2,514,1,NA,0,0,1
shane,2,1,2,4,50489,NA,0,0,0,1156,1,1
shane,2,2,2,2,52669,NA,0,0,9,504,1,1
shane,2,3,2,3,54281,NA,0,0,0,566,1,1
shane,2,4,2,1,55707,NA,0,0,9,605,1,1
shane,2,5,2,4,57599,NA,0,0,0,678,1,1
shane,2,6,2,3,59189,NA,0,0,9,807,0,1
shane,2,7,2,2,60998,NA,0,0,9,587,1,1
shane,2,8,2,1,62632,NA,0,0,9,456,1,1
shane,2,9,2,3,63963,NA,0,0,0,490,1,1
shane,2,10,2,4,65361,NA,0,0,0,359,1,1
shane,2,11,2,2,66591,NA,0,0,9,550,1,1
shane,2,12,2,1,68249,NA,0,0,9,440,1,1
shane,2,13,2,2,69748,NA,0,0,9,436,1,1
shane,2,14,2,4,71124,NA,0,0,0,451,1,1
shane,2,15,2,3,72821,NA,0,0,0,545,1,1
shane,2,16,2,1,74424,NA,0,0,9,1041,1,1
shane,2,17,2,4,76640,NA,0,0,0,680,1,1
shane,2,18,2,3,78431,NA,0,0,0,422,1,1
shane,2,19,2,2,79702,NA,0,0,9,634,1,1
shane,2,20,2,1,81516,NA,0,0,9,466,1,1
shane,2,21,2,3,83194,NA,0,0,0,604,1,1
shane,2,22,2,1,84741,NA,0,0,0,627,0,1
shane,2,23,2,2,86592,NA,0,0,9,539,1,1
shane,2,24,2,4,88169,NA,0,0,0,652,1,1
shane,2,25,2,3,89733,NA,0,0,0,545,1,1
shane,3,1,3,3,95304,1,1046,1,0,4678,1,1
shane,3,2,3,4,100879,2,1095,1,0,1136,1,1
shane,3,3,3,2,103138,1,908,0,9,907,1,1
shane,3,4,3,1,104861,2,963,0,9,1036,1,1
shane,3,5,3,3,106997,1,1769,1,0,1787,1,1
shane,3,6,3,4,109965,2,2441,1,0,2556,1,1
shane,3,7,3,2,113430,2,2243,1,9,1326,1,1
shane,3,8,3,1,116758,1,1048,1,9,575,1,1
shane,3,9,3,3,118933,1,991,1,0,774,1,1
shane,3,10,3,2,121009,2,1914,1,9,852,1,1
shane,3,11,3,1,124206,1,459,1,9,765,1,1
shane,3,12,3,4,125845,2,685,1,0,703,1,1
shane,3,13,3,3,127358,1,731,1,0,731,1,1
shane,3,14,3,2,129052,1,603,0,9,636,1,1
shane,3,15,3,1,130909,2,357,0,9,391,1,1
shane,3,16,3,4,132533,2,1451,1,0,1451,1,1
shane,3,17,3,2,134866,2,2958,1,9,2397,1,1
shane,3,18,3,3,138968,1,1719,1,0,1904,1,1
shane,3,19,3,1,142132,1,874,1,0,916,0,1
shane,3,20,3,4,143917,2,2089,1,0,1570,1,1
shane,3,21,3,2,146860,1,825,0,9,859,1,1
shane,3,22,3,1,148758,1,1433,1,9,968,1,1
shane,3,23,3,4,151183,2,1026,1,0,755,1,1
shane,3,24,3,3,153218,1,1399,1,0,2273,1,1
shane,3,25,3,1,156563,1,993,1,9,1539,1,1
shane,4,1,1,4,184491,2,598,1,NA,0,0,1
shane,4,2,1,2,186017,2,429,1,NA,0,0,1
shane,4,3,1,1,187307,1,408,1,NA,0,0,1
shane,4,4,1,3,188797,1,637,1,NA,0,0,1
shane,4,5,1,1,190514,1,397,1,NA,0,0,1
shane,4,6,1,2,192106,2,490,1,NA,0,0,1
shane,4,7,1,4,193701,2,407,1,NA,0,0,1
shane,4,8,1,3,195201,1,518,1,NA,0,0,1
shane,4,9,1,4,196962,2,458,1,NA,0,0,1
shane,4,10,1,2,198319,2,360,1,NA,0,0,1
shane,4,11,1,1,199876,1,393,1,NA,0,0,1
shane,4,12,1,3,201372,1,489,1,NA,0,0,1
shane,4,13,1,2,203061,2,453,1,NA,0,0,1
shane,4,14,1,4,204604,2,366,1,NA,0,0,1
shane,4,15,1,1,205808,1,546,1,NA,0,0,1
shane,4,16,1,3,207462,1,433,1,NA,0,0,1
shane,4,17,1,2,209155,2,448,1,NA,0,0,1
shane,4,18,1,1,210497,1,490,1,NA,0,0,1
shane,4,19,1,3,212264,1,587,1,NA,0,0,1
shane,4,20,1,4,213754,2,506,1,NA,0,0,1
shane,4,21,1,1,215273,1,541,1,NA,0,0,1
shane,4,22,1,2,216775,2,404,1,NA,0,0,1
shane,4,23,1,4,218383,2,490,1,NA,0,0,1
shane,4,24,1,3,219922,1,369,1,NA,0,0,1
shane,4,25,1,1,221363,1,470,1,NA,0,0,1
shane,5,1,2,2,225450,NA,0,0,9,810,1,1
shane,5,2,2,4,227424,NA,0,0,0,445,1,1
shane,5,3,2,1,228736,NA,0,0,9,422,1,1
shane,5,4,2,3,230081,NA,0,0,0,402,1,1
shane,5,5,2,1,231759,NA,0,0,9,574,1,1
shane,5,6,2,2,233519,NA,0,0,9,373,1,1
shane,5,7,2,4,235017,NA,0,0,0,457,1,1
shane,5,8,2,3,236294,NA,0,0,0,437,1,1
shane,5,9,2,4,238032,NA,0,0,0,320,1,1
shane,5,10,2,2,239294,NA,0,0,9,473,1,1
shane,5,11,2,1,240742,NA,0,0,9,478,1,1
shane,5,12,2,3,242186,NA,0,0,0,415,1,1
shane,5,13,2,2,243635,NA,0,0,0,416,0,1
shane,5,14,2,1,244963,NA,0,0,9,749,1,1
shane,5,15,2,4,246731,NA,0,0,0,659,1,1
shane,5,16,2,3,248309,NA,0,0,0,556,1,1
