time_ms,energy,power,rmse,signs_per_sec,directions_per_sec
0,0.125046,0.172755,0.560314,9500,18000
10,0.0766522,0.096983,0.256361,9900,16900
20,0.0507803,0.0658582,0.185788,12600,16700
30,0.0409488,0.0516424,0.157599,12400,16800
40,0.0259,0.0325703,0.0803727,11400,16800
50,0.0243802,0.0303448,0.0656274,9500,15100
60,0.0170441,0.0220302,0.0497508,9200,16800
70,0.0170441,0.0220302,0.0497508,9200,16800
80,0.0154812,0.0193124,0.0398845,7900,14600
90,0.0115809,0.0144145,0.0293988,8300,15700
100,0.00960444,0.0117891,0.0238112,7400,15900
110,0.00868891,0.0114088,0.0154269,5700,13900
120,0.0229455,0.0333754,0.0791876,7500,15700
130,0.0157934,0.0191812,0.0369598,6500,16500
140,0.0100163,0.0127078,0.033493,7300,16700
150,0.00696467,0.0087586,0.0152587,5400,15200
160,0.00859195,0.0100941,0.0127895,3300,16100
170,0.00875646,0.0104316,0.0109252,3300,16500
180,0.0065875,0.00801426,0.00807019,3700,15900
190,0.00724265,0.00825812,0.00617823,2100,14700
200,0.00599892,0.00706438,0.00540512,2500,14800
210,0.00706704,0.00836077,0.00488309,1600,14300
220,0.0101339,0.0123338,0.00583746,2300,15700
230,0.010566,0.0126765,0.00515977,900,15100
240,0.00698839,0.00824235,0.00512199,1400,15900
250,0.0133711,0.014867,0.00439757,300,15200
260,0.00882818,0.0113958,0.00461921,2100,14000
270,0.00716206,0.00915739,0.00397134,1900,14600
280,0.00915957,0.0130595,0.0310828,7600,13800
290,0.0411303,0.0523715,0.156227,13900,15100
300,0.0487488,0.0637058,0.205576,14900,16000
310,0.0519078,0.0629344,0.193541,15100,16100
320,0.0812766,0.112305,0.334046,13000,14600
330,0.139277,0.178661,0.556376,14200,15700
340,0.142144,0.177692,0.56233,14900,16100
350,0.186294,0.234179,0.76324,15600,15800
360,0.154774,0.19627,0.656249,15200,16400
370,0.100375,0.123338,0.409085,15700,16900
380,0.0695211,0.0926426,0.204984,10500,16200
390,0.208026,0.27126,0.172272,3400,14400
400,0.438485,0.525787,0.135619,1200,10000
410,0.527449,0.594027,0.146063,800,5900
420,0.42878,0.49748,0.107393,1100,5200
430,0.538702,0.612666,0.0800591,1200,5200
440,0.482945,0.566162,0.0750969,1000,4000
450,0.28022,0.349628,0.0924957,1300,5800
460,0.253963,0.303364,0.0540694,1100,6400
470,0.238492,0.28356,0.0436713,1100,4700
480,0.099549,0.127428,0.182188,5300,14100
490,0.198378,0.246345,0.68254,11400,16000
500,0.172455,0.210244,0.527286,10600,15700
510,0.118452,0.148019,0.425864,13400,16400
520,0.127387,0.15984,0.492479,13300,16100
530,0.15223,0.188548,0.614046,15400,17000
540,0.0840227,0.107674,0.313433,12600,17100
