time_ms,energy,power,rmse,signs_per_sec,directions_per_sec
0,0.0636561,0.0899816,0.276587,11500,17400
10,0.0381496,0.0500025,0.12264,12000,15800
20,0.033457,0.0436248,0.129752,13100,16400
30,0.0231179,0.0281774,0.0771088,10900,16500
40,0.0153695,0.0193822,0.0482093,9600,17000
50,0.0148192,0.0187462,0.039128,9500,15200
60,0.012314,0.0162118,0.0332281,8500,14400
70,0.0121952,0.0150494,0.0253391,5800,16300
80,0.00977159,0.0122541,0.0227623,7000,16000
90,0.00901767,0.0113652,0.0183401,6300,15600
100,0.00874356,0.0110023,0.0110357,3400,13100
110,0.00929829,0.0113533,0.0141275,2100,13700
120,0.00442907,0.00562144,0.00772156,5800,14300
130,0.0127996,0.0192001,0.0535092,7300,15100
140,0.0164696,0.0224779,0.0617033,8600,15400
150,0.0139114,0.0178169,0.0401791,7700,16000
160,0.00873871,0.0105607,0.0148214,3900,17400
170,0.00734017,0.00935179,0.0134234,4500,16100
180,0.00624043,0.00755191,0.00844251,2500,16200
190,0.0169402,0.0264169,0.0845928,10100,17700
200,0.0101077,0.0128319,0.0403574,9900,18200
210,0.00906969,0.0123632,0.0421808,13600,17800
220,0.00740509,0.0090863,0.0203991,7400,17800
230,0.00796065,0.00960057,0.0136318,4000,17400
240,0.00786674,0.01008,0.0152829,5900,17700
250,0.00680611,0.00822779,0.00910269,3000,16300
260,0.00478627,0.00586845,0.00672099,2800,16900
270,0.00426511,0.00537146,0.00675672,4400,17300
280,0.0130242,0.0188758,0.00659486,1700,14200
290,0.0142201,0.0162867,0.00842096,1100,16200
300,0.0375782,0.0466827,0.00603444,700,9800
310,0.0685752,0.0851202,0.00822815,600,4400
320,0.182418,0.225515,0.0266329,700,2400
330,0.250894,0.295616,0.0222722,600,2900
340,0.203639,0.23804,0.0274501,800,3500
350,0.116861,0.144384,0.05436,1200,11700
360,0.09126,0.114559,0.17137,5100,14700
370,0.168906,0.220148,0.638429,12300,15500
380,0.185375,0.230866,0.710568,15200,16400
390,0.221766,0.268863,0.895288,16500,17500
400,0.231474,0.292975,0.971725,15500,16900
410,0.205358,0.261275,0.881744,15300,16700
420,0.199247,0.256379,0.866199,15800,17100
430,0.134744,0.165696,0.536491,15000,16800
440,0.0997398,0.132575,0.412623,13400,18000
450,0.0528195,0.0653125,0.181039,12200,16400
460,0.0349206,0.0436993,0.12837,12700,16100
470,0.0349206,0.0436993,0.12837,12700,16100
480,0.0577877,0.0765546,0.123853,8400,15200
490,0.0710491,0.0913503,0.0933524,3900,15300
500,0.136438,0.170583,0.0681001,1400,11900
510,0.141068,0.181784,0.0720843,2400,10300
520,0.238711,0.296855,0.0632346,900,9700
530,0.228359,0.291614,0.0619248,900,9500
540,0.248993,0.319048,0.100239,1900,7600
550,0.291911,0.380652,0.0532593,1300,7700
560,0.233045,0.320796,0.0531048,1100,8400
570,0.26243,0.346717,0.0426164,800,6600
580,0.218162,0.259756,0.0481985,800,5900
590,0.272371,0.327719,0.0666208,900,5100
600,0.25634,0.305888,0.0432685,700,6600
610,0.19891,0.251663,0.0572103,900,9700
620,0.21989,0.253166,0.0424785,1300,7400
630,0.17609,0.206965,0.0406822,1000,8500
640,0.0756097,0.095474,0.0195619,1200,9800
650,0.105736,0.126878,0.0463977,1000,11500
660,0.0840111,0.100083,0.02131,500,10800
670,0.0597864,0.0707159,0.0442943,1400,14700
680,0.0458262,0.0571226,0.153128,11000,17600
690,0.080279,0.098626,0.327222,15200,17200
700,0.0949825,0.123422,0.414088,14900,16800
710,0.127535,0.165649,0.530641,14400,16300
720,0.127175,0.165164,0.50792,13600,15400
730,0.118073,0.145008,0.452886,14100,15200
740,0.0858674,0.108567,0.349759,15300,16300
750,0.0488813,0.0624305,0.19392,14400,16600
760,0.0333737,0.0405059,0.11927,13500,16700
770,0.0859804,0.109328,0.0870618,3200,15800
780,0.193889,0.229307,0.0569884,600,11500
790,0.181916,0.219147,0.0712862,1100,11700
800,0.134242,0.154324,0.0408851,1300,10300
810,0.113041,0.133638,0.0389901,1000,11100
820,0.118219,0.13754,0.0311101,600,10600
830,0.0874673,0.103814,0.0273561,1200,12700
840,0.0975745,0.115191,0.0163604,300,9900
850,0.0957877,0.114295,0.0215451,700,10700
860,0.0815703,0.0992946,0.0138208,600,9500
870,0.0611543,0.0718656,0.0131992,400,11400
880,0.0572769,0.0647412,0.0124549,400,9800
890,0.0626914,0.0735319,0.00832889,300,10500
900,0.0524475,0.0639532,0.0107301,400,9000
910,0.0496461,0.0550389,0.0106582,400,12000
920,0.0333674,0.0423535,0.00959877,700,12600
930,0.0205716,0.0265038,0.00866276,600,13400
940,0.0144792,0.0171797,0.00592592,400,13100
950,0.0128938,0.0145079,0.00462461,700,14800
960,0.010278,0.0118601,0.00438279,1500,15100
970,0.00710394,0.00904793,0.00467379,3000,14600
980,0.00767905,0.00898976,0.00455152,2100,15700
990,0.00545474,0.00704184,0.00420825,4200,14000
1000,0.00749193,0.0089334,0.00450183,1900,14100
1010,0.00587255,0.00745844,0.00442813,1600,14200
1020,0.00579085,0.00676202,0.00521151,900,15600
1030,0.00748305,0.00871666,0.00469742,1600,15000
1040,0.00741841,0.00858419,0.00434769,800,13500
1050,0.00474271,0.00626285,0.00488114,3100,14400
1060,0.00499753,0.006482,0.00491048,3000,16800
1070,0.00478599,0.0057914,0.00428967,2000,15900
1080,0.0826816,0.183889,0.399034,8500,15600
1090,0.132457,0.197166,0.402644,9200,17600
