# Voice Key Calibration Results
method,adaptive
threshold,0.0188196
noiseReject,100
signalCapture,58.2117
noiseSamples,200
speechSamples,548

# ROC Curve Data
threshold,noiseRejectPct,signalCapturePct
0.00362278,0.5,100
0.0112212,91,69.3431
0.0188196,100,58.2117
0.0264181,100,53.1022
0.0340165,100,49.4526
0.0416149,100,46.5328
0.0492134,100,45.073
0.0568118,100,43.0657
0.0644102,100,41.7883
0.0720086,100,39.9635
0.0796071,100,38.3212
0.0872055,100,36.4964
0.0948039,100,35.7664
0.102402,100,34.854
0.110001,100,34.1241
0.117599,100,32.4818
0.125198,100,31.7518
0.132796,100,30.6569
0.140394,100,29.927
0.147993,100,29.562
0.155591,100,28.6496
0.16319,100,27.9197
0.170788,100,27.5547
0.178387,100,26.8248
0.185985,100,25.7299
0.193583,100,25
0.201182,100,24.0876
0.20878,100,22.4453
0.216379,100,21.3504
0.223977,100,19.8905
0.231576,100,19.5255
0.239174,100,18.4307
0.246772,100,17.8832
0.254371,100,17.7007
0.261969,100,17.3358
0.269568,100,16.6058
0.277166,100,15.8759
0.284765,100,15.6934
0.292363,100,14.781
0.299961,100,14.2336
0.30756,100,13.5036
0.315158,100,13.5036
0.322757,100,13.5036
0.330355,100,13.1387
0.337954,100,13.1387
0.345552,100,12.9562
0.35315,100,12.9562
0.360749,100,12.5912
0.368347,100,11.4964
0.375946,100,11.1314
0.383544,100,10.5839
0.391143,100,9.85401
0.398741,100,9.48905
0.406339,100,9.12409
0.413938,100,8.94161
0.421536,100,8.75912
0.429135,100,8.57664
0.436733,100,8.57664
0.444332,100,8.0292
0.45193,100,7.84672
0.459528,100,7.66423
0.467127,100,6.93431
0.474725,100,6.75182
0.482324,100,6.20438
0.489922,100,5.83942
0.497521,100,5.83942
0.505119,100,5.47445
0.512717,100,4.92701
0.520316,100,4.74453
0.527914,100,4.19708
0.535513,100,3.83212
0.543111,100,2.91971
0.55071,100,2.73723
0.558308,100,2.55474
0.565906,100,2.18978
0.573505,100,2.18978
0.581103,100,2.0073
0.588702,100,2.0073
0.5963,100,2.0073
0.603899,100,1.82482
0.611497,100,1.45985
0.619095,100,1.45985
0.626694,100,1.45985
0.634292,100,1.45985
0.641891,100,1.27737
0.649489,100,1.27737
0.657088,100,1.09489
0.664686,100,1.09489
0.672284,100,1.09489
0.679883,100,0.912409
0.687481,100,0.912409
0.69508,100,0.912409
0.702678,100,0.729927
0.710277,100,0.547445
0.717875,100,0.547445
0.725473,100,0.547445
0.733072,100,0.547445
0.74067,100,0.547445
0.748269,100,0.182482
0.755867,100,0.182482
