subnum,trial,starttime,number,isodd,resp,corr,rt
17,1,7231,969,1,<lshift>,1,935
17,2,8671,582,0,<rshift>,1,767
17,3,9944,910,0,<rshift>,1,1318
17,4,11767,742,0,<rshift>,1,501
17,5,12775,226,0,<rshift>,1,1055
17,6,14336,454,0,<rshift>,1,950
17,7,15791,478,0,<rshift>,1,509
17,8,16808,468,0,<rshift>,1,437
17,9,17751,967,1,<lshift>,1,399
17,10,18655,299,1,<rshift>,0,471
17,11,19631,353,1,<rshift>,0,615
17,12,20752,811,1,<lshift>,1,1004
17,13,22264,109,1,<lshift>,1,558
17,14,23327,949,1,<lshift>,1,503
17,15,24335,765,1,<lshift>,1,798
17,16,25640,136,0,<rshift>,1,646
17,17,26791,148,0,<rshift>,1,614
17,18,27911,816,0,<rshift>,1,847
17,19,29264,621,1,<lshift>,1,453
17,20,30223,775,1,<lshift>,1,853
