subnum,block,trial,practice,cue,topbottom,targdir,flankercoherence,flankerdir,time0,delay,resp,corr,rt
theoau,0,1,1,1,hi,-1,1,-1,11706,720.875,left,1,920
theoau,0,2,1,1,lo,-1,0,0,15706,1179.35,left,1,936
theoau,0,3,1,3,lo,1,-1,-1,19706,445.235,right,1,705
theoau,0,4,1,1,hi,-1,-1,1,23706,1506.68,left,1,918
theoau,0,5,1,2,lo,1,1,1,27706,589.084,right,1,601
theoau,0,6,1,1,lo,1,0,0,31706,968.254,right,1,687
theoau,0,7,1,3,hi,-1,1,-1,35706,1430.05,left,1,348
theoau,0,1,1,3,hi,-1,1,-1,18528,1560.77,left,1,1894
theoau,0,2,1,1,lo,-1,0,0,22528,881.996,left,1,817
theoau,0,3,1,1,hi,-1,-1,1,26528,812.382,left,1,835
theoau,0,4,1,2,lo,-1,1,-1,30528,1042.62,left,1,568
