subnum,type,block,congruency,trial,stim,resp,corr,rt,tooslow
_eaueoa,practice,0,-1,1,4,left,1,425,0
_eaueoa,practice,0,-1,2,2,left,0,350,0
_eaueoa,practice,0,1,3,1,left,1,314,0
_eaueoa,practice,0,0,4,6,right,1,1424,0
_eaueoa,practice,0,0,5,5,left,1,429,0
_eaueoa,practice,0,1,6,3,left,0,80,0
_eaueoa,neutral,1,0,1,5,left,1,452,0
_eaueoa,neutral,1,0,2,5,left,1,139,0
_eaueoa,neutral,1,0,3,6,left,0,118,0
_eaueoa,neutral,1,0,4,6,left,0,378,0
_eaueoa,neutral,1,0,5,5,left,1,161,0
_eaueoa,neutral,1,0,6,5,-1,0,3004,1
_eaueoa,neutral,1,0,7,6,-1,0,3000,1
_eaueoa,neutral,1,0,8,6,-1,0,3000,1
_eaueoa,neutral,1,0,9,5,-1,0,3000,1
_eaueoa,neutral,1,0,10,6,-1,0,3000,1
_eaueoa,neutral,1,0,11,6,-1,0,3000,1
_eaueoa,neutral,1,0,12,5,-1,0,3000,1
_eaueoa,neutral,1,0,13,5,-1,0,3000,1
_eaueoa,neutral,1,0,14,6,-1,0,3000,1
_eaueoa,neutral,1,0,15,5,-1,0,3000,1
_eaueoa,neutral,1,0,16,6,-1,0,3000,1
_eaueoa,neutral,1,0,17,5,-1,0,3000,1
_eaueoa,neutral,1,0,18,6,-1,0,3000,1
_eaueoa,neutral,1,0,19,5,-1,0,3000,1
_eaueoa,neutral,1,0,20,6,-1,0,3000,1
_eaueoa,congruent,2,1,1,3,right,1,664,0
_eaueoa,congruent,2,1,2,3,left,0,393,0
_eaueoa,congruent,2,1,3,1,left,1,217,0
_eaueoa,congruent,2,1,4,1,right,0,394,0
_eaueoa,congruent,2,1,5,3,right,1,63,0
_eaueoa,congruent,2,1,6,1,left,1,449,0
_eaueoa,congruent,2,1,7,3,left,0,211,0
_eaueoa,congruent,2,1,8,1,left,1,118,0
