subnum,type,block,congruency,trial,stim,resp,corr,rt,tooslow
hth_.p,practice,0,-1,1,4,left,1,1239,0
hth_.p,practice,0,0,2,5,left,1,509,0
hth_.p,practice,0,0,3,6,right,1,978,0
hth_.p,practice,0,-1,4,2,right,1,1109,0
hth_.p,practice,0,1,5,3,right,1,665,0
hth_.p,practice,0,1,6,1,left,1,915,0
hth_.p,neutral,1,0,1,6,right,1,1105,0
hth_.p,neutral,1,0,2,5,left,1,1053,0
hth_.p,neutral,1,0,3,6,right,1,835,0
hth_.p,neutral,1,0,4,5,left,1,975,0
hth_.p,neutral,1,0,5,5,left,1,653,0
hth_.p,neutral,1,0,6,6,right,1,778,0
hth_.p,neutral,1,0,7,6,right,1,1221,0
hth_.p,neutral,1,0,8,5,left,1,842,0
hth_.p,neutral,1,0,9,5,left,1,435,0
hth_.p,neutral,1,0,10,6,right,1,399,0
hth_.p,neutral,1,0,11,5,left,1,777,0
hth_.p,neutral,1,0,12,6,right,1,702,0
hth_.p,neutral,1,0,13,6,right,1,1475,0
hth_.p,neutral,1,0,14,5,left,1,722,0
hth_.p,neutral,1,0,15,6,right,1,1146,0
hth_.p,neutral,1,0,16,5,left,1,729,0
hth_.p,neutral,1,0,17,5,left,1,786,0
hth_.p,neutral,1,0,18,6,right,1,589,0
hth_.p,neutral,1,0,19,6,right,1,998,0
hth_.p,neutral,1,0,20,5,left,1,827,0
hth_.p,congruent,2,1,1,1,left,1,647,0
hth_.p,congruent,2,1,2,3,right,1,913,0
hth_.p,congruent,2,1,3,1,left,1,709,0
hth_.p,congruent,2,1,4,3,right,1,1061,0
hth_.p,congruent,2,1,5,3,right,1,843,0
hth_.p,congruent,2,1,6,1,left,1,1122,0
hth_.p,congruent,2,1,7,1,left,1,675,0
hth_.p,congruent,2,1,8,3,right,1,850,0
hth_.p,congruent,2,1,9,3,right,1,569,0
hth_.p,congruent,2,1,10,1,left,1,554,0
hth_.p,congruent,2,1,11,1,left,1,385,0
hth_.p,congruent,2,1,12,3,right,1,293,0
hth_.p,congruent,2,1,13,1,left,1,1130,0
hth_.p,congruent,2,1,14,1,left,1,519,0
hth_.p,congruent,2,1,15,3,right,1,505,0
hth_.p,congruent,2,1,16,1,left,1,828,0
hth_.p,congruent,2,1,17,3,right,1,1215,0
hth_.p,congruent,2,1,18,1,left,1,449,0
hth_.p,congruent,2,1,19,3,left,0,292,0
hth_.p,congruent,2,1,20,3,right,1,603,0
hth_.p,incongruent,3,-1,1,2,right,1,1575,0
hth_.p,incongruent,3,-1,2,2,right,1,863,0
hth_.p,incongruent,3,-1,3,4,left,1,870,0
hth_.p,incongruent,3,-1,4,4,left,1,723,0
hth_.p,incongruent,3,-1,5,2,right,1,1216,0
hth_.p,incongruent,3,-1,6,2,-1,0,3000,1
hth_.p,incongruent,3,-1,7,4,-1,0,3000,1
hth_.p,incongruent,3,-1,8,2,-1,0,3000,1
hth_.p,incongruent,3,-1,9,2,-1,0,3000,1
hth_.p,incongruent,3,-1,10,4,-1,0,3000,1
hth_.p,incongruent,3,-1,11,4,-1,0,3000,1
hth_.p,incongruent,3,-1,12,2,-1,0,3000,1
hth_.p,incongruent,3,-1,13,4,-1,0,3000,1
hth_.p,incongruent,3,-1,14,2,-1,0,3000,1
hth_.p,incongruent,3,-1,15,4,-1,0,3000,1
hth_.p,incongruent,3,-1,16,4,-1,0,3000,1
hth_.p,incongruent,3,-1,17,2,-1,0,3000,1
hth_.p,incongruent,3,-1,18,4,-1,0,3000,1
hth_.p,incongruent,3,-1,19,2,-1,0,3000,1
hth_.p,incongruent,3,-1,20,4,-1,0,3000,1
hth_.p,mixed,4,1,1,1,left,1,527,0
hth_.p,mixed,4,0,2,6,left,0,147,0
hth_.p,mixed,4,-1,3,4,right,0,455,0
hth_.p,mixed,4,0,4,5,left,1,2234,0
hth_.p,mixed,4,0,5,5,right,0,461,0
hth_.p,mixed,4,-1,6,4,left,1,468,0
hth_.p,mixed,4,-1,7,4,left,1,1308,0
hth_.p,mixed,4,1,8,3,-1,0,3137,1
hth_.p,mixed,4,0,9,5,left,1,873,0
hth_.p,mixed,4,0,10,6,left,0,285,0
hth_.p,mixed,4,0,11,6,left,0,195,0
hth_.p,mixed,4,0,12,5,left,1,3417,0
hth_.p,mixed,4,1,13,1,left,1,490,0
hth_.p,mixed,4,-1,14,2,left,0,554,0
hth_.p,mixed,4,0,15,6,left,0,695,0
hth_.p,mixed,4,-1,16,4,left,1,589,0
hth_.p,mixed,4,1,17,1,left,1,1820,0
hth_.p,mixed,4,1,18,1,right,0,2396,0
hth_.p,mixed,4,0,19,5,left,1,800,0
hth_.p,mixed,4,-1,20,2,right,1,830,0
hth_.p,mixed,4,-1,21,2,left,0,441,0
hth_.p,mixed,4,-1,22,4,left,1,342,0
hth_.p,mixed,4,1,23,3,right,1,435,0
hth_.p,mixed,4,1,24,3,right,1,1264,0
hth_.p,mixed,4,-1,25,2,right,1,4097,0
hth_.p,mixed,4,0,26,6,left,0,877,0
hth_.p,mixed,4,1,27,1,-1,0,3000,1
hth_.p,mixed,4,1,28,3,-1,0,3000,1
hth_.p,mixed,4,-1,29,2,-1,0,3000,1
