subnum,type,block,congruency,trial,stim,resp,corr,rt,tooslow
thouhaoeu,practice,0,1,1,3,right,1,1217,0
thouhaoeu,practice,0,0,2,5,left,1,598,0
thouhaoeu,practice,0,0,3,6,right,1,632,0
thouhaoeu,practice,0,-1,4,4,left,1,993,0
thouhaoeu,practice,0,1,5,1,left,1,493,0
thouhaoeu,practice,0,-1,6,2,right,1,616,0
thouhaoeu,neutral,1,0,1,6,right,1,660,0
thouhaoeu,neutral,1,0,2,5,left,1,562,0
thouhaoeu,neutral,1,0,3,5,left,1,500,0
thouhaoeu,neutral,1,0,4,6,right,1,480,0
thouhaoeu,neutral,1,0,5,6,right,1,465,0
thouhaoeu,neutral,1,0,6,5,left,1,428,0
thouhaoeu,neutral,1,0,7,5,left,1,573,0
thouhaoeu,neutral,1,0,8,6,right,1,545,0
thouhaoeu,neutral,1,0,9,5,left,1,559,0
thouhaoeu,neutral,1,0,10,5,left,1,518,0
thouhaoeu,neutral,1,0,11,6,left,0,383,0
thouhaoeu,neutral,1,0,12,6,right,1,549,0
thouhaoeu,neutral,1,0,13,5,left,1,373,0
thouhaoeu,neutral,1,0,14,6,right,1,401,0
thouhaoeu,neutral,1,0,15,6,right,1,333,0
thouhaoeu,neutral,1,0,16,5,left,1,514,0
thouhaoeu,neutral,1,0,17,6,right,1,479,0
thouhaoeu,neutral,1,0,18,5,right,0,385,0
thouhaoeu,neutral,1,0,19,6,right,1,491,0
thouhaoeu,neutral,1,0,20,5,left,1,517,0
thouhaoeu,congruent,2,1,1,1,left,1,556,0
thouhaoeu,congruent,2,1,2,1,left,1,383,0
thouhaoeu,congruent,2,1,3,3,right,1,423,0
thouhaoeu,congruent,2,1,4,1,left,1,430,0
thouhaoeu,congruent,2,1,5,3,left,0,492,0
thouhaoeu,congruent,2,1,6,3,right,1,486,0
thouhaoeu,congruent,2,1,7,1,left,1,494,0
thouhaoeu,congruent,2,1,8,1,left,1,446,0
thouhaoeu,congruent,2,1,9,3,right,1,405,0
thouhaoeu,congruent,2,1,10,1,left,1,492,0
thouhaoeu,congruent,2,1,11,3,right,1,527,0
thouhaoeu,congruent,2,1,12,3,right,1,747,0
thouhaoeu,congruent,2,1,13,1,left,1,586,0
thouhaoeu,congruent,2,1,14,1,left,1,500,0
thouhaoeu,congruent,2,1,15,3,right,1,448,0
thouhaoeu,congruent,2,1,16,1,left,1,500,0
thouhaoeu,congruent,2,1,17,3,right,1,546,0
thouhaoeu,congruent,2,1,18,3,right,1,459,0
thouhaoeu,congruent,2,1,19,1,left,1,424,0
thouhaoeu,congruent,2,1,20,3,right,1,462,0
thouhaoeu,incongruent,3,-1,1,2,right,1,804,0
thouhaoeu,incongruent,3,-1,2,2,right,1,495,0
thouhaoeu,incongruent,3,-1,3,4,left,1,741,0
thouhaoeu,incongruent,3,-1,4,2,right,1,729,0
thouhaoeu,incongruent,3,-1,5,4,left,1,572,0
thouhaoeu,incongruent,3,-1,6,4,left,1,2067,0
thouhaoeu,incongruent,3,-1,7,2,right,1,2800,0
thouhaoeu,incongruent,3,-1,8,2,right,1,722,0
thouhaoeu,incongruent,3,-1,9,4,left,1,1034,0
thouhaoeu,incongruent,3,-1,10,2,left,0,459,0
thouhaoeu,incongruent,3,-1,11,2,left,0,309,0
thouhaoeu,incongruent,3,-1,12,4,-1,0,3000,1
