subnum,type,block,congruency,trial,stim,resp,corr,rt,tooslow
toehutaeou,practice,0,1,1,3,right,1,679,0
toehutaeou,practice,0,0,2,5,left,1,584,0
toehutaeou,practice,0,1,3,1,left,1,953,0
toehutaeou,practice,0,-1,4,2,right,1,500,0
toehutaeou,practice,0,-1,5,4,left,1,818,0
toehutaeou,practice,0,0,6,6,right,1,657,0
toehutaeou,neutral,1,0,1,6,right,1,787,0
toehutaeou,neutral,1,0,2,6,right,1,499,0
toehutaeou,neutral,1,0,3,5,left,1,414,0
toehutaeou,neutral,1,0,4,5,left,1,382,0
toehutaeou,neutral,1,0,5,6,left,0,863,0
