3; 451; 001; 1; p; B
5; 25553; 002; 3; p; B
6; 455552; 003; 4; q; B
6; 177774; 004; 4; p; B
3; 481; 005; 1; p; B
4; 2884; 006; 2; q; B
3; 142; 007; 1; q; A
6; 366664; 008; 4; p; B
4; 3772; 009; 2; p; B
5; 37772; 010; 3; q; B
4; 2661; 011; 2; q; B
5; 48883; 012; 3; p; B
3; 182; 013; 1; q; B
3; 173; 014; 1; q; B
5; 31112; 015; 3; q; A
4; 1332; 016; 2; p; A
3; 321; 017; 1; p; A
5; 36662; 018; 3; q; B
6; 488882; 019; 4; q; B
5; 14443; 020; 3; p; A
4; 2554; 021; 2; q; B
3; 261; 022; 1; p; B
6; 422221; 023; 4; q; A
5; 46663; 024; 3; p; B
