cottage,swiss,cake,cheese,52,84,3.28,1.25,96,3.96,2.37,064*,10.85,7.04
cream,skate,water,ice,34,76,3.42,1.16,92,4.04,1.87,90,4.12,3.58
loser,throat,spot,sore,22,61,4.19,1.49,86,5.38,3.02,82,6.31,4.06
show,life,row,boat,31,72,4.42,1.44,82,5.67,2.34,79,10.3,7.22
night,wrist,stop,watch,38,65,4.33,1.31,82,6,3,97,6.27,5.83
duck,fold,dollar,bill,31,69,4.33,1.25,80,6.05,2.82,92,6.58,4.28
rocking,wheel,high,chair,37,73,3.98,1.43,80,4.98,2.55,87,5.84,5.36
dew,comb,bee,honey,30,66,4.24,1.5,80,5.63,3.15,1000,4.12,2.14
fountain,baking,pop,soda,34,71,4.25,1.23,78,6.01,2.69,92,5.5,3.3
preserve,ranger,tropical,forest,18,59,4,1.34,76,5.76,2.98,85,9.73,6.08
