subnum,type,trialnum,target,resp,rT,resptype
example,zero,2,1,0,2196,false negative
example,zero,3,0,0,1547,true negative
example,zero,4,1,1,824,true positive
example,zero,5,0,0,1219,true negative
example,zero,6,0,0,1371,true negative
example,zero,7,0,0,1247,true negative
example,zero,8,1,1,1104,true positive
example,zero,9,0,0,1018,true negative
example,zero,10,0,0,1003,true negative
example,zero,11,0,1,1952,false positive
example,zero,12,0,0,1093,true negative
example,zero,13,1,1,771,true positive
example,one,2,0,0,2038,true negative
example,one,3,0,0,2398,true negative
example,one,4,1,1,1189,true positive
example,one,5,0,0,1874,true negative
example,one,6,1,1,1305,true positive
example,one,7,0,0,1296,true negative
example,one,8,1,1,2298,true positive
example,one,9,0,0,1357,true negative
example,one,10,0,0,1913,true negative
example,one,11,0,0,1708,true negative
example,one,12,1,1,1278,true positive
example,one,13,0,0,1938,true negative
example,zero,2,0,0,1943,true negative
example,zero,3,0,0,1072,true negative
example,zero,4,1,1,918,true positive
example,zero,5,1,1,1258,true positive
example,zero,6,0,0,788,true negative
example,zero,7,0,0,1072,true negative
example,zero,8,0,0,1175,true negative
example,zero,9,1,1,695,true positive
example,zero,10,0,0,1577,true negative
example,zero,11,0,0,1032,true negative
example,zero,12,1,1,925,true positive
example,zero,13,0,0,1123,true negative
example,two,2,0,0,1224,true negative
example,two,3,0,0,2144,true negative
example,two,4,1,1,2281,true positive
example,two,5,0,0,1584,true negative
example,two,6,0,0,1584,true negative
example,two,7,1,0,939,false negative
example,two,8,0,1,1362,false positive
example,two,9,0,0,1362,true negative
example,two,10,1,1,1022,true positive
example,two,11,0,0,2037,true negative
example,two,12,0,0,1933,true negative
example,two,13,1,1,2033,true positive
example,two,2,0,0,1872,true negative
example,two,3,0,1,1539,false positive
example,two,4,0,0,1832,true negative
example,two,5,1,1,2010,true positive
example,two,6,0,0,1764,true negative
example,two,7,0,0,1949,true negative
example,two,8,1,0,2304,false negative
example,two,9,0,0,1340,true negative
example,two,10,0,0,2000,true negative
example,two,11,1,1,1247,true positive
example,two,12,1,1,1063,true positive
example,two,13,0,0,1453,true negative
example,one,2,0,0,1638,true negative
example,one,3,0,0,1525,true negative
example,one,4,1,1,1156,true positive
example,one,5,0,0,2041,true negative
example,one,6,1,0,2041,false negative
example,one,7,0,0,2050,true negative
example,one,8,0,0,1815,true negative
example,one,9,0,0,976,true negative
example,one,10,1,1,870,true positive
example,one,11,0,0,1350,true negative
example,one,12,1,0,771,false negative
example,one,13,0,0,1635,true negative
