subnum,screensize,block,trial,direction,stim,fixationstart,delaytime,promptstart,arrowstart,maskstart,rt,corresp,resp,corr,bivalentcorr
1515,1920x1080,P,0,-1,U,54128,1500,55628,56130,56130,718,<up>,<up>,1,1
1515,1920x1080,P,0,1,D,56851,2500,59351,59853,59853,510,<down>,<down>,1,1
1515,1920x1080,P,0,-1,L,60369,2750,63120,63621,63621,614,<left>,<left>,1,1
1515,1920x1080,P,0,1,R,64237,2500,66737,67239,67239,700,<right>,<right>,1,1
1515,1920x1080,P,0,1,R,67947,3250,71198,71700,71700,619,<right>,<right>,1,1
1515,1920x1080,P,0,1,R,72320,2000,74320,74822,74822,660,<right>,<right>,1,1
1515,1920x1080,P,0,-1,R,75484,3000,78484,78987,78987,614,<right>,<right>,1,1
1515,1920x1080,P,0,1,R,79603,3000,82603,83104,83104,539,<right>,<right>,1,1
1515,1920x1080,P,0,-1,L,83645,2000,85645,86147,86147,703,<left>,<left>,1,1
1515,1920x1080,P,0,-1,D,86853,3250,90104,90605,90605,545,<down>,<down>,1,1
1515,1920x1080,P,0,1,R,97908,3250,101159,101411,101411,860,<right>,<up>,0,0
1515,1920x1080,P,0,-1,R,102272,1500,103772,104024,104024,884,<right>,<left>,0,1
1515,1920x1080,P,0,-1,R,104909,1750,106659,106911,106911,484,<right>,<right>,1,1
1515,1920x1080,P,0,1,D,107396,2250,109646,109898,109898,501,<down>,<down>,1,1
1515,1920x1080,P,0,1,U,110400,2250,112650,112902,112902,792,<up>,<down>,0,1
1515,1920x1080,P,0,1,L,113695,2250,115945,116197,116197,576,<left>,<left>,1,1
1515,1920x1080,P,0,1,R,116774,2750,119525,119779,119779,836,<right>,<right>,1,1
1515,1920x1080,P,0,-1,L,120616,2250,122866,123118,123118,559,<left>,<left>,1,1
1515,1920x1080,P,0,-1,R,123678,1500,125178,125430,125430,541,<right>,<left>,0,1
1515,1920x1080,P,0,-1,R,125972,3500,129473,129724,129724,838,<right>,<right>,1,1
1515,1920x1080,P,0,1,D,130562,3500,134064,134316,134316,713,<down>,<up>,0,1
1515,1920x1080,P,0,-1,D,135030,1500,136531,136783,136783,648,<down>,<down>,1,1
1515,1920x1080,P,0,-1,D,137432,2250,139682,139934,139934,515,<down>,<down>,1,1
1515,1920x1080,P,0,-1,R,140450,3000,143450,143701,143701,688,<right>,<left>,0,1
1515,1920x1080,P,0,1,R,144390,1500,145891,146143,146143,815,<right>,<left>,0,1
1515,1920x1080,P,0,-1,D,146959,1500,148460,148712,148712,723,<down>,<down>,1,1
1515,1920x1080,P,0,-1,R,149436,3000,152437,152688,152688,542,<right>,<right>,1,1
1515,1920x1080,P,0,1,L,153231,2750,155982,156233,156233,818,<left>,<left>,1,1
1515,1920x1080,P,0,-1,U,157052,2500,159553,159805,159805,661,<up>,<up>,1,1
1515,1920x1080,P,0,-1,U,160467,2750,163218,163470,163470,665,<up>,<up>,1,1
1515,1920x1080,P,0,-1,R,164136,2750,166886,167137,167137,586,<right>,<left>,0,1
1515,1920x1080,P,0,-1,R,167724,3000,170724,170976,170976,530,<right>,<left>,0,1
1515,1920x1080,T,1,1,R,177749,3500,181250,181502,181502,638,<right>,<left>,0,1
1515,1920x1080,T,2,1,R,182140,1500,183640,183892,183892,558,<right>,<left>,0,1
1515,1920x1080,T,3,-1,R,184451,2250,186702,186954,186954,723,<right>,<left>,0,1
1515,1920x1080,T,4,1,U,187678,3500,191179,191431,191431,620,<up>,<up>,1,1
1515,1920x1080,T,5,1,U,192052,3500,195553,195805,195805,652,<up>,<up>,1,1
1515,1920x1080,T,6,1,L,196458,3000,199458,199717,199717,600,<left>,<up>,0,0
1515,1920x1080,T,7,1,R,200318,2500,202818,203070,203070,945,<right>,<right>,1,1
1515,1920x1080,T,8,1,U,204015,2250,206265,206517,206517,546,<up>,<up>,1,1
1515,1920x1080,T,9,-1,R,207064,2250,209315,209567,209567,664,<right>,<left>,0,1
1515,1920x1080,T,10,-1,R,210232,3250,213482,213733,213733,542,<right>,<left>,0,1
1515,1920x1080,T,11,-1,L,214275,1500,215775,216027,216027,745,<left>,<left>,1,1
1515,1920x1080,T,12,1,L,216772,3250,220023,220274,220274,805,<left>,<left>,1,1
1515,1920x1080,T,13,-1,U,221079,3500,224579,224831,224831,551,<up>,<up>,1,1
1515,1920x1080,T,14,1,R,225383,3250,228634,228886,228886,681,<right>,<left>,0,1
1515,1920x1080,T,15,1,R,229568,1500,231068,231318,231319,631,<right>,<left>,0,1
1515,1920x1080,T,16,1,R,231951,2250,234201,234452,234452,598,<right>,<left>,0,1
