subnum,trial,ticker,sec,skip,resp,corr,starttime,rt,curtime
eauaoe,1,1,1,0,0,1,8432,1139,8432
eauaoe,2,2,2,0,1,0,9224,392,9432
eauaoe,3,4,4,1,1,1,10385,553,10537
eauaoe,4,5,5,0,1,0,11206,269,11537
eauaoe,5,7,7,1,1,1,12218,281,12537
eauaoe,6,8,8,0,0,1,13537,600,13537
eauaoe,7,10,10,1,0,0,15146,1209,15146
eauaoe,8,12,12,1,0,0,16186,640,16186
eauaoe,9,13,13,0,1,0,16675,89,17186
eauaoe,10,15,15,1,0,0,18287,701,18287
eauaoe,11,16,16,0,1,0,18981,294,19287
eauaoe,12,18,18,1,1,1,20034,347,20287
eauaoe,13,19,19,0,0,1,21287,600,21287
eauaoe,14,21,21,1,1,1,22114,427,22287
eauaoe,15,22,22,0,0,1,23287,600,23287
