subnum,trial,ticker,sec,skip,resp,corr,starttime,rt,curtime
theoa,1,1,1,0,0,1,9543,999,9543
theoa,2,2,2,0,0,1,10543,600,10543
theoa,3,3,3,0,0,1,11543,600,11543
theoa,4,4,4,0,0,1,12543,600,12543
theoa,5,6,6,1,1,1,13374,431,13543
theoa,6,8,8,1,1,1,14499,556,14650
theoa,7,9,9,0,0,1,15651,600,15651
theoa,8,10,10,0,0,1,16651,600,16651
theoa,9,11,11,0,0,1,17651,600,17651
theoa,10,13,13,1,1,1,18481,430,18651
theoa,11,14,14,0,0,1,19651,600,19651
theoa,12,15,15,0,0,1,20651,600,20651
theoa,13,17,17,1,1,1,21500,449,21651
theoa,14,18,18,0,0,1,22651,599,22651
theoa,15,20,20,1,1,1,23461,410,23651
theoa,16,21,21,0,0,1,24651,600,24651
theoa,17,23,23,1,0,0,25651,600,25651
theoa,18,24,24,0,0,1,26651,600,26651
theoa,19,26,26,1,1,1,27498,447,27651
theoa,20,27,27,0,0,1,28651,600,28651
theoa,21,29,29,1,1,1,29471,420,29651
theoa,22,30,30,0,1,0,30396,345,30651
theoa,23,31,31,0,0,1,31651,600,31651
theoa,24,33,33,1,1,1,32489,438,32651
theoa,25,34,34,0,0,1,33651,600,33651
theoa,26,35,35,0,0,1,34651,600,34651
theoa,27,36,36,0,0,1,35651,600,35651
