subnum,trial,ticker,sec,skip,resp,corr,starttime,rt,curtime
thoaetu,1,1,1,0,0,1,3818,1095,3818
thoaetu,2,3,3,1,1,1,4668,449,4818
thoaetu,3,4,4,0,1,0,5688,469,5838
thoaetu,4,5,5,0,0,1,6838,599,6838
thoaetu,5,6,6,0,0,1,7838,600,7838
thoaetu,6,7,7,0,0,1,8838,600,8838
thoaetu,7,9,9,1,1,1,9650,412,9838
thoaetu,8,10,10,0,1,0,10704,466,10855
thoaetu,9,12,12,1,1,1,11730,474,11881
thoaetu,10,14,14,1,1,1,12756,474,12907
thoaetu,11,15,15,0,0,1,13907,599,13907
thoaetu,12,17,17,1,1,1,14752,445,14907
thoaetu,13,19,19,1,1,1,15848,541,16000
thoaetu,14,21,21,1,1,1,16811,411,17000
thoaetu,15,22,22,0,0,1,18000,600,18000
thoaetu,16,24,24,1,1,1,18869,469,19020
thoaetu,17,25,25,0,0,1,20020,599,20020
thoaetu,18,26,26,0,0,1,21020,600,21020
thoaetu,19,27,27,0,0,1,22020,600,22020
thoaetu,20,28,28,0,0,1,23020,600,23020
thoaetu,21,30,30,1,1,1,23858,438,24020
thoaetu,22,32,32,1,1,1,24877,457,25027
thoaetu,23,33,33,0,0,1,26027,599,26027
thoaetu,24,34,34,0,0,1,27027,600,27027
thoaetu,25,35,35,0,0,1,28027,600,28027
thoaetu,26,37,37,1,1,1,28861,434,29027
thoaetu,27,38,38,0,0,1,30027,600,30027
thoaetu,28,40,40,1,1,1,30948,521,31098
thoaetu,29,41,41,0,0,1,32098,599,32098
thoaetu,30,42,42,0,0,1,33098,600,33098
thoaetu,31,43,43,0,0,1,34098,600,34098
thoaetu,32,44,44,0,0,1,35098,600,35098
thoaetu,33,45,45,0,0,1,36098,600,36098
thoaetu,34,46,46,0,0,1,37098,600,37098
thoaetu,35,48,48,1,1,1,38079,581,38230
thoaetu,36,50,50,1,0,0,39230,600,39230
thoaetu,37,51,51,0,0,1,40230,600,40230
thoaetu,38,53,53,1,0,0,41230,600,41230
