subnum,direction,type,trialnum,order,trialstart,itemstart,itemend,abstime,rt,posx,posy
thouto,1,P,-1,1,8709,10033,1324,1323,1,1080,495
thouto,1,P,-1,2,8709,10479,1770,195,4,900,360
thouto,1,P,-1,3,8709,10917,2208,187,5,1110,300
thouto,1,P,-2,1,17254,17761,507,507,2,780,465
thouto,1,P,-2,2,17254,18107,853,95,4,900,360
thouto,1,P,-2,3,17254,18574,1320,215,8,915,90
thouto,1,P,-3,1,24934,25461,527,527,5,1110,300
thouto,1,P,-3,2,24934,25843,909,131,4,900,360
thouto,1,P,-3,3,24934,26227,1293,132,1,1080,495
thouto,1,T,1,1,32706,33378,672,671,5,1110,300
thouto,1,T,1,2,32706,33915,1209,285,8,915,90
thouto,1,T,2,1,39327,40432,1105,1105,5,1110,300
thouto,1,T,2,2,39327,41040,1713,356,4,900,360
