subnum,trial,targ,foil,time,delay,resp,corr,mask,presstart,respend,prestime,rt
1616,1,q,e,4507,151,<rshift>,0,$|*,4707,5909,152,947
1616,2,g,e,6507,193,<rshift>,1,%*$,6708,7413,194,400
1616,3,n,q,8507,176,<rshift>,1,|%#,8707,9417,178,430
1616,4,a,o,10507,258,<rshift>,1,|&\,10709,11610,258,540
1616,5,q,o,12507,271,<lshift>,1,|&*,12707,13531,271,450
1616,6,o,g,14507,117,<lshift>,1,&?*,14707,15384,118,456
1616,7,g,q,16507,262,<rshift>,1,*&?,16707,17435,263,362
1616,8,a,n,18507,163,<lshift>,0,$#%,18707,19337,163,356
1616,9,n,o,20507,290,<rshift>,0,\#%,20707,21632,291,533
1616,10,a,n,22507,171,<lshift>,1,&@/,22708,23612,172,631
1616,11,n,g,40961,127,<timeout>,0,#@$,41162,42891,127,1500
1616,12,a,o,42961,191,<timeout>,0,|%/,43162,44958,192,1500
1616,13,n,a,44961,221,<timeout>,0,?\#,45162,46988,223,1500
1616,14,n,o,46991,199,<timeout>,0,@\#,47192,48995,199,1501
1616,15,g,n,48997,203,<timeout>,0,#$|,49197,51004,204,1500
1616,16,g,o,51007,171,<timeout>,0,$%\,51208,52982,171,1500
1616,17,n,e,53007,263,<timeout>,0,%@/,53208,55073,264,1500
1616,18,o,g,55076,145,<timeout>,0,*&@,55277,57024,145,1500
1616,19,q,o,57076,212,<timeout>,0,#$*,57276,59092,212,1500
1616,20,e,q,59095,212,<timeout>,0,@?|,59296,61111,212,1500
