subnum,trial,targ,foil,time,delay,resp,corr,mask,presstart,respend,prestime,rt
aaaoeua,1,c,o,26544,224,right,0,%@*,26745,28002,224,931
aaaoeua,2,e,s,28545,290,<timeout>,0,&?#,28745,30637,290,1500
aaaoeua,3,e,o,30640,235,right,1,$/?,30841,32001,236,823
aaaoeua,4,c,a,32641,249,right,1,#|/,32842,33757,249,565
aaaoeua,5,a,s,34642,208,left,1,&\@,34843,36590,208,1438
aaaoeua,6,n,s,36643,197,right,1,&$%,36843,38145,197,1004
aaaoeua,7,a,c,38644,108,right,1,/\%,38845,39651,108,597
aaaoeua,8,c,n,40645,299,right,1,*%$,40846,42204,299,958
aaaoeua,9,o,c,42646,268,left,1,&$*,42847,43630,268,414
aaaoeua,10,o,c,44647,167,right,1,%$\,44847,45634,167,519
aaaoeua,11,s,a,46648,296,left,1,?|$,46849,47948,296,702
aaaoeua,12,a,s,48649,104,left,1,&|@,48850,49603,104,548
aaaoeua,13,o,s,50650,192,left,1,@#/,50850,51628,192,485
aaaoeua,14,a,e,52651,127,right,1,&%#,52851,53563,127,484
aaaoeua,15,e,a,54652,203,right,1,?&#,54852,55727,204,570
aaaoeua,16,o,n,56653,195,left,1,?%&,56854,57612,195,462
aaaoeua,17,o,s,58654,156,left,1,#\@,58854,59586,156,475
aaaoeua,18,c,a,60655,131,<timeout>,0,@*%,60855,62587,131,1500
