subnum,block,trial,practice,standard,thresh,side,corr,abstime,rt
subnum,block,trial,practice,standard,thresh,side,corr,abstime,rt
111,1,1,1,50,4,1,1,3191,2739
111,1,2,1,6,4,1,1,6543,854
111,1,3,1,100,4,-1,0,8004,737
111,1,4,1,6,3.75,-1,1,9359,857
111,1,5,1,100,5,1,0,10825,877
111,1,6,1,6,3.5,-1,1,12318,922
111,1,7,1,50,3.75,1,0,13849,1198
111,1,8,1,6,3.25,-1,1,15655,1335
111,1,9,1,100,6,1,1,17598,956
111,1,10,1,20,4,-1,1,19159,1625
111,1,11,1,6,3,-1,1,21390,906
111,1,12,1,50,4.75,-1,1,22902,1527
111,1,13,1,6,2.75,1,1,25038,780
111,1,14,1,50,4.5,-1,1,26424,1512
111,1,15,1,50,4.25,-1,1,28546,847
111,1,16,1,6,2.5,1,1,30002,977
111,1,17,1,20,3.75,-1,1,31584,1387
111,1,18,1,6,2.25,-1,1,33577,1691
111,1,19,1,100,5.75,1,0,35876,1274
111,1,20,1,6,2,1,1,37767,831
111,1,21,1,100,6.75,-1,1,39203,932
111,1,22,1,20,3.5,1,1,40749,742
111,1,23,1,50,4,1,1,42095,861
111,1,24,1,6,1.75,-1,1,43566,759
111,1,25,1,100,6.5,1,1,44932,685
111,1,26,1,100,6.25,1,0,46230,1006
111,1,27,1,100,7.25,-1,1,47847,793
111,1,28,1,50,3.75,1,1,49249,873
111,1,29,1,20,3.25,-1,1,50728,710
111,1,30,1,50,3.5,1,0,52045,720
111,1,31,1,50,4.5,-1,0,53372,1419
111,1,32,1,100,7,1,1,55401,925
111,1,33,1,6,1.5,1,0,56941,1835
111,1,34,1,100,6.75,-1,1,59383,837
111,1,35,1,20,3,1,1,60827,1126
111,1,36,1,6,2.5,-1,1,62560,1017
111,1,37,1,20,2.75,1,0,64183,844
111,1,38,1,6,2.25,1,0,65634,776
111,1,39,1,50,5.5,-1,1,67014,576
111,1,40,1,50,5.25,-1,0,68198,1059
111,1,41,1,50,6.25,1,1,69868,906
111,1,42,1,6,3.25,-1,1,71379,1105
111,1,43,1,50,6,-1,1,73092,768
