"subnum" "stimtype" "block" "trialtype" "trial" "condition" "stim" "dim1" "dim2" "time0" "resp1" "rt1" "corr1" "resp2" "rt2" "corr2" "tooslow"
333 4 1 "PRACTICE" -25 1 3 1 0 14810 1 784 1 NA 0 0 0
333 4 1 "PRACTICE" -24 1 4 0 0 16583 2 597 1 NA 0 0 0
333 4 1 "PRACTICE" -23 1 2 0 1 18223 2 1321 1 NA 0 0 0
333 4 1 "PRACTICE" -22 1 1 1 1 20488 1 1399 1 NA 0 0 0
333 4 1 "PRACTICE" -21 1 4 0 0 23064 2 770 1 NA 0 0 0
333 4 1 "PRACTICE" -20 1 3 1 0 24802 1 421 1 NA 0 0 0
333 4 1 "PRACTICE" -19 1 1 1 1 26525 1 460 1 NA 0 0 0
333 4 1 "PRACTICE" -18 1 2 0 1 27960 2 627 1 NA 0 0 0
333 4 1 "TEST" 1 1 1 1 1 29806 1 402 1 NA 0 0 0
333 4 1 "TEST" 2 1 3 1 0 31275 1 805 1 NA 0 0 0
333 4 1 "TEST" 3 1 2 0 1 33264 2 530 1 NA 0 0 0
333 4 1 "TEST" 4 1 4 0 0 34746 2 610 1 NA 0 0 0
333 4 1 "TEST" 5 1 3 1 0 36470 1 627 1 NA 0 0 0
333 4 1 "TEST" 6 1 4 0 0 38276 2 454 1 NA 0 0 0
333 4 1 "TEST" 7 1 1 1 1 39883 1 430 1 NA 0 0 0
333 4 1 "TEST" 8 1 2 0 1 41591 1 324 0 NA 0 0 0
333 4 1 "TEST" 9 1 4 0 0 43679 2 427 1 NA 0 0 0
333 4 1 "TEST" 10 1 1 1 1 44996 1 472 1 NA 0 0 0
333 4 1 "TEST" 11 1 3 1 0 46602 1 489 1 NA 0 0 0
333 4 1 "TEST" 12 1 2 0 1 48170 1 835 0 NA 0 0 0
333 4 1 "TEST" 13 1 4 0 0 50710 2 457 1 NA 0 0 0
333 4 1 "TEST" 14 1 2 0 1 52201 2 500 1 NA 0 0 0
333 4 1 "TEST" 15 1 3 1 0 53640 1 730 1 NA 0 0 0
333 4 1 "TEST" 16 1 1 1 1 55525 1 461 1 NA 0 0 0
333 4 1 "TEST" 17 1 2 0 1 56838 2 729 1 NA 0 0 0
333 4 1 "TEST" 18 1 4 0 0 58566 2 452 1 NA 0 0 0
333 4 1 "TEST" 19 1 1 1 1 59863 1 864 1 NA 0 0 0
333 4 1 "TEST" 20 1 3 1 0 61844 1 514 1 NA 0 0 0
333 4 1 "TEST" 21 1 2 0 1 63245 2 670 1 NA 0 0 0
333 4 1 "TEST" 22 1 1 1 1 64918 1 464 1 NA 0 0 0
333 4 1 "TEST" 23 1 3 1 0 66569 1 450 1 NA 0 0 0
333 4 1 "TEST" 24 1 4 0 0 68147 1 894 0 NA 0 0 0
333 4 1 "TEST" 25 1 1 1 1 70729 NA 0 0 NA 0 0 1
333 4 2 "PRACTICE" -25 2 3 1 0 89189 NA 0 0 0 471 1 0
333 4 2 "PRACTICE" -24 2 2 0 1 90897 NA 0 0 9 406 1 0
