trial,size,pos,time,mouseX,mouseY
1,10,700,4998,927,619
1,10,700,4999,927,619
1,10,700,5009,927,619
1,10,700,5020,927,619
1,10,700,5031,927,619
1,10,700,5042,927,619
1,10,700,5053,927,619
1,10,700,5064,927,619
1,10,700,5075,927,619
1,10,700,5086,927,619
1,10,700,5097,927,619
1,10,700,5108,927,619
1,10,700,5119,927,619
1,10,700,5121,927,619
1,10,700,5132,927,619
1,10,700,5143,927,619
1,10,700,5154,927,619
1,10,700,5165,927,619
1,10,700,5176,927,619
1,10,700,5187,927,619
1,10,700,5198,927,619
1,10,700,5209,927,619
1,10,700,5220,927,619
1,10,700,5231,927,619
1,10,700,5242,927,619
1,10,700,5253,927,619
1,10,700,5264,927,619
1,10,700,5275,927,619
1,10,700,5286,927,619
1,10,700,5297,927,619
1,10,700,5308,927,619
1,10,700,5319,927,619
1,10,700,5330,927,619
1,10,700,5341,927,619
1,10,700,5352,927,619
1,10,700,5362,927,619
1,10,700,5373,927,619
1,10,700,5384,927,619
1,10,700,5395,927,619
1,10,700,5406,927,619
1,10,700,5417,927,619
1,10,700,5428,922,619
1,10,700,5439,917,619
1,10,700,5450,905,620
1,10,700,5461,892,621
1,10,700,5472,886,622
1,10,700,5483,874,622
1,10,700,5494,869,623
1,10,700,5505,860,623
1,10,700,5516,857,623
1,10,700,5527,850,623
1,10,700,5538,847,623
1,10,700,5549,843,623
1,10,700,5560,840,623
1,10,700,5571,839,623
1,10,700,5582,836,623
1,10,700,5593,834,623
1,10,700,5604,831,623
1,10,700,5615,829,623
1,10,700,5626,825,623
1,10,700,5637,819,622
1,10,700,5648,816,622
1,10,700,5659,810,621
1,10,700,5670,807,621
1,10,700,5681,801,621
1,10,700,5692,798,620
1,10,700,5703,794,620
1,10,700,5714,790,619
1,10,700,5725,789,619
1,10,700,5736,786,619
1,10,700,5747,785,618
1,10,700,5758,782,618
1,10,700,5769,780,617
1,10,700,5780,778,617
1,10,700,5791,776,617
1,10,700,5802,775,616
1,10,700,5813,772,616
1,10,700,5824,771,616
1,10,700,5835,768,615
1,10,700,5846,767,615
1,10,700,5857,764,614
1,10,700,5868,763,614
1,10,700,5879,760,612
1,10,700,5890,758,612
1,10,700,5901,755,610
1,10,700,5912,752,609
1,10,700,5923,750,608
1,10,700,5935,747,607
1,10,700,5945,746,607
1,10,700,5956,744,606
1,10,700,5967,742,605
1,10,700,5978,742,605
1,10,700,5990,741,604
1,10,700,6000,741,604
1,10,700,6011,740,604
1,10,700,6022,740,604
1,10,700,6033,740,604
1,10,700,6044,740,604
1,10,700,6055,740,604
1,10,700,6066,740,604
1,10,700,6077,740,604
1,10,700,6088,740,604
1,10,700,6099,740,604
1,10,700,6110,740,604
1,10,700,6121,740,604
1,10,700,6131,740,604
1,10,700,6143,740,604
1,10,700,6154,740,604
