subnum,block,trial,practice,targdir,flankercoherence,flankerdir,time0,resp,corr,rt
thtouh,0,1,1,-1,1,-1,21685,left,1,542
thtouh,0,2,1,-1,-1,1,24132,right,0,329
thtouh,0,3,1,1,1,1,26368,right,1,426
thtouh,0,4,1,1,NA,NA,28703,right,1,477
thtouh,0,5,1,-1,0,0,31087,left,1,437
thtouh,0,6,1,1,-1,-1,33431,right,1,498
thtouh,0,7,1,1,0,0,35835,right,1,439
thtouh,0,8,1,-1,NA,NA,38179,left,1,390
thtouh,1,9,0,-1,1,-1,45670,left,1,395
thtouh,1,10,0,-1,1,-1,47571,left,1,382
thtouh,1,11,0,1,0,0,49459,left,0,335
thtouh,1,12,0,-1,0,0,51299,<timeout>,0,800
