subnum,resptype,isi,trial,sound,resp,quad,leftright,updown,respquad,corr,lapse,rt
116,2,200,1,1,5,2,right,top,2,1,0,928
116,2,200,2,1,2,4,right,bottom,4,1,0,889
116,2,200,3,1,1,4,right,bottom,3,0,0,577
116,2,200,4,1,1,1,left,top,3,0,1,7162
116,2,200,5,1,4,1,left,top,1,1,0,939
116,2,200,6,1,4,1,left,top,1,1,0,398
116,2,200,7,1,1,3,left,bottom,3,1,0,461
116,2,200,8,1,2,4,right,bottom,4,1,0,350
116,2,200,9,1,2,4,right,bottom,4,1,0,318
116,2,200,10,1,2,4,right,bottom,4,1,0,342
116,2,200,11,1,5,2,right,top,2,1,0,445
116,2,200,12,1,1,3,left,bottom,3,1,0,323
116,2,200,13,1,1,1,left,top,3,0,0,291
116,2,200,14,1,4,4,right,bottom,1,0,0,141
116,2,200,15,1,2,2,right,top,4,0,0,267
116,2,200,16,1,4,3,left,bottom,1,0,0,483
116,2,200,17,
