subnum,resptype,isi,trial,sound,resp,quad,leftright,updown,respquad,corr,lapse,rt
oeau,2,200,1,1,1,3,left,bottom,3,1,0,95
oeau,2,200,2,1,5,2,right,top,2,1,0,910
oeau,2,200,3,1,2,4,right,bottom,4,1,0,507
oeau,2,200,4,1,1,3,left,bottom,3,1,0,398
oeau,2,200,5,1,2,4,right,bottom,4,1,0,435
oeau,2,200,6,1,5,2,right,top,2,1,0,511
oeau,2,200,7,1,5,2,right,top,2,1,0,466
oeau,2,200,8,1,4,1,left,top,1,1,0,402
oeau,2,200,9,1,5,2,right,top,2,1,0,396
oeau,2,200,10,1,5,2,right,top,2,1,0,339
oeau,2,200,11,1,5,2,right,top,2,1,0,350
oeau,2,200,12,1,5,2,right,top,2,1,0,323
oeau,2,200,13,1,5,2,right,top,2,1,0,414
oeau,2,200,14,1,2,4,right,bottom,4,1,0,564
oeau,2,200,15,1,5,2,right,top,2,1,0,409
oeau,2,200,16,1,2,4,right,bottom,4,1,0,501
oeau,2,200,17,1,5,3,left,bottom,2,0,0,93
oeau,2,200,18,1,1,4,right,bottom,3,0,0,271
oeau,2,200,19,1,4,1,left,top,1,1,0,441
oeau,2,200,20,1,2,4,right,bottom,4,1,0,446
oeau,2,200,21,1,1,3,left,bottom,3,1,0,343
oeau,2,200,22,1,5,2,right,top,2,1,0,392
oeau,2,200,23,1,5,2,right,top,2,1,0,321
oeau,2,200,24,1,2,4,right,bottom,4,1,0,459
oeau,2,200,25,1,4,1,left,top,1,1,0,391
oeau,2,200,26,1,1,3,left,bottom,3,1,0,324
oeau,2,200,27,1,4,1,left,top,1,1,0,334
oeau,2,200,28,1,5,2,right,top,2,1,0,409
oeau,2,200,29,1,1,3,left,bottom,3,1,0,302
oeau,2,200,30,1,2,4,right,bottom,4,1,0,456
oeau,2,200,31,1,5,2,right,top,2,1,0,385
oeau,2,200,32,1,4,1,left,top,1,1,0,436
oeau,2,200,33,1,5,2,right,top,2,1,0,400
oeau,2,200,34,1,4,1,left,top,1,1,0,517
oeau,2,200,35,1,1,3,left,bottom,3,1,0,305
oeau,2,200,36,1,4,1,left,top,1,1,0,448
oeau,2,200,37,1,1,3,left,bottom,3,1,0,488
oeau,2,200,38,1,2,4,right,bottom,4,1,0,470
oeau,2,200,39,1,5,2,right,top,2,1,0,279
oeau,2,200,40,1,2,4,right,bottom,4,1,0,450
oeau,2,200,41,1,4,1,left,top,1,1,0,354
oeau,2,200,42,1,1,3,left,bottom,3,1,0,305
oeau,2,200,43,1,4,1,left,top,1,1,0,441
oeau,2,200,44,1,1,3,left,bottom,3,1,0,360
oeau,2,200,45,1,5,2,right,top,2,1,0,335
oeau,2,200,46,1,1,3,left,bottom,3,1,0,363
oeau,2,200,47,1,5,2,right,top,2,1,0,308
oeau,2,200,48,1,1,4,right,bottom,3,0,0,190
oeau,2,200,49,1,5,2,right,top,2,1,0,447
oeau,2,200,50,1,5,2,right,top,2,1,0,388
