subnum,resptype,isi,trial,sound,resp,quad,leftright,updown,respquad,corr,lapse,rt
toehu,2,200,1,1,4,2,right,top,1,0,0,484
toehu,2,200,2,1,5,1,left,top,2,0,0,63
toehu,2,200,3,1,4,2,right,top,1,0,0,77
toehu,2,200,4,1,1,3,left,bottom,3,1,0,683
toehu,2,200,5,1,5,2,right,top,2,1,0,692
toehu,2,200,6,1,4,1,left,top,1,1,0,556
toehu,2,200,7,1,5,2,right,top,2,1,0,592
toehu,2,200,8,1,1,3,left,bottom,3,1,0,979
toehu,2,200,9,1,1,3,left,bottom,3,1,0,899
toehu,2,200,10,1,4,1,left,top,1,1,0,796
toehu,2,200,11,1,5,2,right,top,2,1,0,911
toehu,2,200,12,1,4,1,left,top,1,1,0,518
toehu,2,200,13,1,1,3,left,bottom,3,1,0,441
toehu,2,200,14,1,4,1,left,top,1,1,0,457
toehu,2,200,15,1,4,1,left,top,1,1,0,2300
toehu,2,200,16,
