subnum,block,type,correctresponse,trial,choice,x,y,stim,present,response,responded,corr,starttime,rt
111,0,practice,P,1,4,1060,640,P,1,1252|575|1|<pressed>,1,1,27313,1089
111,0,practice,P,2,3,860,640,P,1,NONE,0,0,28821,1450
111,0,practice,P,3,2,1060,440,P,1,1252|575|1|<pressed>,1,1,31280,645
111,0,practice,P,4,1,860,440,P,1,1252|575|1|<released>,1,1,31933,103
111,0,practice,P,5,1,860,440,P,1,1065|755|1|<pressed>,1,1,33312,443
111,0,practice,P,6,1,860,440,P,1,1065|753|1|<pressed>,1,1,34813,404
111,0,practice,P,7,3,860,640,R,0,NONE,0,1,36312,1450
111,0,practice,P,8,3,860,640,P,1,1065|753|1|<pressed>,1,1,37812,673
111,0,practice,P,9,2,1060,440,R,0,NONE,0,1,39312,1450
111,0,practice,P,10,4,1060,640,P,1,1065|753|1|<pressed>,1,1,40812,520
111,1,test,P,1,2,1060,440,R,0,NONE,0,1,53266,1450
111,1,test,P,2,3,860,640,R,0,NONE,0,1,54765,1450
111,1,test,P,3,4,1060,640,P,1,783|840|1|<pressed>,1,1,56267,649
111,1,test,P,4,2,1060,440,P,1,783|840|1|<pressed>,1,1,57767,437
111,1,test,P,5,2,1060,440,P,1,783|840|1|<pressed>,1,1,59266,385
111,1,test,P,6,1,860,440,P,1,783|840|1|<pressed>,1,1,60766,434
111,1,test,P,7,4,1060,640,P,1,783|840|1|<pressed>,1,1,62266,390
111,1,test,P,8,1,860,440,R,0,783|840|1|<pressed>,1,0,63766,392
111,1,test,P,9,1,860,440,P,1,NONE,0,0,65267,1451
111,1,test,P,10,1,860,440,P,1,NONE,0,0,66766,1450
111,0,practice,P,1,3,860,640,P,1,NONE,0,0,7528,1450
111,0,practice,P,2,2,1060,440,P,1,869|665|1|<pressed>,1,1,9981,992
111,0,practice,P,3,1,860,440,P,1,870|665|1|<released>,1,1,10974,49
111,0,practice,P,4,4,1060,640,P,1,881|645|1|<pressed>,1,1,12028,438
111,0,practice,P,5,3,860,640,P,1,881|645|1|<pressed>,1,1,13531,545
111,0,practice,P,6,4,1060,640,P,1,881|645|1|<pressed>,1,1,15029,1409
111,0,practice,P,7,3,860,640,R,0,881|645|1|<pressed>,1,0,16528,1124
111,0,practice,P,8,1,860,440,R,0,881|645|1|<pressed>,1,0,18660,1048
111,0,practice,P,9,1,860,440,P,1,881|645|1|<pressed>,1,1,20717,865
111,0,practice,P,10,1,860,440,P,1,881|645|1|<released>,1,1,21583,81
