subnum,block,type,correctresponse,trial,choice,x,y,stim,present,response,responded,corr,starttime,rt
ntn,0,practice,P,1,4,1060,570,P,1,response,1,1,25288,692
ntn,0,practice,P,2,1,860,370,P,1,response,1,1,26787,449
ntn,0,practice,P,3,3,860,570,P,1,response,1,1,28287,444
ntn,0,practice,P,4,4,1060,570,P,1,response,1,1,29787,458
ntn,0,practice,P,5,1,860,370,P,1,response,1,1,31287,453
ntn,0,practice,P,6,2,1060,370,P,1,response,1,1,32787,546
ntn,0,practice,P,7,4,1060,570,R,0,NONE,0,1,34287,1450
ntn,0,practice,P,8,2,1060,370,P,1,response,1,1,35787,412
ntn,0,practice,P,9,1,860,370,R,0,response,1,0,37287,400
ntn,0,practice,P,10,1,860,370,P,1,response,1,1,38787,694
ntn,1,test,P,1,3,860,570,R,0,response,1,0,45713,569
ntn,1,test,P,2,4,1060,570,P,1,response,1,1,47213,424
ntn,1,test,P,3,3,860,570,R,0,response,1,0,48713,434
ntn,1,test,P,4,4,1060,570,R,0,NONE,0,1,50213,1450
ntn,1,test,P,5,2,1060,370,P,1,response,1,1,51712,386
ntn,1,test,P,6,2,1060,370,P,1,response,1,1,53213,456
ntn,1,test,P,7,4,1060,570,R,0,NONE,0,1,54713,1450
ntn,1,test,P,8,2,1060,370,P,1,response,1,1,56213,428
ntn,1,test,P,9,3,860,570,P,1,NONE,0,0,57713,1450
