subnum,block,type,correctresponse,trial,choice,x,y,stim,present,response,responded,corr,starttime,rt
oaeuae,0,practice,P,1,3,860,570,P,1,NONE,0,0,3789,1450
oaeuae,0,practice,P,2,4,1060,570,P,1,response,1,1,6244,891
oaeuae,0,practice,P,3,1,860,370,P,1,response,1,1,7138,1101
oaeuae,0,practice,P,4,1,860,370,P,1,response,1,1,8288,1024
oaeuae,0,practice,P,5,4,1060,570,P,1,NONE,0,0,9788,1450
oaeuae,0,practice,P,6,4,1060,570,P,1,response,1,1,12241,139
oaeuae,0,practice,P,7,4,1060,570,R,0,response,1,0,12788,453
oaeuae,0,practice,P,8,1,860,370,P,1,response,1,1,14288,442
oaeuae,0,practice,P,9,1,860,370,R,0,response,1,0,15788,357
oaeuae,0,practice,P,10,1,860,370,P,1,response,1,1,17288,391
oaeuae,1,test,P,1,1,860,370,P,1,response,1,1,20972,1041
oaeuae,1,test,P,2,3,860,570,P,1,NONE,0,0,22472,1450
oaeuae,1,test,P,3,3,860,570,P,1,NONE,0,0,23972,1450
