subnum,trial,abstime,prestime,delay,size,same,resp,corr,rt
thtohuo,1,111243,300,1000,1,0,left,1,1062
thtohuo,2,115897,300,1000,3,0,left,1,883
thtohuo,3,120726,300,1000,2,0,left,1,1060
thtohuo,4,125032,300,1000,3,1,left,0,649
thtohuo,5,129618,300,1000,3,1,left,0,930
thtohuo,6,133901,300,1000,4,0,right,0,623
thtohuo,7,140106,300,1000,8,1,right,1,2335
thtohuo,8,153966,300,1000,12,1,<timeout>,0,10001
thtohuo,9,167630,300,1000,2,0,<timeout>,0,10000
thtohuo,10,181507,300,1000,12,0,<timeout>,0,10000
thtohuo,11,195176,300,1000,1,1,<timeout>,0,10000
