subnum,maze,event,move,pos,x,y,abstime
11111,maze,MOVE,[1, 2],880,435,3626
11111,maze,MOVE,[1, 3],960,435,3825
11111,maze,MOVE,[1, 4],1040,435,3990
11111,maze,MOVE,[2, 4],1040,515,4107
11111,maze,MOVE,[3, 4],1040,595,4304
11111,maze,MOVE,[3, 5],1120,595,4516
11111,maze,MOVE,[4, 5],1120,675,4656
11111,maze,MOVE,[5, 5],1120,755,4849
11111,JSON Object,MOVE,[1, 2],800,203,11089
11111,JSON Object,MOVE,[2, 2],800,230,11241
11111,JSON Object,MOVE,[2, 3],826,230,11441
11111,JSON Object,MOVE,[3, 3],826,256,11614
11111,JSON Object,MOVE,[3, 4],853,256,11839
11111,JSON Object,MOVE,[3, 5],880,256,12455
11111,JSON Object,MOVE,[2, 5],880,230,12669
11111,JSON Object,MOVE,[1, 5],880,203,12849
11111,JSON Object,MOVE,[1, 6],906,203,13009
11111,JSON Object,MOVE,[2, 6],906,230,13101
11111,JSON Object,MOVE,[2, 7],933,230,13586
11111,JSON Object,MOVE,[3, 7],933,256,13739
11111,JSON Object,MOVE,[4, 7],933,283,13961
11111,JSON Object,MOVE,[5, 7],933,310,14168
11111,JSON Object,MOVE,[5, 8],959,310,14497
11111,JSON Object,MOVE,[4, 8],959,283,14688
11111,JSON Object,MOVE,[4, 9],986,283,14811
11111,JSON Object,MOVE,[4, 10],1013,283,14995
11111,JSON Object,MOVE,[3, 10],1013,256,15174
11111,JSON Object,MOVE,[2, 10],1013,230,15363
11111,JSON Object,MOVE,[2, 11],1040,230,15527
11111,JSON Object,MOVE,[3, 11],1040,256,15685
11111,JSON Object,MOVE,[3, 11],1040,256,15783
11111,JSON Object,MOVE,[3, 12],1066,256,15978
11111,JSON Object,MOVE,[4, 12],1066,283,16102
11111,JSON Object,MOVE,[4, 12],1066,283,16704
11111,JSON Object,MOVE,[4, 13],1093,283,16813
11111,JSON Object,MOVE,[5, 13],1093,310,16999
11111,JSON Object,MOVE,[5, 14],1120,310,17261
11111,JSON Object,MOVE,[6, 14],1120,336,17422
11111,JSON Object,MOVE,[7, 14],1120,363,17586
11111,JSON Object,MOVE,[7, 13],1093,363,17827
11111,JSON Object,MOVE,[7, 12],1066,363,18079
11111,JSON Object,MOVE,[7, 11],1040,363,18239
11111,JSON Object,MOVE,[7, 10],1013,363,18431
11111,JSON Object,MOVE,[8, 10],1013,390,18603
11111,JSON Object,MOVE,[9, 10],1013,416,18803
11111,JSON Object,MOVE,[10, 10],1013,443,18983
11111,JSON Object,MOVE,[10, 9],986,443,19097
11111,JSON Object,MOVE,[9, 9],986,416,19262
11111,JSON Object,MOVE,[9, 8],959,416,19425
11111,JSON Object,MOVE,[10, 8],959,443,19619
11111,JSON Object,MOVE,[11, 8],959,470,19823
11111,JSON Object,MOVE,[11, 9],986,470,20094
11111,JSON Object,MOVE,[12, 9],986,496,20232
11111,JSON Object,MOVE,[12, 10],1013,496,20500
11111,JSON Object,MOVE,[12, 11],1040,496,20690
11111,JSON Object,MOVE,[13, 11],1040,523,20818
11111,JSON Object,MOVE,[13, 12],1066,523,21004
11111,JSON Object,MOVE,[12, 12],1066,496,21172
11111,JSON Object,MOVE,[12, 13],1093,496,21472
11111,JSON Object,MOVE,[11, 13],1093,470,21687
11111,JSON Object,MOVE,[11, 14],1120,470,21796
11111,JSON Object,MOVE,[12, 14],1120,496,22056
11111,JSON Object,MOVE,[13, 14],1120,523,22242
11111,JSON Object,MOVE,[14, 14],1120,549,22436
11111,JSON Object,MOVE,[14, 15],1146,549,22717
11111,JSON Object,MOVE,[15, 15],1146,576,22939
11111,maze,MOVE,[1, 2],880,435,7018
11111,maze,MOVE,[1, 3],960,435,7208
11111,maze,MOVE,[1, 4],1040,435,7362
11111,maze,MOVE,[2, 4],1040,515,7659
11111,maze,MOVE,[3, 4],1040,595,7845
11111,maze,MOVE,[3, 5],1120,595,7997
11111,maze,MOVE,[4, 5],1120,675,8117
11111,maze,MOVE,[5, 5],1120,755,8304
11111,maze,MOVE,[1, 2],880,435,7253
11111,maze,MOVE,[1, 3],960,435,7424
11111,maze,MOVE,[1, 4],1040,435,7578
11111,maze,MOVE,[2, 4],1040,515,7810
11111,maze,MOVE,[3, 4],1040,595,7992
11111,maze,MOVE,[3, 5],1120,595,8155
11111,maze,MOVE,[4, 5],1120,675,8313
11111,maze,MOVE,[5, 5],1120,755,8474
11111,JSON Object,MOVE,[1, 1],773,203,10434
11111,JSON Object,MOVE,[2, 1],773,230,10674
11111,JSON Object,MOVE,[3, 1],773,256,10970
11111,JSON Object,MOVE,[4, 1],773,283,11497
11111,JSON Object,MOVE,[4, 2],800,283,11843
11111,JSON Object,MOVE,[4, 3],826,283,12035
11111,JSON Object,MOVE,[4, 3],826,283,12236
11111,JSON Object,MOVE,[4, 4],853,283,12408
11111,JSON Object,MOVE,[5, 4],853,310,12975
11111,JSON Object,MOVE,[5, 5],880,310,13143
11111,JSON Object,MOVE,[5, 5],880,310,13442
11111,JSON Object,MOVE,[4, 5],880,283,13622
11111,JSON Object,MOVE,[4, 6],906,283,13929
11111,JSON Object,MOVE,[4, 7],933,283,14096
11111,JSON Object,MOVE,[4, 8],959,283,14329
11111,JSON Object,MOVE,[3, 8],959,256,14532
11111,JSON Object,MOVE,[3, 9],986,256,14681
11111,JSON Object,MOVE,[4, 9],986,283,14836
11111,JSON Object,MOVE,[5, 9],986,310,16586
11111,JSON Object,MOVE,[6, 9],986,336,16755
11111,JSON Object,MOVE,[7, 9],986,363,16916
11111,JSON Object,MOVE,[7, 9],986,363,17180
11111,JSON Object,MOVE,[8, 9],986,390,17313
11111,JSON Object,MOVE,[8, 8],959,390,17566
11111,JSON Object,MOVE,[9, 8],959,416,17764
11111,JSON Object,MOVE,[9, 7],933,416,17987
11111,JSON Object,MOVE,[9, 7],933,416,18185
11111,JSON Object,MOVE,[8, 7],933,390,18352
11111,JSON Object,MOVE,[8, 6],906,390,18484
11111,JSON Object,MOVE,[9, 6],906,416,18670
11111,JSON Object,MOVE,[10, 6],906,443,18857
11111,JSON Object,MOVE,[11, 6],906,470,19018
11111,JSON Object,MOVE,[11, 5],880,470,19185
11111,JSON Object,MOVE,[12, 5],880,496,19345
11111,JSON Object,MOVE,[13, 5],880,523,19540
11111,JSON Object,MOVE,[13, 6],906,523,19724
11111,JSON Object,MOVE,[12, 6],906,496,19926
11111,JSON Object,MOVE,[12, 7],933,496,19992
11111,JSON Object,MOVE,[13, 7],933,523,20441
11111,JSON Object,MOVE,[14, 7],933,549,20624
11111,JSON Object,MOVE,[15, 7],933,576,20829
11111,JSON Object,MOVE,[14, 7],933,549,21680
11111,JSON Object,MOVE,[13, 7],933,523,21892
11111,JSON Object,MOVE,[12, 7],933,496,22077
11111,JSON Object,MOVE,[12, 7],933,496,22250
11111,JSON Object,MOVE,[12, 8],959,496,22431
11111,JSON Object,MOVE,[12, 9],986,496,22606
