subnum,maze,event,move,pos,x,y,abstime
161676_,maze,MOVE,[1, 2],880,435,8821
161676_,maze,MOVE,[1, 3],960,435,9010
161676_,maze,MOVE,[1, 4],1040,435,9189
161676_,maze,MOVE,[2, 4],1040,515,9398
161676_,maze,MOVE,[3, 4],1040,595,9584
161676_,maze,MOVE,[3, 5],1120,595,9753
161676_,maze,MOVE,[4, 5],1120,675,9896
161676_,maze,MOVE,[5, 5],1120,755,10072
161676_,JSON Object,MOVE,[2, 1],773,230,17677
161676_,JSON Object,MOVE,[3, 1],773,256,17869
161676_,JSON Object,MOVE,[4, 1],773,283,18034
161676_,JSON Object,MOVE,[4, 2],800,283,18197
161676_,JSON Object,MOVE,[4, 3],826,283,18378
161676_,JSON Object,MOVE,[4, 4],853,283,18588
161676_,JSON Object,MOVE,[5, 4],853,310,18931
161676_,JSON Object,MOVE,[5, 5],880,310,19217
161676_,JSON Object,MOVE,[4, 5],880,283,19384
161676_,JSON Object,MOVE,[4, 6],906,283,19531
161676_,JSON Object,MOVE,[4, 7],933,283,19710
161676_,JSON Object,MOVE,[3, 7],933,256,19898
161676_,JSON Object,MOVE,[3, 7],933,256,19986
161676_,JSON Object,MOVE,[3, 7],933,256,20198
161676_,JSON Object,MOVE,[4, 7],933,283,20339
161676_,JSON Object,MOVE,[4, 8],959,283,20470
161676_,JSON Object,MOVE,[3, 8],959,256,20642
161676_,JSON Object,MOVE,[3, 9],986,256,20806
161676_,JSON Object,MOVE,[4, 9],986,283,20953
161676_,JSON Object,MOVE,[5, 9],986,310,21143
161676_,JSON Object,MOVE,[6, 9],986,336,21306
161676_,JSON Object,MOVE,[7, 9],986,363,21479
161676_,JSON Object,MOVE,[8, 9],986,390,21651
161676_,JSON Object,MOVE,[8, 8],959,390,21798
161676_,JSON Object,MOVE,[9, 8],959,416,21938
161676_,JSON Object,MOVE,[9, 7],933,416,22059
161676_,JSON Object,MOVE,[8, 7],933,390,22266
161676_,JSON Object,MOVE,[8, 6],906,390,22394
161676_,JSON Object,MOVE,[9, 6],906,416,22536
161676_,JSON Object,MOVE,[10, 6],906,443,22733
161676_,JSON Object,MOVE,[11, 6],906,470,23006
161676_,JSON Object,MOVE,[11, 5],880,470,23128
161676_,JSON Object,MOVE,[12, 5],880,496,23254
161676_,JSON Object,MOVE,[12, 5],880,496,23470
161676_,JSON Object,MOVE,[13, 5],880,523,23537
161676_,JSON Object,MOVE,[13, 6],906,523,23816
161676_,JSON Object,MOVE,[12, 6],906,496,24157
161676_,JSON Object,MOVE,[12, 7],933,496,24331
161676_,JSON Object,MOVE,[12, 8],959,496,24516
161676_,JSON Object,MOVE,[12, 9],986,496,24830
161676_,JSON Object,MOVE,[12, 9],986,496,25045
161676_,JSON Object,MOVE,[11, 9],986,470,25192
161676_,JSON Object,MOVE,[11, 10],1013,470,25389
161676_,JSON Object,MOVE,[11, 11],1040,470,25569
161676_,JSON Object,MOVE,[10, 11],1040,443,25716
161676_,JSON Object,MOVE,[9, 11],1040,416,25905
161676_,JSON Object,MOVE,[9, 10],1013,416,26365
161676_,JSON Object,MOVE,[8, 10],1013,390,26442
161676_,JSON Object,MOVE,[8, 10],1013,390,26602
161676_,JSON Object,MOVE,[8, 11],1040,390,26711
161676_,JSON Object,MOVE,[8, 12],1066,390,26906
161676_,JSON Object,MOVE,[8, 13],1093,390,27067
161676_,JSON Object,MOVE,[8, 14],1120,390,27229
161676_,JSON Object,MOVE,[9, 14],1120,416,27402
161676_,JSON Object,MOVE,[10, 14],1120,443,27583
161676_,JSON Object,MOVE,[10, 15],1146,443,27710
161676_,JSON Object,MOVE,[11, 15],1146,470,27817
161676_,JSON Object,MOVE,[12, 15],1146,496,28000
161676_,JSON Object,MOVE,[13, 15],1146,523,28171
161676_,JSON Object,MOVE,[14, 15],1146,549,28344
161676_,JSON Object,MOVE,[15, 15],1146,576,28505
161676_,JSON Object,MOVE,[1, 2],800,203,36967
161676_,JSON Object,MOVE,[1, 3],826,203,37138
161676_,JSON Object,MOVE,[1, 3],826,203,37311
161676_,JSON Object,MOVE,[2, 3],826,230,37422
161676_,JSON Object,MOVE,[2, 4],853,230,37537
161676_,JSON Object,MOVE,[2, 5],880,230,37722
161676_,JSON Object,MOVE,[2, 6],906,230,37886
161676_,JSON Object,MOVE,[3, 6],906,256,38014
161676_,JSON Object,MOVE,[3, 5],880,256,38207
161676_,JSON Object,MOVE,[4, 5],880,283,38346
161676_,JSON Object,MOVE,[5, 5],880,310,38536
161676_,JSON Object,MOVE,[5, 6],906,310,38690
161676_,JSON Object,MOVE,[5, 7],933,310,38870
161676_,JSON Object,MOVE,[5, 8],959,310,39036
161676_,JSON Object,MOVE,[5, 9],986,310,39194
161676_,JSON Object,MOVE,[6, 9],986,336,39311
161676_,JSON Object,MOVE,[7, 9],986,363,39508
161676_,JSON Object,MOVE,[7, 10],1013,363,39653
161676_,JSON Object,MOVE,[8, 10],1013,390,39761
161676_,JSON Object,MOVE,[8, 9],986,390,39974
161676_,JSON Object,MOVE,[9, 9],986,416,40108
161676_,JSON Object,MOVE,[9, 10],1013,416,40278
161676_,JSON Object,MOVE,[9, 11],1040,416,40468
161676_,JSON Object,MOVE,[9, 12],1066,416,40633
161676_,JSON Object,MOVE,[8, 12],1066,390,40759
161676_,JSON Object,MOVE,[8, 13],1093,390,40891
161676_,JSON Object,MOVE,[9, 13],1093,416,41162
161676_,JSON Object,MOVE,[10, 13],1093,443,41379
161676_,JSON Object,MOVE,[10, 14],1120,443,41538
161676_,JSON Object,MOVE,[11, 14],1120,470,41622
161676_,JSON Object,MOVE,[11, 15],1146,470,41716
161676_,JSON Object,MOVE,[12, 15],1146,496,41847
161676_,JSON Object,MOVE,[12, 15],1146,496,42004
161676_,JSON Object,MOVE,[13, 15],1146,523,42077
161676_,JSON Object,MOVE,[14, 15],1146,549,42262
161676_,JSON Object,MOVE,[15, 15],1146,576,42430
