"subnum" "trial" "step" "startx" "starty" "xtrans" "ytrans" "label" "targx" "targy" "dist" "timeout" "hit" "rt"
111 0 1 958 983 1 1 "normal" 1069 819 198.033 2000 1 1943
111 0 2 1060 828 1 1 "normal" 1211 554 312.853 2000 1 421
111 0 3 1213 537 1 1 "normal" 912 531 301.06 2000 1 622
111 0 4 877 517 1 1 "normal" 631 424 262.992 2000 1 581
111 0 5 639 418 1 1 "normal" 712 713 303.898 2000 1 491
111 0 6 714 696 1 1 "normal" 1010 740 299.252 2000 1 901
111 0 7 1016 731 1 1 "normal" 1128 464 289.539 2000 1 511
111 0 8 1121 471 1 1 "normal" 1227 747 295.655 2000 1 531
111 0 9 1234 753 1 1 "normal" 929 778 306.023 2000 1 631
111 0 10 922 794 1 1 "normal" 1008 488 317.855 2000 1 801
111 0 11 1000 483 1 1 "normal" 1184 246 300.042 2000 1 591
111 0 12 1188 251 1 1 "normal" 1007 488 298.211 2000 1 591
111 0 13 1016 501 1 1 "normal" 708 500 308.002 2000 1 901
111 0 14 696 501 1 1 "normal" 994 588 310.44 2000 1 631
111 0 15 985 575 1 1 "normal" 696 554 289.762 2000 1 591
111 0 16 714 549 1 1 "normal" 818 280 288.404 2000 1 501
111 0 17 820 288 1 1 "normal" 1117 298 297.168 2000 1 631
111 0 18 1106 299 1 1 "normal" 1063 594 298.117 2000 1 581
111 0 19 1058 601 1 1 "normal" 1334 723 301.761 2000 1 961
111 0 20 1339 739 1 1 "normal" 1103 531 314.579 2000 1 581
111 0 21 1094 538 1 1 "normal" 895 747 288.586 2000 1 641
111 0 22 885 742 1 1 "normal" 1184 666 308.508 2000 1 471
111 0 23 1169 655 1 1 "normal" 972 453 282.158 2000 1 581
111 0 24 972 452 1 1 "normal" 690 352 299.206 2000 1 561
111 0 25 707 358 1 1 "normal" 739 648 291.76 2000 1 751
111 0 26 750 642 1 1 "normal" 621 372 299.234 2000 1 521
111 0 27 620 386 1 1 "normal" 862 552 293.462 2000 1 581
111 0 28 863 562 1 1 "normal" 1140 663 294.839 2000 1 351
111 0 29 1149 652 1 1 "normal" 1159 364 288.174 2000 1 631
111 0 30 1155 379 1 1 "normal" 943 572 286.693 2000 1 442
111 1 1 943 995 1 -1 "MODIFIED1" 927 838 157.813 2000 0 2004
111 1 2 939 268 1 -1 "MODIFIED1" 1192 696 497.185 2000 1 1491
111 1 3 1176 390 1 -1 "MODIFIED1" 928 554 297.321 2000 1 1181
111 1 4 933 510 1 -1 "MODIFIED1" 658 423 288.434 2000 1 842
111 1 5 661 646 1 -1 "MODIFIED1" 935 308 435.109 2000 1 1282
111 1 6 942 782 1 -1 "MODIFIED1" 918 607 176.638 2000 1 1071
111 1 7 926 486 1 -1 "MODIFIED1" 618 603 329.474 2000 1 721
111 1 8 627 465 1 -1 "MODIFIED1" 786 354 193.912 2000 1 1432
111 1 9 769 721 1 -1 "MODIFIED1" 620 604 189.447 2000 1 1113
111 1 10 607 483 1 -1 "MODIFIED1" 845 802 398.001 2000 1 1272
111 1 11 841 296 1 -1 "MODIFIED1" 575 673 461.395 2000 1 991
111 1 12 557 402 1 -1 "MODIFIED1" 796 470 248.485 2000 1 931
111 1 13 786 601 1 -1 "MODIFIED1" 1079 371 372.49 2000 1 951
111 1 14 1071 712 1 -1 "MODIFIED1" 1307 566 277.51 2000 1 1061
111 1 15 1304 513 1 -1 "MODIFIED1" 1026 462 282.639 2000 1 801
111 1 16 1037 613 1 -1 "MODIFIED1" 793 272 419.305 2000 1 1101
111 1 17 801 791 1 -1 "MODIFIED1" 608 508 342.546 2000 1 1061
111 1 18 607 589 1 -1 "MODIFIED1" 841 698 258.141 2000 1 1091
111 1 19 852 373 1 -1 "MODIFIED1" 819 398 41.4005 2000 1 902
111 1 20 813 668 1 -1 "MODIFIED1" 1118 423 391.216 2000 1 821
111 1 21 1117 646 1 -1 "MODIFIED1" 1000 699 128.445 2000 1 991
111 1 22 1006 394 1 -1 "MODIFIED1" 1298 730 445.152 2000 1 912
111 1 23 1286 364 1 -1 "MODIFIED1" 1307 430 69.2604 2000 1 1311
111 1 24 1309 659 1 -1 "MODIFIED1" 1095 642 214.674 2000 1 741
111 1 25 1091 456 1 -1 "MODIFIED1" 796 665 361.533 2000 1 831
111 1 26 807 417 1 -1 "MODIFIED1" 583 453 226.874 2000 1 1113
111 1 27 576 615 1 -1 "MODIFIED1" 677 738 159.154 2000 1 652
111 1 28 691 346 1 -1 "MODIFIED1" 890 528 269.676 2000 1 661
111 1 29 893 552 1 -1 "MODIFIED1" 949 822 275.746 2000 1 1121
111 1 30 955 267 1 -1 "MODIFIED1" 1203 661 465.553 2000 1 662
111 2 1 991 993 1 -1 "MODIFIED2" 894 832 187.963 2000 1 1085
111 2 2 875 222 1 -1 "MODIFIED2" 937 535 319.081 2000 1 753
111 2 3 955 541 1 -1 "MODIFIED2" 697 715 311.191 2000 1 891
111 2 4 711 353 1 -1 "MODIFIED2" 986 635 393.89 2000 1 1262
111 2 5 972 434 1 -1 "MODIFIED2" 686 624 343.36 2000 1 581
111 2 6 688 438 1 -1 "MODIFIED2" 959 748 411.754 2000 1 1292
111 2 7 948 317 1 -1 "MODIFIED2" 1241 643 438.321 2000 1 803
111 2 8 1249 428 1 -1 "MODIFIED2" 1104 376 154.042 2000 1 921
