subnum,block,time,trial,practice,targdir,oddballcoherence,oddballdir,time0,resp,corr,rt
ntoeuhao,0,8601,1,1,1,-1,0,6593,right,0,1607
ntoeuhao,0,10634,2,1,1,1,1,9593,right,0,640
ntoeuhao,0,13485,3,1,1,-1,0,12593,left,1,490
ntoeuhao,0,16413,4,1,2,1,0,15593,right,1,418
ntoeuhao,0,19499,5,1,1,-1,0,18593,left,1,504
ntoeuhao,0,22744,6,1,2,-1,1,21593,right,1,749
ntoeuhao,0,25543,7,1,2,1,0,24593,right,1,548
ntoeuhao,0,28448,8,1,2,1,0,27593,right,1,453
ntoeuhao,0,31466,9,1,2,1,0,30593,right,1,472
ntoeuhao,0,34713,10,1,2,-1,1,33593,left,0,718
ntoeuhao,0,37541,11,1,1,-1,0,36593,left,1,546
ntoeuhao,0,40508,12,1,1,1,1,39593,left,1,514
ntoeuhao,1,48953,1,0,2,1,0,47884,right,1,1068
ntoeuhao,1,51184,2,0,2,1,0,50884,right,1,299
ntoeuhao,1,54248,3,0,1,-1,0,53884,left,1,363
