subnum,trial,type,clicks,hits,clicktime,posx,posy,corr,id,rt,rt2
1215,1P,1,1,1,10281,309,374,1,1,3402,3402
1215,1P,1,2,2,10719,364,249,1,2,438,438
1215,1P,1,3,3,11139,370,332,1,3,420,420
1215,1P,1,4,4,11577,427,192,1,4,438,438
1215,1,1,1,0,13361,351,542,0,23,1335,1335
1215,1,1,3,0,14859,646,377,0,2,1498,2833
1215,1,1,4,0,15413,755,417,0,3,554,3387
1215,1,1,5,0,16007,646,382,0,2,594,3981
1215,1,1,7,1,17120,557,417,1,1,1113,5094
1215,1,1,8,2,17555,624,387,1,2,435,435
1215,1,1,9,3,18251,743,410,1,3,696,696
1215,1,1,10,4,18990,734,271,1,4,739,739
1215,1,1,11,5,19487,645,283,1,5,497,497
1215,1,1,12,6,20423,697,178,1,6,936,936
1215,1,1,13,7,20785,724,144,1,7,362,362
