subnum,tasktype,direction,stimulus_type,trialnum,length,try,input,response,correct,resptime
example,forward_digit,forward,digit,1,3,0,465,456,0,1282
example,forward_digit,forward,digit,2,3,1,459,041,0,2311
example,backward_digit,backward,digit,1,3,0,917,719,0,2431
example,backward_digit,backward,digit,2,3,1,708,807,0,1264
example,forward_letter,forward,letter,1,3,0,RHN,NHR,0,3957
example,forward_letter,forward,letter,2,3,1,YNW,YNW,1,1096
example,forward_letter,forward,letter,3,4,0,NHRW,WRNH,0,1725
example,forward_letter,forward,letter,4,4,1,PKYW,WYKP,0,3186
example,backward_letter,backward,letter,1,3,0,RQK,RQK,1,3166
example,backward_letter,backward,letter,2,3,1,CRY,YRC,0,1782
example,backward_letter,backward,letter,3,4,0,QXKR,RXCV,0,1909
example,backward_letter,backward,letter,4,4,1,HCQW,HCQW,1,1797
example,backward_letter,backward,letter,5,5,0,NCPKW,AOEU_,0,42105
example,backward_letter,backward,letter,6,5,1,PRKQN,TOHEU,0,725
example,forward_mixed,forward,mixed,1,3,0,24W,24W,1,2188
example,forward_mixed,forward,mixed,2,3,1,N03,N03,1,1982
example,forward_mixed,forward,mixed,3,4,0,37HR,3744,0,2986
example,forward_mixed,forward,mixed,4,4,1,3N7X,OTHA,0,1435
example,backward_mixed,backward,mixed,1,3,0,5XH,HX4,0,5495
example,backward_mixed,backward,mixed,2,3,1,3X8,8X3,0,3385
example,ordering_digit,ordering,digit,1,3,0,508,058,1,2596
example,ordering_digit,ordering,digit,2,3,1,104,104,0,1856
example,ordering_digit,ordering,digit,3,4,0,6491,0149,0,4294
example,ordering_digit,ordering,digit,4,4,1,6389,3689,1,3141
example,ordering_digit,ordering,digit,5,5,0,36580,03567,0,3890
example,ordering_digit,ordering,digit,6,5,1,56043,01051,0,2946
example,ordering_letter,ordering,letter,1,3,0,PKY,KPY,1,6678
example,ordering_letter,ordering,letter,2,3,1,XRQ,QRX,1,1967
example,ordering_letter,ordering,letter,3,4,0,WPNC,CNPW,1,7762
example,ordering_letter,ordering,letter,4,4,1,QPNK,KNQP,0,5446
example,ordering_letter,ordering,letter,5,5,0,XKRWC,HDHH_,0,1085
example,ordering_letter,ordering,letter,6,5,1,QPKXY,NTNSH,0,1484
example,ordering_mixed,ordering,mixed,1,3,0,C91,19C,1,4639
example,ordering_mixed,ordering,mixed,2,3,1,N29,29N,1,2903
example,ordering_mixed,ordering,mixed,3,4,0,X7N2,27NX,1,6027
example,ordering_mixed,ordering,mixed,4,4,1,KY72,2727,0,1975
example,ordering_mixed,ordering,mixed,5,5,0,302WY,YTHO2,0,3599
example,ordering_mixed,ordering,mixed,6,5,1,8P21K,DDIDD,0,1685
