subNum,block,trial,time0,delay,delay2,rt,resp1,resp2
aeou,1,1,30335,2500,1701,459,response,response
aeou,1,2,33294,2500,2647,339,NO_RESPONSE,response
aeou,1,3,36280,500,598,449,NO_RESPONSE,response
aeou,1,4,37327,1250,1355,312,NO_RESPONSE,response
aeou,1,5,38994,1250,1333,310,NO_RESPONSE,response
aeou,1,6,40637,1000,1084,57613,NO_RESPONSE,response
aeou,1,7,99334,500,654,385,NO_RESPONSE,response
aeou,1,8,100374,750,904,375,NO_RESPONSE,response
aeou,1,9,101654,250,354,748,NO_RESPONSE,response
aeou,1,10,102757,1750,1862,295,NO_RESPONSE,response
aeou,1,11,104915,750,827,365,NO_RESPONSE,response
aeou,1,12,106108,2250,2319,323,NO_RESPONSE,response
