subNum,block,trial,time0,delay,delay2,rt,resp1,resp2
eoiaoeu,1,1,14535,1000,1002,1227,NO_RESPONSE,x
eoiaoeu,1,2,16764,1250,1251,467,NO_RESPONSE,x
eoiaoeu,1,3,18483,500,500,760,NO_RESPONSE,x
eoiaoeu,1,4,19744,750,751,386,NO_RESPONSE,x
eoiaoeu,1,5,20882,2000,1829,700,x,x
eoiaoeu,1,6,23582,1500,1502,265,NO_RESPONSE,x
eoiaoeu,1,7,25349,1750,1751,457,NO_RESPONSE,x
eoiaoeu,1,8,27557,2000,2001,456,NO_RESPONSE,x
eoiaoeu,1,9,30014,750,751,425,NO_RESPONSE,x
eoiaoeu,1,10,31190,1750,1751,278,NO_RESPONSE,x
eoiaoeu,1,11,33219,2500,2313,64,x,x
eoiaoeu,1,12,35783,1500,229,22774,x,x
eoiaoeu,1,13,60058,250,250,528,NO_RESPONSE,x
eoiaoeu,1,14,60836,1500,1501,295,NO_RESPONSE,x
eoiaoeu,1,15,62632,250,208,412,x,x
eoiaoeu,1,16,63294,1000,217,301,x,x
eoiaoeu,1,17,64595,1500,1501,264,NO_RESPONSE,x
eoiaoeu,1,18,66360,750,751,325,NO_RESPONSE,x
eoiaoeu,1,19,67436,500,501,350,NO_RESPONSE,x
eoiaoeu,1,20,68287,1750,1751,240,NO_RESPONSE,x
eoiaoeu,1,21,70278,750,751,317,NO_RESPONSE,x
eoiaoeu,1,22,71347,2000,2001,253,NO_RESPONSE,x
eoiaoeu,1,23,73601,2250,2251,263,NO_RESPONSE,x
eoiaoeu,1,24,76116,2500,2501,294,NO_RESPONSE,x
eoiaoeu,1,25,78911,2500,2501,424,NO_RESPONSE,x
eoiaoeu,1,26,81836,1250,1251,431,NO_RESPONSE,x
eoiaoeu,1,27,83518,250,251,1225,NO_RESPONSE,x
eoiaoeu,1,28,84994,250,251,1193,NO_RESPONSE,x
eoiaoeu,1,29,86439,2000,2001,347,NO_RESPONSE,x
eoiaoeu,1,30,88787,2500,2501,712,NO_RESPONSE,x
eoiaoeu,1,31,92000,2250,1920,81,x,x
eoiaoeu,1,32,94331,1500,211,9800,x,x
