subnum,responsecond,code,block,trial,stimword,stimcolorid,stimcolorname,cond,responded,response,correct,abstime,rt,randomerror,incong,speechduration,recordtime
a11,keyboard,data/a11/trial--10000-,Practice1,-10000,red,4,yellow,I,1,3,0,19749,1480,1,0,0,1480
a11,keyboard,data/a11/trial--9999-,Practice1,-9999,hard,1,red,N,1,1,1,23232,1738,0,0,0,1738
a11,keyboard,data/a11/trial--9998-,Practice1,-9998,yellow,1,red,I,1,1,1,26971,643,0,0,0,643
a11,keyboard,data/a11/trial--9997-,Practice1,-9997,yellow,3,green,I,1,2,0,29617,769,1,0,0,769
a11,keyboard,data/a11/trial--9996-,Practice1,-9996,and,3,green,N,1,3,1,32387,612,0,0,0,612
a11,keyboard,data/a11/trial--9995-,Practice1,-9995,yellow,2,blue,I,1,2,1,35000,1068,0,0,0,1068
a11,keyboard,data/a11/trial--9994-,Practice1,-9994,green,3,green,C,1,3,1,38069,1060,0,0,0,1060
a11,keyboard,data/a11/trial--9993-,Practice1,-9993,red,3,green,I,1,3,1,41130,1250,0,0,0,1250
a11,keyboard,data/a11/trial--9992-,Practice1,-9992,green,2,blue,I,1,2,1,44380,1261,0,0,0,1261
a11,keyboard,data/a11/trial--9991-,Practice1,-9991,yellow,4,yellow,C,1,1,0,47642,747,1,0,0,747
a11,keyboard,data/a11/trial--9990-,Practice1,-9990,blue,2,blue,C,1,2,1,50391,588,0,0,0,588
a11,keyboard,data/a11/trial--9989-,Practice1,-9989,over,2,blue,N,1,2,1,52980,633,0,0,0,633
a11,keyboard,data/a11/trial--9988-,Practice1,-9988,hard,2,blue,N,1,2,1,55615,607,0,0,0,607
a11,keyboard,data/a11/trial--9987-,Practice1,-9987,and,4,yellow,N,1,4,1,58223,1024,0,0,0,1024
a11,keyboard,data/a11/trial--9986-,Practice1,-9986,blue,2,blue,C,1,2,1,61248,1459,0,0,0,1459
a11,keyboard,data/a11/trial--9985-,Practice1,-9985,red,1,red,C,1,1,1,64708,2048,0,0,0,2048
a11,keyboard,data/a11/trial--9984-,Practice1,-9984,and,1,red,N,1,1,1,68757,1004,0,0,0,1004
a11,keyboard,data/a11/trial--9983-,Practice1,-9983,blue,3,green,I,1,3,1,71762,1056,0,0,0,1056
a11,keyboard,data/a11/trial--9982-,Practice1,-9982,green,3,green,C,1,3,1,74819,660,0,0,0,660
a11,keyboard,data/a11/trial--9981-,Practice1,-9981,green,4,yellow,I,1,4,1,77480,848,0,0,0,848
a11,keyboard,data/a11/trial--9980-,Practice1,-9980,yellow,4,yellow,C,1,4,1,80329,528,0,0,0,528
a11,keyboard,data/a11/trial--9979-,Practice1,-9979,when,2,blue,N,1,2,1,82858,981,0,0,0,981
a11,keyboard,data/a11/trial--9978-,Practice1,-9978,when,4,yellow,N,1,4,1,85841,934,0,0,0,934
a11,keyboard,data/a11/trial--9977-,Practice1,-9977,red,1,red,C,1,1,1,88776,959,0,0,0,959
