subnum,responsecond,code,block,trial,stimword,stimcolorid,stimcolorname,cond,responded,response,correct,abstime,rt,randomerror,incong,speechduration,recordtime
aothuoae,keyboard,data/aothuoae/trial--10000-,Practice1,-10000,red,4,yellow,I,1,1,0,17866,624,0,1,0,624
aothuoae,keyboard,data/aothuoae/trial--9999-,Practice1,-9999,green,2,blue,I,1,3,0,20492,1824,0,1,0,1824
aothuoae,keyboard,data/aothuoae/trial--9998-,Practice1,-9998,green,3,green,C,1,3,1,24318,4374,0,0,0,4374
aothuoae,keyboard,data/aothuoae/trial--9997-,Practice1,-9997,green,4,yellow,I,1,4,1,30692,1190,0,0,0,1190
aothuoae,keyboard,data/aothuoae/trial--9996-,Practice1,-9996,and,4,yellow,N,1,4,1,33883,642,0,0,0,642
aothuoae,keyboard,data/aothuoae/trial--9995-,Practice1,-9995,when,4,yellow,N,1,4,1,36526,559,0,0,0,559
aothuoae,keyboard,data/aothuoae/trial--9994-,Practice1,-9994,blue,3,green,I,1,3,1,39086,1535,0,0,0,1535
aothuoae,keyboard,data/aothuoae/trial--9993-,Practice1,-9993,green,3,green,C,1,3,1,42621,587,0,0,0,587
aothuoae,keyboard,data/aothuoae/trial--9992-,Practice1,-9992,red,3,green,I,1,3,1,45209,845,0,0,0,845
aothuoae,keyboard,data/aothuoae/trial--9991-,Practice1,-9991,red,1,red,C,1,1,1,48054,1033,0,0,0,1033
aothuoae,keyboard,data/aothuoae/trial--9990-,Practice1,-9990,blue,2,blue,C,1,2,1,51087,472,0,0,0,472
aothuoae,keyboard,data/aothuoae/trial--9989-,Practice1,-9989,yellow,1,red,I,1,1,1,53561,796,0,0,0,796
aothuoae,keyboard,data/aothuoae/trial--9988-,Practice1,-9988,yellow,4,yellow,C,1,4,1,56358,1357,0,0,0,1357
aothuoae,keyboard,data/aothuoae/trial--9987-,Practice1,-9987,and,3,green,N,1,3,1,59715,2310,0,0,0,2310
