subnum,responsecond,code,block,trial,stimword,stimcolorid,stimcolorname,cond,responded,response,correct,abstime,rt,randomerror,incong,speechduration,recordtime
htoh,keyboard,data/htoh/trial--10000-,Practice1,-10000,blue,3,green,I,1,1,0,9345,376,1,0,0,376
test,keyboard,data/test/trial--10000-,Practice1,-10000,green,4,yellow,I,1,4,1,9685,951,0,0,0,951
test,keyboard,data/test/trial--9999-,Practice1,-9999,yellow,4,yellow,C,1,4,1,12648,605,0,0,0,605
test,keyboard,data/test/trial--9998-,Practice1,-9998,green,3,green,C,1,1,0,15261,759,1,0,0,759
test,keyboard,data/test/trial--9997-,Practice1,-9997,yellow,3,green,I,1,3,1,18026,706,0,0,0,706
test,keyboard,data/test/trial--9996-,Practice1,-9996,blue,3,green,I,1,3,1,20738,645,0,0,0,645
test,keyboard,data/test/trial--9995-,Practice1,-9995,red,4,yellow,I,1,4,1,23391,1377,0,0,0,1377
test,keyboard,data/test/trial--9994-,Practice1,-9994,blue,2,blue,C,1,2,1,26773,803,0,0,0,803
test,keyboard,data/test/trial--9993-,Practice1,-9993,and,3,green,N,1,3,1,29584,1107,0,0,0,1107
test,keyboard,data/test/trial--9992-,Practice1,-9992,red,1,red,C,1,1,1,32699,675,0,0,0,675
test,keyboard,data/test/trial--9991-,Practice1,-9991,yellow,1,red,I,1,1,1,35379,914,0,0,0,914
test,keyboard,data/test/trial--9990-,Practice1,-9990,blue,2,blue,C,1,2,1,38302,698,0,0,0,698
test,keyboard,data/test/trial--9989-,Practice1,-9989,and,4,yellow,N,1,4,1,41005,845,0,0,0,845
test,keyboard,data/test/trial--9988-,Practice1,-9988,green,2,blue,I,1,3,0,43854,1085,0,1,0,1085
test,keyboard,data/test/trial--9987-,Practice1,-9987,hard,1,red,N,1,1,1,46945,674,0,0,0,674
test,keyboard,data/test/trial--9986-,Practice1,-9986,red,1,red,C,1,1,1,49627,487,0,0,0,487
test,keyboard,data/test/trial--9985-,Practice1,-9985,hard,2,blue,N,1,2,1,52119,1092,0,0,0,1092
test,keyboard,data/test/trial--9984-,Practice1,-9984,over,2,blue,N,1,2,1,55214,601,0,0,0,601
test,keyboard,data/test/trial--9983-,Practice1,-9983,green,3,green,C,1,3,1,57821,736,0,0,0,736
test,keyboard,data/test/trial--9982-,Practice1,-9982,and,1,red,N,1,1,1,60566,1045,0,0,0,1045
test,keyboard,data/test/trial--9981-,Practice1,-9981,yellow,2,blue,I,1,2,1,63619,1916,0,0,0,1916
test,keyboard,data/test/trial--9980-,Practice1,-9980,yellow,4,yellow,C,1,4,1,67540,707,0,0,0,707
test,keyboard,data/test/trial--9979-,Practice1,-9979,red,3,green,I,1,3,1,70250,1896,0,0,0,1896
test,keyboard,data/test/trial--9978-,Practice1,-9978,when,2,blue,N,1,2,1,74152,756,0,0,0,756
test,keyboard,data/test/trial--9977-,Practice1,-9977,when,4,yellow,N,1,4,1,76915,1004,0,0,0,1004
test,keyboard,data/test/trial-001-,1,1,green,4,yellow,I,1,4,1,91086,1017,0,0,0,1017
test,keyboard,data/test/trial-002-,1,2,blue,2,blue,C,1,2,1,94110,796,0,0,0,796
test,keyboard,data/test/trial-003-,1,3,and,4,yellow,N,1,4,1,96911,950,0,0,0,950
test,keyboard,data/test/trial-004-,1,4,blue,1,red,I,1,1,1,99866,1439,0,0,0,1439
test,keyboard,data/test/trial-005-,1,5,green,4,yellow,I,1,4,1,103309,1817,0,0,0,1817
test,keyboard,data/test/trial-006-,1,6,and,1,red,N,1,1,1,107131,820,0,0,0,820
test,keyboard,data/test/trial-007-,1,7,and,3,green,N,1,3,1,109952,1070,0,0,0,1070
test,keyboard,data/test/trial-008-,1,8,hard,1,red,N,1,1,1,113028,869,0,0,0,869
test,keyboard,data/test/trial-009-,1,9,green,3,green,C,1,3,1,115904,969,0,0,0,969
test,keyboard,data/test/trial-010-,1,10,yellow,1,red,I,1,1,1,118881,1017,0,0,0,1017
test,keyboard,data/test/trial-011-,1,11,red,1,red,C,1,1,1,121904,553,0,0,0,553
test,keyboard,data/test/trial-012-,1,12,yellow,4,yellow,C,1,4,1,124460,657,0,0,0,657
test,keyboard,data/test/trial-013-,1,13,blue,2,blue,C,1,2,1,127124,751,0,0,0,751
test,keyboard,data/test/trial-014-,1,14,red,4,yellow,I,1,4,1,129880,757,0,0,0,757
test,keyboard,data/test/trial-015-,1,15,green,3,green,C,1,3,1,132645,1243,0,0,0,1243
test,keyboard,data/test/trial-016-,1,16,red,1,red,C,1,1,1,135892,592,0,0,0,592
test,keyboard,data/test/trial-017-,1,17,hard,2,blue,N,1,2,1,138493,711,0,0,0,711
test,keyboard,data/test/trial-018-,1,18,over,1,red,N,1,1,1,141211,618,0,0,0,618
test,keyboard,data/test/trial-019-,1,19,over,4,yellow,N,1,4,1,143836,727,0,0,0,727
test,keyboard,data/test/trial-020-,1,20,yellow,4,yellow,C,1,4,1,146571,593,0,0,0,593
test,keyboard,data/test/trial-021-,1,21,green,2,blue,I,1,2,1,149171,1451,0,0,0,1451
test,keyboard,data/test/trial-022-,1,22,blue,2,blue,C,1,2,1,152632,652,0,0,0,652
test,keyboard,data/test/trial-023-,1,23,hard,2,blue,N,1,2,1,155289,462,0,0,0,462
test,keyboard,data/test/trial-024-,1,24,red,1,red,C,1,1,1,157758,608,0,0,0,608
test,keyboard,data/test/trial-025-,1,25,when,4,yellow,N,1,4,1,160371,871,0,0,0,871
test,keyboard,data/test/trial-026-,1,26,green,1,red,I,1,1,1,163254,1037,0,0,0,1037
test,keyboard,data/test/trial-027-,1,27,hard,1,red,N,1,1,1,166298,702,0,0,0,702
test,keyboard,data/test/trial-028-,1,28,hard,4,yellow,N,1,4,1,169003,794,0,0,0,794
test,keyboard,data/test/trial-029-,1,29,blue,3,green,I,1,3,1,171801,2225,0,0,0,2225
test,keyboard,data/test/trial-030-,1,30,when,1,red,N,1,1,1,176031,803,0,0,0,803
test,keyboard,data/test/trial-031-,1,31,green,2,blue,I,1,2,1,178839,1722,0,0,0,1722
test,keyboard,data/test/trial-032-,1,32,red,1,red,C,1,1,1,182568,570,0,0,0,570
test,keyboard,data/test/trial-033-,1,33,blue,4,yellow,I,1,4,1,185143,857,0,0,0,857
test,keyboard,data/test/trial-034-,1,34,yellow,1,red,I,1,1,1,188003,2034,0,0,0,2034
test,keyboard,data/test/trial-035-,1,35,yellow,3,green,I,1,3,1,192043,2635,0,0,0,2635
test,keyboard,data/test/trial-036-,1,36,hard,3,green,N,1,3,1,196683,791,0,0,0,791
test,keyboard,data/test/trial-037-,1,37,yellow,4,yellow,C,1,4,1,199481,893,0,0,0,893
test,keyboard,data/test/trial-038-,1,38,green,3,green,C,1,3,1,202378,1000,0,0,0,1000
test,keyboard,data/test/trial-039-,1,39,red,2,blue,I,1,2,1,205385,1874,0,0,0,1874
test,keyboard,data/test/trial-040-,1,40,when,4,yellow,N,1,4,1,209266,789,0,0,0,789
test,keyboard,data/test/trial-041-,1,41,red,1,red,C,1,1,1,212059,539,0,0,0,539
test,keyboard,data/test/trial-042-,1,42,when,3,green,N,1,3,1,214601,1519,0,0,0,1519
test,keyboard,data/test/trial-043-,1,43,over,2,blue,N,1,2,1,218126,911,0,0,0,911
test,keyboard,data/test/trial-044-,1,44,and,4,yellow,N,1,4,1,221037,803,0,0,0,803
test,keyboard,data/test/trial-045-,1,45,yellow,3,green,I,1,3,1,223845,2546,0,0,0,2546
test,keyboard,data/test/trial-046-,1,46,green,3,green,C,1,3,1,228400,583,0,0,0,583
test,keyboard,data/test/trial-047-,1,47,red,3,green,I,1,3,1,230990,2454,0,0,0,2454
test,keyboard,data/test/trial-048-,1,48,red,2,blue,I,1,2,1,235451,1212,0,0,0,1212
test,keyboard,data/test/trial-049-,1,49,over,4,yellow,N,1,4,1,238668,770,0,0,0,770
test,keyboard,data/test/trial-050-,1,50,yellow,4,yellow,C,1,4,1,241445,478,0,0,0,478
test,keyboard,data/test/trial-051-,1,51,hard,4,yellow,N,1,4,1,243931,497,0,0,0,497
test,keyboard,data/test/trial-052-,1,52,blue,2,blue,C,1,2,1,246435,757,0,0,0,757
test,keyboard,data/test/trial-053-,1,53,blue,3,green,I,1,3,1,249198,1493,0,0,0,1493
test,keyboard,data/test/trial-054-,1,54,yellow,4,yellow,C,1,2,0,252695,590,1,0,0,590
test,keyboard,data/test/trial-055-,1,55,green,3,green,C,1,3,1,255289,1263,0,0,0,1263
test,keyboard,data/test/trial-056-,1,56,blue,2,blue,C,1,2,1,258554,726,0,0,0,726
test,keyboard,data/test/trial-057-,1,57,when,2,blue,N,1,2,1,261287,684,0,0,0,684
test,keyboard,data/test/trial-058-,1,58,when,2,blue,N,1,2,1,263979,534,0,0,0,534
test,keyboard,data/test/trial-059-,1,59,yellow,2,blue,I,1,2,1,266518,671,0,0,0,671
test,keyboard,data/test/trial-060-,1,60,red,4,yellow,I,1,4,1,269195,1464,0,0,0,1464
test,keyboard,data/test/trial-061-,1,61,and,3,green,N,1,3,1,272663,1689,0,0,0,1689
test,keyboard,data/test/trial-062-,1,62,green,1,red,I,1,1,1,276359,1014,0,0,0,1014
test,keyboard,data/test/trial-063-,1,63,blue,1,red,I,1,1,1,279373,1219,0,0,0,1219
test,keyboard,data/test/trial-064-,1,64,green,3,green,C,1,3,1,282598,887,0,0,0,887
test,keyboard,data/test/trial-065-,1,65,red,3,green,I,1,3,1,285493,1168,0,0,0,1168
test,keyboard,data/test/trial-066-,1,66,blue,4,yellow,I,1,4,1,288668,1027,0,0,0,1027
test,keyboard,data/test/trial-067-,1,67,red,1,red,C,1,1,1,291697,568,0,0,0,568
test,keyboard,data/test/trial-068-,1,68,over,3,green,N,1,3,1,294271,1235,0,0,0,1235
test,keyboard,data/test/trial-069-,1,69,yellow,2,blue,I,1,2,1,297509,1136,0,0,0,1136
test,keyboard,data/test/trial-070-,1,70,yellow,4,yellow,C,1,4,1,300654,713,0,0,0,713
test,keyboard,data/test/trial-071-,1,71,blue,2,blue,C,1,2,1,303373,846,0,0,0,846
test,keyboard,data/test/trial-072-,1,72,and,2,blue,N,1,2,1,306225,749,0,0,0,749
test,keyboard,data/test/trial-073-,2,73,yellow,3,green,I,1,3,1,337799,1648,0,0,0,1648
test,keyboard,data/test/trial-074-,2,74,green,2,blue,I,1,2,1,341464,1534,0,0,0,1534
test,keyboard,data/test/trial-075-,2,75,red,2,blue,I,1,2,1,345003,867,0,0,0,867
test,keyboard,data/test/trial-076-,2,76,hard,4,yellow,N,1,4,1,347879,1252,0,0,0,1252
test,keyboard,data/test/trial-077-,2,77,blue,2,blue,C,1,2,1,351133,1348,0,0,0,1348
test,keyboard,data/test/trial-078-,2,78,yellow,2,blue,I,1,2,1,354489,733,0,0,0,733
test,keyboard,data/test/trial-079-,2,79,when,4,yellow,N,1,4,1,357226,869,0,0,0,869
test,keyboard,data/test/trial-080-,2,80,when,3,green,N,1,3,1,360097,1617,0,0,0,1617
test,keyboard,data/test/trial-081-,2,81,and,2,blue,N,1,2,1,363723,940,0,0,0,940
test,keyboard,data/test/trial-082-,2,82,green,4,yellow,I,1,4,1,366671,1067,0,0,0,1067
test,keyboard,data/test/trial-083-,2,83,yellow,2,blue,I,1,2,1,369747,1175,0,0,0,1175
test,keyboard,data/test/trial-084-,2,84,blue,4,yellow,I,1,4,1,372930,1091,0,0,0,1091
test,keyboard,data/test/trial-085-,2,85,blue,3,green,I,1,3,1,376027,1373,0,0,0,1373
test,keyboard,data/test/trial-086-,2,86,green,4,yellow,I,1,4,1,379408,1700,0,0,0,1700
test,keyboard,data/test/trial-087-,2,87,blue,1,red,I,1,1,1,383112,954,0,0,0,954
test,keyboard,data/test/trial-088-,2,88,red,1,red,C,1,1,1,386073,831,0,0,0,831
test,keyboard,data/test/trial-089-,2,89,blue,4,yellow,I,1,4,1,388912,1409,0,0,0,1409
test,keyboard,data/test/trial-090-,2,90,and,1,red,N,1,1,1,392328,794,0,0,0,794
test,keyboard,data/test/trial-091-,2,91,over,4,yellow,N,1,1,0,395127,765,1,0,0,765
test,keyboard,data/test/trial-092-,2,92,yellow,4,yellow,C,1,4,1,397900,622,0,0,0,622
test,keyboard,data/test/trial-093-,2,93,blue,2,blue,C,1,2,1,400527,879,0,0,0,879
test,keyboard,data/test/trial-094-,2,94,green,3,green,C,1,3,1,403412,567,0,0,0,567
test,keyboard,data/test/trial-095-,2,95,red,1,red,C,1,1,1,405988,700,0,0,0,700
test,keyboard,data/test/trial-096-,2,96,blue,3,green,I,1,3,1,408695,1316,0,0,0,1316
test,keyboard,data/test/trial-097-,2,97,green,3,green,C,1,3,1,412013,711,0,0,0,711
test,keyboard,data/test/trial-098-,2,98,green,2,blue,I,1,2,1,414732,994,0,0,0,994
