subnum,response,code,block,trial,stim,cond,responded,response,correct,abstime,rt,speechduration,recordtime
aoeua,keyboard,data/aoeua/trial-000-,0,0,G,N,0,<timeout>,0,2489,2000,0,2000
aoeua,keyboard,data/aoeua/trial-001-,0,1,333,C,0,<timeout>,0,6490,2000,0,2000
aoeua,keyboard,data/aoeua/trial-002-,0,2,3,I,0,<timeout>,0,10491,2000,0,2000
aoeua,keyboard,data/aoeua/trial-003-,0,3,MMM,N,0,<timeout>,0,14492,2000,0,2000
aoeua,keyboard,data/aoeua/trial-004-,0,4,GG,N,0,<timeout>,0,18494,2000,0,2000
aoeua,keyboard,data/aoeua/trial-005-,0,5,111,I,0,<timeout>,0,22495,2000,0,2000
aoeua,keyboard,data/aoeua/trial-006-,0,6,2,I,0,<timeout>,0,26496,2000,0,2000
aoeua,keyboard,data/aoeua/trial-007-,0,7,22,C,0,<timeout>,0,30497,2000,0,2000
aoeua,keyboard,data/aoeua/trial-008-,0,8,33,I,0,<timeout>,0,34498,2000,0,2000
aoeua,keyboard,data/aoeua/trial-009-,0,9,11,I,0,<timeout>,0,38499,2000,0,2000
aoeua,keyboard,data/aoeua/trial-010-,0,10,1,C,0,<timeout>,0,42500,2000,0,2000
aoeua,keyboard,data/aoeua/trial-011-,0,11,222,I,0,<timeout>,0,46501,2000,0,2000
aoeua,keyboard,data/aoeua/trial-012-,0,12,1,C,0,<timeout>,0,50502,2000,0,2000
aoeua,keyboard,data/aoeua/trial-013-,0,13,ZZ,N,0,<timeout>,0,54503,2000,0,2000
aoeua,keyboard,data/aoeua/trial-014-,0,14,111,I,0,<timeout>,0,58504,2000,0,2000
aoeua,keyboard,data/aoeua/trial-015-,0,15,ZZZ,N,0,<timeout>,0,62505,2000,0,2000
aoeua,keyboard,data/aoeua/trial-016-,0,16,333,C,0,<timeout>,0,66506,2000,0,2000
aoeua,keyboard,data/aoeua/trial-017-,0,17,22,C,0,<timeout>,0,70507,2000,0,2000
aoeua,keyboard,data/aoeua/trial-018-,0,18,MM,N,0,<timeout>,0,74508,2000,0,2000
aoeua,keyboard,data/aoeua/trial-019-,0,19,GGG,N,0,<timeout>,0,78509,2000,0,2000
aoeua,keyboard,data/aoeua/trial-020-,0,20,M,N,0,<timeout>,0,82510,2000,0,2000
aoeua,keyboard,data/aoeua/trial-021-,0,21,222,I,0,<timeout>,0,86511,2000,0,2000
aoeua,keyboard,data/aoeua/trial-022-,0,22,1,C,0,<timeout>,0,90512,2000,0,2000
aoeua,keyboard,data/aoeua/trial-023-,0,23,333,C,0,<timeout>,0,94513,2000,0,2000
