subnum,response,code,block,trial,stim,cond,responded,response,correct,abstime,rt,speechduration,recordtime
eoau,keyboard,data/eoau/trial-000-,0,0,G,N,0,<timeout>,0,3389,2000,0,2000
eoau,keyboard,data/eoau/trial-001-,0,1,333,C,1,3,1,7391,1188,0,1188
eoau,keyboard,data/eoau/trial-002-,0,2,3,I,1,1,1,10081,611,0,611
eoau,keyboard,data/eoau/trial-003-,0,3,MMM,N,1,3,1,12192,784,0,784
eoau,keyboard,data/eoau/trial-004-,0,4,GG,N,1,2,1,14477,484,0,484
eoau,keyboard,data/eoau/trial-005-,0,5,111,I,1,2,0,16462,1422,0,1422
eoau,keyboard,data/eoau/trial-006-,0,6,2,I,1,1,1,19385,805,0,805
eoau,keyboard,data/eoau/trial-007-,0,7,22,C,1,2,1,21691,685,0,685
eoau,keyboard,data/eoau/trial-008-,0,8,33,I,1,2,1,23876,548,0,548
eoau,keyboard,data/eoau/trial-009-,0,9,11,I,1,1,0,25925,567,0,567
eoau,keyboard,data/eoau/trial-010-,0,10,1,C,1,1,1,27993,609,0,609
eoau,keyboard,data/eoau/trial-011-,0,11,222,I,1,3,1,30103,779,0,779
eoau,keyboard,data/eoau/trial-012-,0,12,1,C,1,1,1,32383,578,0,578
eoau,keyboard,data/eoau/trial-013-,0,13,ZZ,N,1,2,1,34463,724,0,724
eoau,keyboard,data/eoau/trial-014-,0,14,111,I,0,<timeout>,0,36688,2000,0,2000
