subnum,response,code,block,trial,stim,cond,responded,response,correct,abstime,rt,speechduration,recordtime
eoau,keyboard,data/eoau/trial-000-,0,0,G,N,0,<timeout>,0,3389,2000,0,2000
eoau,keyboard,data/eoau/trial-001-,0,1,333,C,1,3,1,7391,1188,0,1188
eoau,keyboard,data/eoau/trial-002-,0,2,3,I,1,1,1,10081,611,0,611
eoau,keyboard,data/eoau/trial-003-,0,3,MMM,N,1,3,1,12192,784,0,784
eoau,keyboard,data/eoau/trial-004-,0,4,GG,N,1,2,1,14477,484,0,484
eoau,keyboard,data/eoau/trial-005-,0,5,111,I,1,2,0,16462,1422,0,1422
eoau,keyboard,data/eoau/trial-006-,0,6,2,I,1,1,1,19385,805,0,805
eoau,keyboard,data/eoau/trial-007-,0,7,22,C,1,2,1,21691,685,0,685
eoau,keyboard,data/eoau/trial-008-,0,8,33,I,1,2,1,23876,548,0,548
eoau,keyboard,data/eoau/trial-009-,0,9,11,I,1,1,0,25925,567,0,567
eoau,keyboard,data/eoau/trial-010-,0,10,1,C,1,1,1,27993,609,0,609
eoau,keyboard,data/eoau/trial-011-,0,11,222,I,1,3,1,30103,779,0,779
eoau,keyboard,data/eoau/trial-012-,0,12,1,C,1,1,1,32383,578,0,578
eoau,keyboard,data/eoau/trial-013-,0,13,ZZ,N,1,2,1,34463,724,0,724
eoau,keyboard,data/eoau/trial-014-,0,14,111,I,0,<timeout>,0,36688,2000,0,2000
aoueaoe,keyboard,data/aoueaoe/trial-000-,0,0,G,N,0,<timeout>,0,4576,2000,0,2000
aoeuht,keyboard,data/aoeuht/trial-000-,0,0,G,N,1,1,1,2805,1130,0,1130
aoeuht,keyboard,data/aoeuht/trial-001-,0,1,333,C,1,3,1,5936,905,0,905
aoeuht,keyboard,data/aoeuht/trial-002-,0,2,3,I,1,3,0,8843,453,0,453
aoeua,keyboard,data/aoeua/trial-000-,0,0,G,N,0,<timeout>,0,2489,2000,0,2000
aoeua,keyboard,data/aoeua/trial-001-,0,1,333,C,0,<timeout>,0,6490,2000,0,2000
aoeua,keyboard,data/aoeua/trial-002-,0,2,3,I,0,<timeout>,0,10491,2000,0,2000
aoeua,keyboard,data/aoeua/trial-003-,0,3,MMM,N,0,<timeout>,0,14492,2000,0,2000
aoeua,keyboard,data/aoeua/trial-004-,0,4,GG,N,0,<timeout>,0,18494,2000,0,2000
aoeua,keyboard,data/aoeua/trial-005-,0,5,111,I,0,<timeout>,0,22495,2000,0,2000
aoeua,keyboard,data/aoeua/trial-006-,0,6,2,I,0,<timeout>,0,26496,2000,0,2000
aoeua,keyboard,data/aoeua/trial-007-,0,7,22,C,0,<timeout>,0,30497,2000,0,2000
aoeua,keyboard,data/aoeua/trial-008-,0,8,33,I,0,<timeout>,0,34498,2000,0,2000
aoeua,keyboard,data/aoeua/trial-009-,0,9,11,I,0,<timeout>,0,38499,2000,0,2000
aoeua,keyboard,data/aoeua/trial-010-,0,10,1,C,0,<timeout>,0,42500,2000,0,2000
aoeua,keyboard,data/aoeua/trial-011-,0,11,222,I,0,<timeout>,0,46501,2000,0,2000
aoeua,keyboard,data/aoeua/trial-012-,0,12,1,C,0,<timeout>,0,50502,2000,0,2000
aoeua,keyboard,data/aoeua/trial-013-,0,13,ZZ,N,0,<timeout>,0,54503,2000,0,2000
aoeua,keyboard,data/aoeua/trial-014-,0,14,111,I,0,<timeout>,0,58504,2000,0,2000
aoeua,keyboard,data/aoeua/trial-015-,0,15,ZZZ,N,0,<timeout>,0,62505,2000,0,2000
aoeua,keyboard,data/aoeua/trial-016-,0,16,333,C,0,<timeout>,0,66506,2000,0,2000
aoeua,keyboard,data/aoeua/trial-017-,0,17,22,C,0,<timeout>,0,70507,2000,0,2000
aoeua,keyboard,data/aoeua/trial-018-,0,18,MM,N,0,<timeout>,0,74508,2000,0,2000
aoeua,keyboard,data/aoeua/trial-019-,0,19,GGG,N,0,<timeout>,0,78509,2000,0,2000
aoeua,keyboard,data/aoeua/trial-020-,0,20,M,N,0,<timeout>,0,82510,2000,0,2000
aoeua,keyboard,data/aoeua/trial-021-,0,21,222,I,0,<timeout>,0,86511,2000,0,2000
aoeua,keyboard,data/aoeua/trial-022-,0,22,1,C,0,<timeout>,0,90512,2000,0,2000
aoeua,keyboard,data/aoeua/trial-023-,0,23,333,C,0,<timeout>,0,94513,2000,0,2000
aeuaeou,keyboard,data/aeuaeou/trial-000-,0,0,G,N,1,1,1,5285,1951,0,1951
aeuaeou,keyboard,data/aeuaeou/trial-001-,0,1,333,C,1,3,1,9238,561,0,561
aeuaeou,keyboard,data/aeuaeou/trial-002-,0,2,3,I,1,3,0,11802,609,0,609
aeuaeou,keyboard,data/aeuaeou/trial-003-,0,3,MMM,N,1,3,1,14412,1007,0,1007
aeuaeou,keyboard,data/aeuaeou/trial-004-,0,4,GG,N,1,2,1,17420,479,0,479
aeuaeou,keyboard,data/aeuaeou/trial-005-,0,5,111,I,1,3,1,19900,987,0,987
aeuaeou,keyboard,data/aeuaeou/trial-006-,0,6,2,I,1,1,1,22888,799,0,799
