rojo; rojo; rojo; amarillo; rojo; q
rojo; rojo; rojo; verde; rojo; q
rojo; rojo; rojo; azul; rojo; q
rojo; amarillo; amarillo; rojo; amarillo; q
rojo; amarillo; amarillo; verde; amarillo; q
rojo; amarillo; amarillo; azul; amarillo; q
rojo; azul; azul; rojo; azul; q
rojo; azul; azul; amarillo; azul; q
rojo; azul; azul; verde; azul; q
rojo; verde; verde; rojo; verde; q
rojo; verde; verde; amarillo; verde; q
rojo; verde; verde; azul; verde; q
amarillo; rojo; rojo; amarillo; rojo; q
amarillo; rojo; rojo; verde; rojo; q
amarillo; rojo; rojo; azul; rojo; q
amarillo; amarillo; amarillo; rojo; amarillo; q
amarillo; amarillo; amarillo; verde; amarillo; q
amarillo; amarillo; amarillo; azul; amarillo; q
amarillo; azul; azul; rojo; azul; q
amarillo; azul; azul; amarillo; azul; q
amarillo; azul; azul; verde; azul; q
amarillo; verde; verde; rojo; verde; q
amarillo; verde; verde; amarillo; verde; q
amarillo; verde; verde; azul; verde; q
azul; rojo; rojo; amarillo; rojo; q
azul; rojo; rojo; verde; rojo; q
azul; rojo; rojo; azul; rojo; q
azul; amarillo; amarillo; rojo; amarillo; q
azul; amarillo; amarillo; verde; amarillo; q
azul; amarillo; amarillo; azul; amarillo; q
azul; azul; azul; rojo; azul; q
azul; azul; azul; amarillo; azul; q
azul; azul; azul; verde; azul; q
azul; verde; verde; rojo; verde; q
azul; verde; verde; amarillo; verde; q
azul; verde; verde; azul; verde; q
verde; rojo; rojo; amarillo; rojo; q
verde; rojo; rojo; verde; rojo; q
verde; rojo; rojo; azul; rojo; q
verde; amarillo; amarillo; rojo; amarillo; q
verde; amarillo; amarillo; verde; amarillo; q
verde; amarillo; amarillo; azul; amarillo; q
verde; azul; azul; rojo; azul; q
verde; azul; azul; amarillo; azul; q
verde; azul; azul; verde; azul; q
verde; verde; verde; rojo; verde; q
verde; verde; verde; amarillo; verde; q
verde; verde; verde; azul; verde; q
libro; rojo; rojo; amarillo; rojo; q
cuna; rojo; rojo; verde; rojo; q
manga; rojo; rojo; azul; rojo; q
cena; amarillo; amarillo; rojo; amarillo; q
mona; amarillo; amarillo; verde; amarillo; q
vaca; amarillo; amarillo; azul; amarillo; q
dedo; azul; azul; rojo; azul; q
pelo; azul; azul; amarillo; azul; q
banco; azul; azul; verde; azul; q
topo; verde; verde; rojo; verde; q
polo; verde; verde; amarillo; verde; q
pozo; verde; verde; azul; verde; q
rojo; rojo; amarillo; rojo; rojo; p
rojo; rojo; verde; rojo; rojo; p
rojo; rojo; azul; rojo; rojo; p
rojo; amarillo; rojo; amarillo; amarillo; p
rojo; amarillo; verde; amarillo; amarillo; p
rojo; amarillo; azul; amarillo; amarillo; p
rojo; azul; rojo; azul; azul; p
rojo; azul; amarillo; azul; azul; p
rojo; azul; verde; azul; azul; p
rojo; verde; rojo; verde; verde; p
rojo; verde; amarillo; verde; verde; p
rojo; verde; azul; verde; verde; p
amarillo; rojo; amarillo; rojo; rojo; p
amarillo; rojo; verde; rojo; rojo; p
amarillo; rojo; azul; rojo; rojo; p
amarillo; amarillo; rojo; amarillo; amarillo; p
amarillo; amarillo; verde; amarillo; amarillo; p
amarillo; amarillo; azul; amarillo; amarillo; p
amarillo; azul; rojo; azul; azul; p
amarillo; azul; amarillo; azul; azul; p
amarillo; azul; verde; azul; azul; p
amarillo; verde; rojo; verde; verde; p
amarillo; verde; amarillo; verde; verde; p
amarillo; verde; azul; verde; verde; p
azul; rojo; amarillo; rojo; rojo; p
azul; rojo; verde; rojo; rojo; p
azul; rojo; azul; rojo; rojo; p
azul; amarillo; rojo; amarillo; amarillo; p
azul; amarillo; verde; amarillo; amarillo; p
azul; amarillo; azul; amarillo; amarillo; p
azul; azul; rojo; azul; azul; p
azul; azul; amarillo; azul; azul; p
azul; azul; verde; azul; azul; p
azul; verde; rojo; verde; verde; p
azul; verde; amarillo; verde; verde; p
azul; verde; azul; verde; verde; p
verde; rojo; amarillo; rojo; rojo; p
verde; rojo; verde; rojo; rojo; p
verde; rojo; azul; rojo; rojo; p
verde; amarillo; rojo; amarillo; amarillo; p
verde; amarillo; verde; amarillo; amarillo; p
verde; amarillo; azul; amarillo; amarillo; p
verde; azul; rojo; azul; azul; p
verde; azul; amarillo; azul; azul; p
verde; azul; verde; azul; azul; p
verde; verde; rojo; verde; verde; p
verde; verde; amarillo; verde; verde; p
verde; verde; azul; verde; verde; p
libro; rojo; amarillo; rojo; rojo; p
cuna; rojo; verde; rojo; rojo; p
manga; rojo; azul; rojo; rojo; p
cena; amarillo; rojo; amarillo; amarillo; p
mona; amarillo; verde; amarillo; amarillo; p
vaca; amarillo; azul; amarillo; amarillo; p
dedo; azul; rojo; azul; azul; p
pelo; azul; amarillo; azul; azul; p
banco; azul; verde; azul; azul; p
topo; verde; rojo; verde; verde; p
polo; verde; amarillo; verde; verde; p
pozo; verde; azul; verde; verde; p

