sub,trial,domhand,hand,tap,sumtime,trialtime,rt
165161,1,Right,Right,1,21,21,21
165161,1,Right,Right,2,176,179,155
165161,1,Right,Right,3,346,350,170
165161,1,Right,Right,4,509,515,163
165161,1,Right,Right,5,681,690,172
165161,1,Right,Right,6,856,867,175
165161,1,Right,Right,7,1030,1043,174
165161,1,Right,Right,8,1203,1218,173
165161,1,Right,Right,9,1369,1386,166
165161,1,Right,Right,10,1530,1550,161
165161,1,Right,Right,11,1695,1717,165
165161,1,Right,Right,12,2170,2195,475
165161,1,Right,Right,13,2337,2364,167
165161,1,Right,Right,14,2507,2536,170
165161,1,Right,Right,15,2675,2706,168
165161,1,Right,Right,16,2865,2898,190
165161,1,Right,Right,17,3041,3076,176
165161,1,Right,Right,18,3211,3248,170
165161,1,Right,Right,19,3388,3427,177
165161,1,Right,Right,20,3557,3598,169
165161,1,Right,Right,21,3730,3774,173
165161,1,Right,Right,22,3894,3941,164
165161,1,Right,Right,23,4056,4105,162
165161,1,Right,Right,24,4233,4284,177
165161,1,Right,Right,25,4399,4452,166
165161,1,Right,Right,26,4569,4623,170
165161,1,Right,Right,27,4732,4789,163
165161,1,Right,Right,28,4899,4958,167
165161,1,Right,Right,29,4949,5010,50
