sub,trial,domhand,hand,tap,sumtime,trialtime,rt
1t6,1,Left,Left,1,131,131,131
1t6,1,Left,Left,2,443,445,312
1t6,1,Left,Left,3,593,597,150
1t6,1,Left,Left,4,759,765,166
1t6,1,Left,Left,5,917,925,158
1t6,1,Left,Left,6,1077,1087,160
1t6,1,Left,Left,7,1239,1250,162
1t6,1,Left,Left,8,1400,1412,161
1t6,1,Left,Left,9,1565,1578,165
1t6,1,Left,Left,10,1728,1742,163
1t6,1,Left,Left,11,1896,1912,168
1t6,1,Left,Left,12,2051,2070,155
1t6,1,Left,Left,13,2234,2254,183
1t6,1,Left,Left,14,2412,2434,178
1t6,1,Left,Left,15,2569,2592,157
1t6,1,Left,Left,16,2730,2754,161
1t6,1,Left,Left,17,2889,2915,159
1t6,1,Left,Left,18,3035,3064,146
1t6,1,Left,Left,19,3361,3393,326
1t6,1,Left,Left,20,3673,3707,312
1t6,1,Left,Left,21,3820,3855,147
1t6,1,Left,Left,22,3981,4017,161
1t6,1,Left,Left,23,4154,4190,173
1t6,1,Left,Left,24,4317,4355,163
1t6,1,Left,Left,25,4633,4673,316
1t6,1,Left,Left,26,4791,4832,158
1t6,1,Left,Left,27,4964,5006,173
1t6,2,Left,Left,1,139,139,139
1t6,2,Left,Left,2,318,320,179
1t6,2,Left,Left,3,502,507,184
1t6,2,Left,Left,4,660,668,158
1t6,2,Left,Left,5,834,845,174
1t6,2,Left,Left,6,1008,1021,174
1t6,2,Left,Left,7,1183,1197,175
1t6,2,Left,Left,8,1380,1395,197
1t6,2,Left,Left,9,1544,1560,164
1t6,2,Left,Left,10,1727,1745,183
1t6,2,Left,Left,11,1904,1923,177
1t6,2,Left,Left,12,2086,2106,182
1t6,2,Left,Left,13,2260,2281,174
1t6,2,Left,Left,14,2450,2472,190
1t6,2,Left,Left,15,2620,2643,170
1t6,2,Left,Left,16,2796,2822,176
1t6,2,Left,Left,17,2969,2997,173
1t6,2,Left,Left,18,3143,3173,174
1t6,2,Left,Left,19,3322,3354,179
1t6,2,Left,Left,20,3499,3533,177
1t6,2,Left,Left,21,3662,3697,163
1t6,2,Left,Left,22,3838,3874,176
1t6,2,Left,Left,23,4003,4041,165
1t6,2,Left,Left,24,4180,4218,177
1t6,2,Left,Left,25,4329,4369,149
1t6,2,Left,Left,26,4659,4701,330
1t6,2,Left,Left,27,4832,4876,173
1t6,2,Left,Left,28,4983,5028,151
