sub,trial,domhand,hand,tap,sumtime,trialtime,rt
me,1,Right,Right,1,90,90,90
me,1,Right,Right,2,230,233,140
me,1,Right,Right,3,393,399,163
me,1,Right,Right,4,556,564,163
me,1,Right,Right,5,706,716,150
me,1,Right,Right,6,855,866,149
me,1,Right,Right,7,1018,1030,163
me,1,Right,Right,8,1176,1191,158
me,1,Right,Right,9,1340,1355,164
me,1,Right,Right,10,1649,1666,309
me,1,Right,Right,11,1814,1832,165
me,1,Right,Right,12,1963,1983,149
me,1,Right,Right,13,2123,2144,160
me,1,Right,Right,14,2434,2457,311
me,1,Right,Right,15,2601,2626,167
me,1,Right,Right,16,2757,2783,156
me,1,Right,Right,17,2932,2959,175
me,1,Right,Right,18,3092,3123,160
me,1,Right,Right,19,3252,3286,160
me,1,Right,Right,20,3417,3453,165
me,1,Right,Right,21,3577,3615,160
me,1,Right,Right,22,3745,3784,168
me,1,Right,Right,23,3898,3938,153
me,1,Right,Right,24,4072,4112,174
me,1,Right,Right,25,4224,4266,152
me,1,Right,Right,26,4395,4437,171
me,1,Right,Right,27,4710,4754,315
me,1,Right,Right,28,4867,4912,157
me,1,Right,Right,29,4967,5014,100
me,2,Right,Right,1,103,103,103
me,2,Right,Right,2,261,263,158
me,2,Right,Right,3,419,423,158
me,2,Right,Right,4,563,571,144
me,2,Right,Right,5,874,883,311
me,2,Right,Right,6,1032,1042,158
me,2,Right,Right,7,1200,1211,168
me,2,Right,Right,8,1361,1373,161
me,2,Right,Right,9,1518,1532,157
me,2,Right,Right,10,1674,1689,156
me,2,Right,Right,11,1825,1844,151
me,2,Right,Right,12,1970,1991,145
me,2,Right,Right,13,2131,2154,161
me,2,Right,Right,14,2449,2473,318
me,2,Right,Right,15,2607,2634,158
me,2,Right,Right,16,2755,2784,148
me,2,Right,Right,17,3063,3094,308
me,2,Right,Right,18,3230,3262,167
me,2,Right,Right,19,3388,3422,158
me,2,Right,Right,20,3557,3592,169
me,2,Right,Right,21,3719,3755,162
me,2,Right,Right,22,3876,3913,157
me,2,Right,Right,23,4039,4078,163
me,2,Right,Right,24,4206,4246,167
me,2,Right,Right,25,4368,4410,162
me,2,Right,Right,26,4539,4583,171
me,2,Right,Right,27,4701,4747,162
me,2,Right,Right,28,4859,4906,158
me,2,Right,Right,29,4959,5008,100
me,1,Right,Left,1,99,99,99
me,1,Right,Left,2,284,285,185
me,1,Right,Left,3,471,476,187
me,1,Right,Left,4,652,659,181
me,1,Right,Left,5,841,850,189
me,1,Right,Left,6,1025,1036,184
me,1,Right,Left,7,1423,1436,398
me,1,Right,Left,8,1610,1625,187
me,1,Right,Left,9,1802,1819,192
me,1,Right,Left,10,2018,2037,216
me,1,Right,Left,11,2197,2218,179
me,1,Right,Left,12,2366,2389,169
me,1,Right,Left,13,2558,2582,192
me,1,Right,Left,14,2962,2988,404
me,1,Right,Left,15,3156,3184,194
me,1,Right,Left,16,3337,3366,181
me,1,Right,Left,17,3513,3544,176
me,1,Right,Left,18,3750,3783,237
me,1,Right,Left,19,3941,3976,191
me,1,Right,Left,20,4138,4174,197
me,1,Right,Left,21,4547,4584,409
me,1,Right,Left,22,4744,4783,197
me,1,Right,Left,23,4950,4991,206
me,1,Right,Left,24,5000,5042,50
me,2,Right,Left,1,130,130,130
me,2,Right,Left,2,303,305,173
me,2,Right,Left,3,692,696,389
me,2,Right,Left,4,928,934,236
me,2,Right,Left,5,1115,1123,187
me,2,Right,Left,6,1299,1308,184
me,2,Right,Left,7,1477,1489,178
me,2,Right,Left,8,1683,1698,206
me,2,Right,Left,9,1889,1905,206
me,2,Right,Left,10,2066,2085,177
me,2,Right,Left,11,2264,2285,198
me,2,Right,Left,12,2657,2680,393
me,2,Right,Left,13,2830,2855,173
me,2,Right,Left,14,3027,3057,197
me,2,Right,Left,15,3244,3276,217
me,2,Right,Left,16,3407,3440,163
me,2,Right,Left,17,3619,3654,212
me,2,Right,Left,18,3831,3867,212
me,2,Right,Left,19,4006,4043,175
me,2,Right,Left,20,4219,4257,213
me,2,Right,Left,21,4413,4453,194
me,2,Right,Left,22,4624,4667,211
me,2,Right,Left,23,4977,5021,353
