sub,trial,domhand,hand,tap,sumtime,trialtime,rt
nondom,1,Right,Left,1,323,323,323
nondom,1,Right,Left,2,486,489,163
nondom,1,Right,Left,3,648,653,162
nondom,1,Right,Left,4,810,817,162
nondom,1,Right,Left,5,980,989,170
nondom,1,Right,Left,6,1275,1286,295
nondom,1,Right,Left,7,1419,1432,144
nondom,1,Right,Left,8,1557,1576,138
nondom,1,Right,Left,9,1713,1734,156
nondom,1,Right,Left,10,1858,1885,145
nondom,1,Right,Left,11,2007,2035,149
nondom,1,Right,Left,12,2177,2206,170
nondom,1,Right,Left,13,2324,2355,147
nondom,1,Right,Left,14,2462,2496,138
nondom,1,Right,Left,15,2611,2647,149
nondom,1,Right,Left,16,2754,2792,143
nondom,1,Right,Left,17,2904,2944,150
nondom,1,Right,Left,18,3044,3086,140
nondom,1,Right,Left,19,3180,3224,136
nondom,1,Right,Left,20,3323,3369,143
nondom,1,Right,Left,21,3485,3534,162
nondom,1,Right,Left,22,3608,3659,123
nondom,1,Right,Left,23,3767,3820,159
nondom,1,Right,Left,24,4057,4112,290
nondom,1,Right,Left,25,4218,4275,161
nondom,1,Right,Left,26,4354,4414,136
nondom,1,Right,Left,27,4658,4719,304
nondom,1,Right,Left,28,4959,5022,301
nondom,2,Right,Left,1,186,186,186
nondom,2,Right,Left,2,503,505,317
nondom,2,Right,Left,3,665,669,162
nondom,2,Right,Left,4,809,815,144
nondom,2,Right,Left,5,957,965,148
nondom,2,Right,Left,6,1117,1126,160
nondom,2,Right,Left,7,1278,1289,161
nondom,2,Right,Left,8,1422,1436,144
nondom,2,Right,Left,9,1581,1597,159
nondom,2,Right,Left,10,1741,1759,160
nondom,2,Right,Left,11,1887,1906,146
nondom,2,Right,Left,12,2048,2069,161
nondom,2,Right,Left,13,2191,2214,143
nondom,2,Right,Left,14,2345,2371,154
nondom,2,Right,Left,15,2485,2511,140
nondom,2,Right,Left,16,2646,2673,161
nondom,2,Right,Left,17,2792,2820,146
nondom,2,Right,Left,18,2962,2991,170
nondom,2,Right,Left,19,3126,3157,164
nondom,2,Right,Left,20,3282,3314,156
nondom,2,Right,Left,21,3450,3486,168
nondom,2,Right,Left,22,3617,3656,167
nondom,2,Right,Left,23,3777,3818,160
nondom,2,Right,Left,24,3932,3974,155
nondom,2,Right,Left,25,4111,4154,179
nondom,2,Right,Left,26,4278,4322,167
nondom,2,Right,Left,27,4453,4498,175
nondom,2,Right,Left,28,4592,4639,139
nondom,2,Right,Left,29,4779,4827,187
nondom,2,Right,Left,30,4957,5006,178
nondom,1,Right,Right,1,6,6,6
nondom,1,Right,Right,2,220,222,214
nondom,1,Right,Right,3,832,837,612
nondom,1,Right,Right,4,1032,1040,200
nondom,1,Right,Right,5,1216,1226,184
nondom,1,Right,Right,6,1609,1620,393
nondom,1,Right,Right,7,1829,1842,220
nondom,1,Right,Right,8,2250,2264,421
nondom,1,Right,Right,9,2442,2458,192
nondom,1,Right,Right,10,2856,2874,414
nondom,1,Right,Right,11,3042,3062,186
nondom,1,Right,Right,12,3253,3275,211
nondom,1,Right,Right,13,3433,3456,180
nondom,1,Right,Right,14,3623,3649,190
nondom,1,Right,Right,15,3829,3856,206
nondom,1,Right,Right,16,4025,4052,196
nondom,1,Right,Right,17,4224,4251,199
nondom,1,Right,Right,18,4439,4467,215
nondom,1,Right,Right,19,4832,4861,393
nondom,1,Right,Right,20,4983,5013,151
nondom,2,Right,Right,1,48,48,48
nondom,2,Right,Right,2,230,232,182
nondom,2,Right,Right,3,423,426,193
nondom,2,Right,Right,4,630,634,207
nondom,2,Right,Right,5,829,835,199
nondom,2,Right,Right,6,1021,1029,192
nondom,2,Right,Right,7,1205,1215,184
nondom,2,Right,Right,8,1412,1424,207
nondom,2,Right,Right,9,2248,2262,836
nondom,2,Right,Right,10,2645,2661,397
nondom,2,Right,Right,11,2855,2873,210
nondom,2,Right,Right,12,3039,3061,184
nondom,2,Right,Right,13,3249,3272,210
nondom,2,Right,Right,14,3461,3492,212
nondom,2,Right,Right,15,3675,3707,214
nondom,2,Right,Right,16,3872,3905,197
nondom,2,Right,Right,17,4089,4124,217
nondom,2,Right,Right,18,4309,4345,220
nondom,2,Right,Right,19,4519,4556,210
nondom,2,Right,Right,20,4750,4789,231
nondom,2,Right,Right,21,4976,5017,226
