subnum,trial,phase,rt,timestamp
111,1,practice,423,Thu Dec  4 12:18:19 2025
111,1,practice,left,2174,Thu Dec  4 12:37:55 2025
111,2,practice,right,73,Thu Dec  4 12:37:56 2025
111,3,practice,right,46,Thu Dec  4 12:37:57 2025
111,4,practice,left,553,Thu Dec  4 12:37:58 2025
111,5,practice,left,600,Thu Dec  4 12:37:59 2025
111,1,test,right,1172,Thu Dec  4 12:38:02 2025
111,2,test,right,404,Thu Dec  4 12:38:03 2025
111,3,test,left,315,Thu Dec  4 12:38:04 2025
111,4,test,left,384,Thu Dec  4 12:38:04 2025
111,5,test,left,328,Thu Dec  4 12:38:05 2025
111,6,test,left,399,Thu Dec  4 12:38:05 2025
111,7,test,right,322,Thu Dec  4 12:38:06 2025
111,8,test,right,304,Thu Dec  4 12:38:07 2025
111,9,test,right,288,Thu Dec  4 12:38:07 2025
111,10,test,right,278,Thu Dec  4 12:38:08 2025
111,11,test,right,257,Thu Dec  4 12:38:08 2025
111,12,test,right,326,Thu Dec  4 12:38:09 2025
111,13,test,left,271,Thu Dec  4 12:38:09 2025
111,14,test,left,254,Thu Dec  4 12:38:10 2025
111,15,test,left,256,Thu Dec  4 12:38:10 2025
111,16,test,left,297,Thu Dec  4 12:38:11 2025
111,17,test,left,336,Thu Dec  4 12:38:11 2025
111,18,test,left,362,Thu Dec  4 12:38:12 2025
111,19,test,left,338,Thu Dec  4 12:38:13 2025
111,20,test,right,425,Thu Dec  4 12:38:13 2025
