subnum,trial,phase,response,rt,timestamp
1115,1,practice,left,758,Thu Dec  4 12:49:03 2025
1115,2,practice,left,358,Thu Dec  4 12:49:05 2025
1115,3,practice,right,67,Thu Dec  4 12:49:05 2025
1115,4,practice,right,47,Thu Dec  4 12:49:06 2025
1115,5,practice,right,70,Thu Dec  4 12:49:07 2025
1115,1,test,left,478,Thu Dec  4 12:49:08 2025
1115,2,test,left,351,Thu Dec  4 12:49:09 2025
1115,3,test,right,187,Thu Dec  4 12:49:09 2025
1115,4,test,right,131,Thu Dec  4 12:49:10 2025
1115,5,test,right,138,Thu Dec  4 12:49:10 2025
1115,6,test,left,111,Thu Dec  4 12:49:11 2025
1115,7,test,left,103,Thu Dec  4 12:49:11 2025
1115,8,test,left,74,Thu Dec  4 12:49:11 2025
1115,9,test,right,74,Thu Dec  4 12:49:12 2025
1115,10,test,right,61,Thu Dec  4 12:49:12 2025
1115,11,test,right,283,Thu Dec  4 12:49:12 2025
1115,12,test,right,175,Thu Dec  4 12:49:13 2025
1115,13,test,right,207,Thu Dec  4 12:49:13 2025
1115,14,test,right,326,Thu Dec  4 12:49:14 2025
1115,15,test,right,271,Thu Dec  4 12:49:14 2025
1115,16,test,right,150,Thu Dec  4 12:49:15 2025
1115,17,test,right,81,Thu Dec  4 12:49:15 2025
1115,18,test,left,104,Thu Dec  4 12:49:16 2025
1115,19,test,left,95,Thu Dec  4 12:49:16 2025
1115,20,test,right,182,Thu Dec  4 12:49:16 2025
